event_time,pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
1723075886,1042,24,0,0,1,0,59,24,0
1723075886,973,255,253,0,0,11,34,96,125
1723075886,813,127,192,1,0,128,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,136,0,164,0,0
1723075886,744,50,0,240,0,0,0,0,0
1723075886,773,255,195,0,7,196,0,32,0
1723075886,1128,0,5,64,0,0,1,0,192
1723075886,1266,47,0,155,208,157,68,192,20
1723075886,973,255,253,0,0,11,34,96,110
1723075886,1330,127,38,52,0,0,0,0,0
1723075886,781,0,0,0,0,0,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,151,0,164,0,0
1723075886,840,0,50,41,50,193,1,68,0
1723075886,114,2,0,0,0,0,0,0,0
1723075886,845,0,35,250,250,0,7,0,30
1723075886,1037,0,0,0,0,0,0,0,7
1723075886,773,255,195,0,7,213,0,32,0
1723075886,968,8,0,0,0,0,0,0,0
1723075886,1032,0,0,0,0,0,0,0,0
1723075886,973,255,253,0,0,11,34,96,95
1723075886,1517,252,252,224,0,0,0,0,0
1723075886,813,127,192,1,0,128,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,166,0,164,0,0
1723075886,744,50,0,240,0,0,0,0,0
1723075886,749,228,0,0,0,0,0,0,0
1723075886,909,0,0,0,0,175,64,70,0
1723075886,1101,0,0,0,0,0,0,0,0
1723075886,773,255,195,0,7,230,0,32,0
1723075886,952,255,255,205,255,205,195,48,4
1723075886,1010,0,0,0,0,0,0,0,0
1723075886,1074,129,21,64,0,0,12,61,2
1723075886,973,255,253,0,0,11,34,96,64
1723075886,1554,0,32,1,6,1,35,0,16
1723075886,781,0,0,0,0,0,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,181,0,164,0,0
1723075886,840,0,50,41,50,193,1,68,0
1723075886,1416,254,0,0,39,0,61,32,6
1723075886,845,0,35,250,250,0,8,0,30
1723075886,1037,0,0,0,0,0,0,0,8
1723075886,773,255,195,0,7,247,0,32,0
1723075886,968,8,0,0,0,0,0,0,0
1723075886,1080,60,50,36,0,0,0,0,0
1723075886,1160,60,39,101,0,0,59,0,0
1723075886,1400,0,0,0,0,0,0,0,0
1723075886,1106,0,0,0,3,0,0,0,0
1723075886,973,255,253,0,0,11,34,96,49
1723075886,1069,30,0,196,254,0,0,0,0
1723075886,813,127,192,1,0,128,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,196,0,164,0,0
1723075886,744,50,0,240,0,0,0,0,0
1723075886,773,255,195,0,7,8,0,32,0
1723075886,1128,0,5,64,0,0,1,0,192
1723075886,1042,24,0,0,1,0,59,24,0
1723075886,973,255,253,0,0,11,34,96,34
1723075886,1390,240,0,0,0,0,0,0,0
1723075886,781,0,0,0,0,0,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,211,0,164,0,0
1723075886,840,0,50,41,50,193,1,68,0
1723075886,845,0,35,250,250,0,9,0,30
1723075886,1037,0,0,0,0,0,0,0,9
1723075886,1166,0,0,0,0,0,0,0,0
1723075886,1358,0,0,0,0,0,0,2,0
1723075886,773,255,195,0,7,25,0,32,0
1723075886,968,8,0,0,0,0,0,0,0
1723075886,1032,0,0,0,0,0,0,0,0
1723075886,1294,0,0,0,2,0,0,255,3
1723075886,1394,144,128,86,64,0,0,0,0
1723075886,973,255,253,0,0,11,34,96,19
1723075886,813,127,192,1,0,128,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,226,0,164,0,0
1723075886,744,50,0,240,0,0,0,0,0
1723075886,749,213,0,0,0,0,0,0,0
1723075886,909,0,0,0,0,175,95,70,0
1723075886,1101,0,0,0,0,0,0,0,0
1723075886,773,255,195,0,7,42,0,32,0
1723075886,952,255,255,205,255,205,195,64,4
1723075886,973,255,253,0,0,11,34,96,4
1723075886,781,0,0,0,0,0,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,241,0,164,0,0
1723075886,840,0,50,41,50,193,1,68,0
1723075886,845,0,35,250,250,0,10,0,30
1723075886,1037,0,0,0,0,0,0,0,10
1723075886,773,255,195,0,7,59,0,32,0
1723075886,968,8,0,0,0,0,0,0,0
1723075886,1010,0,0,0,0,0,0,0,0
1723075886,1074,129,22,64,0,0,12,61,2
1723075886,973,255,253,0,0,11,34,96,245
1723075886,1293,0,0,0,0,0,90,140,54
1723075886,1426,19,90,0,42,44,17,75,42
1723075886,813,127,192,1,0,128,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,0,0,164,0,0
1723075886,744,50,0,240,0,0,0,0,0
1723075886,773,255,195,0,7,76,0,32,0
1723075886,1080,60,50,36,0,0,0,0,0
1723075886,1128,0,5,64,0,0,1,0,192
1723075886,1106,0,0,0,3,0,0,0,0
1723075886,973,255,253,0,0,11,34,96,230
1723075886,1069,30,0,181,254,0,0,0,0
1723075886,781,0,0,0,0,0,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,31,0,164,0,0
1723075886,840,0,50,41,50,193,1,68,0
1723075886,1173,127,0,32,127,0,0,0,0
1723075886,845,0,35,250,250,0,11,0,30
1723075886,1037,0,0,0,0,0,0,0,11
1723075886,773,255,195,0,7,93,0,32,0
1723075886,968,8,0,0,0,0,0,0,0
1723075886,1032,0,0,0,0,0,0,0,0
1723075886,1042,24,0,0,1,0,59,24,0
1723075886,973,255,253,0,0,11,34,96,215
1723075886,813,127,192,1,0,128,0,0,0
1723075886,520,0,0,50,0,12,50,60,60
1723075886,552,50,0,0,46,0,164,0,0
1723075886,744,50,0,240,0,0,0,0,0
1723075886,749,198,0,0,0,0,0,0,0
1723075886,909,0,0,0,0,175,110,70,0
1723075886,1101,0,0,0,0,0,0,0,0
1723075886,1422,0,0,0,0,0,0,0,0
1723075886,773,255,195,0,7,110,0,32,0
1723075886,952,255,255,205,255,205,195,80,4
1723075886,973,255,254,0,0,11,34,96,184
1723075886,1266,47,0,155,208,157,68,192,20
1723075886,1330,127,38,52,0,0,0,0,0
