pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
749,93,0,0,0,0,0,0,0
909,0,0,0,0,175,215,70,0
1101,0,0,0,0,0,0,0,0
773,255,195,0,7,196,0,32,0
520,25,168,49,0,76,50,49,49
552,49,48,0,238,0,104,32,0
744,50,0,240,0,0,0,0,0
1042,24,0,0,1,0,58,24,0
1390,240,0,0,0,0,0,0,0
952,230,87,206,255,205,206,192,4
973,255,253,0,0,11,34,96,4
781,0,0,0,0,0,0,0,0
845,0,35,250,250,0,10,0,30
1037,0,0,0,0,0,0,0,10
773,255,195,0,135,85,0,32,0
520,25,168,49,0,76,50,49,49
552,49,48,0,253,0,104,32,0
840,0,37,41,62,1,3,96,64
1166,0,0,0,0,0,0,0,0
968,8,0,0,0,0,0,0,0
1294,0,0,8,18,0,0,255,43
1394,88,128,85,96,0,0,0,0
973,255,253,0,0,11,34,96,245
813,127,192,1,0,128,0,0,0
773,255,195,0,135,102,0,32,0
520,25,144,49,0,76,50,49,49
552,49,48,0,12,0,104,32,0
744,50,0,240,0,0,0,0,0
1128,32,9,64,1,0,7,0,0
973,255,253,0,0,11,34,96,230
781,0,0,0,0,0,0,0,0
845,0,35,250,250,0,11,0,30
1037,0,0,0,0,0,0,0,11
773,255,195,0,7,247,0,32,0
520,25,128,50,0,76,50,49,49
552,49,48,0,26,0,105,32,0
840,0,37,41,62,1,3,96,64
968,8,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,0
1074,129,16,64,0,0,12,61,82
1426,19,88,0,10,248,17,82,163
973,255,253,0,0,11,34,96,215
1293,0,0,0,0,0,100,140,14
813,127,192,1,0,128,0,0,0
749,78,0,0,0,0,0,0,0
909,0,0,0,0,175,230,70,0
1101,0,0,0,0,0,0,0,0
773,255,195,0,135,136,0,32,0
520,25,128,50,0,76,50,50,50
552,50,48,0,41,0,104,32,0
744,50,0,240,0,0,0,0,0
952,230,127,205,255,205,205,208,4
1080,49,50,31,0,0,0,0,0
1106,0,0,0,3,0,0,0,0
973,255,254,0,0,11,34,96,184
1069,30,0,31,254,0,0,0,0
781,0,0,0,0,0,0,0,0
845,0,35,250,250,0,12,0,30
1037,0,0,0,0,0,0,0,12
773,255,195,0,7,25,0,32,0
520,25,144,50,0,76,50,50,50
552,50,48,0,55,0,105,32,0
840,0,37,41,62,1,3,96,64
1173,127,0,32,127,0,0,0,0
968,8,0,0,0,0,0,0,0
1042,24,0,0,1,0,58,24,0
973,255,254,0,0,11,34,96,169
813,127,192,1,0,128,0,0,0
773,255,195,0,135,170,0,32,0
520,25,144,50,0,76,50,50,50
552,50,48,0,70,0,105,32,0
744,50,0,240,0,0,0,0,0
1128,32,9,64,1,0,7,0,0
1266,47,64,157,80,95,68,192,20
1330,127,38,52,0,0,0,0,0
973,255,253,0,0,11,34,96,170
781,0,0,0,0,0,0,0,0
845,0,35,250,250,0,13,0,30
1037,0,0,0,0,0,0,0,13
773,255,195,0,7,59,0,32,0
520,25,152,50,0,76,50,50,50
552,50,48,0,85,0,105,32,0
840,0,37,41,62,1,3,96,64
114,2,0,0,0,0,0,0,0
968,8,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,0
973,255,253,0,0,11,34,96,155
1517,252,252,224,0,0,0,0,0
813,127,192,1,0,128,0,0,0
749,63,0,0,0,0,0,0,0
909,0,0,0,0,175,245,70,0
1101,0,0,0,0,0,0,0,0
773,255,195,0,135,204,0,32,0
520,25,152,50,0,76,50,50,50
552,50,48,0,100,0,105,32,0
744,50,0,240,0,0,0,0,0
952,230,103,205,255,205,205,224,4
1010,0,0,0,0,0,0,0,0
1074,129,17,64,0,0,12,61,82
1554,128,32,1,6,1,34,0,16
973,255,253,0,0,11,34,96,140
781,0,0,0,0,0,0,0,0
845,0,35,250,250,0,14,0,30
1037,0,0,0,0,0,0,0,14
773,255,195,0,7,93,0,32,0
520,25,128,50,0,76,50,50,50
552,50,48,0,115,0,105,32,0
840,0,37,41,62,1,3,96,64
1416,254,0,0,14,0,61,32,6
968,8,0,0,0,0,0,0,0
1080,50,50,30,128,0,0,0,0
1160,59,14,102,0,0,58,0,0
1106,0,0,0,3,0,0,0,0
1234,57,86,55,0,0,0,0,0
1400,0,0,0,0,0,0,0,0
973,255,253,0,0,11,34,96,125
1069,30,0,0,254,0,0,0,0
813,127,192,1,0,128,0,0,0
773,255,195,0,135,238,0,32,0
520,25,128,50,0,76,50,50,50
552,50,48,0,130,0,105,32,0
744,50,0,240,0,0,0,0,0
1128,32,9,64,1,0,7,0,0
1042,24,0,0,1,0,58,24,0
1390,240,0,0,0,0,0,0,0
973,255,253,0,0,11,34,96,110
781,0,0,0,0,0,0,0,0
845,0,35,250,250,0,15,0,30
1037,0,0,0,0,0,0,0,15
773,255,195,0,7,127,0,32,0
520,25,120,50,0,76,50,50,50
552,50,48,0,145,0,105,32,0
840,0,37,41,62,1,3,96,64
1166,0,0,0,0,0,0,0,0
968,8,0,0,0,0,0,0,0
1032,0,0,0,0,0,0,0,0
1294,0,0,8,18,0,0,255,45
1394,88,128,85,96,0,0,0,0
973,255,253,0,0,11,34,96,95
813,127,176,1,0,128,0,0,0
749,32,0,0,0,0,0,0,0
909,0,0,0,0,175,4,70,0
1101,0,0,0,0,0,0,0,0
773,255,195,0,135,0,0,32,0
520,25,120,50,0,76,50,50,50
552,50,48,0,160,0,105,32,0
744,50,0,240,0,0,0,0,0
952,230,135,205,255,205,205,240,4
973,255,253,0,0,11,34,96,64
781,0,0,0,0,0,0,0,0
845,0,35,250,250,0,0,0,30
1037,0,0,0,0,0,0,0,0
773,255,195,0,7,145,0,32,0
520,25,136,50,0,76,50,50,50
552,50,48,0,191,0,105,32,0
840,0,37,41,62,1,3,96,64
968,8,0,0,0,0,0,0,0
1010,0,0,0,0,0,0,0,0
1074,129,18,64,0,0,12,61,82
1426,19,88,0,10,248,17,82,154
973,255,253,0,0,11,34,96,49
1293,0,0,0,0,0,100,140,29
813,127,192,1,0,128,0,0,0
773,255,195,0,7,162,0,32,0
520,25,144,50,0,76,50,50,50
552,50,48,0,206,0,105,32,0
744,50,0,240,0,0,0,0,0
1128,32,9,64,1,0,7,0,0
1080,50,50,32,128,0,0,0,0
1106,0,0,0,3,0,0,0,0
1458,0,0,144,128,0,2,0,0
973,255,253,0,0,11,34,96,34
1069,30,0,241,254,0,0,0,0
781,0,0,0,0,0,0,0,0
845,0,35,250,250,0,1,0,30
1037,0,0,0,0,0,0,0,1
773,255,195,0,7,179,0,32,0
520,25,144,50,0,76,50,50,50
552,50,48,0,221,0,105,32,0
840,0,37,41,62,1,3,96,64
