event_time,pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
1723076081,973,255,253,0,0,11,34,96,64
1723076081,781,0,0,0,0,0,0,0,0
1723076081,845,0,35,250,250,0,8,0,28
1723076081,1037,0,0,0,0,0,0,0,8
1723076081,1106,0,0,0,3,0,0,0,0
1723076081,968,8,0,0,0,0,0,0,0
1723076081,1032,0,0,0,0,0,0,0,0
1723076081,1938,0,0,0,0,0,64,0,1
1723076081,773,0,136,0,7,52,0,32,0
1723076081,520,0,0,50,0,12,50,50,50
1723076081,552,50,0,0,174,0,172,0,0
1723076081,744,50,0,240,0,0,0,0,0
1723076081,973,255,253,0,0,11,34,96,49
1723076081,1069,28,0,228,254,0,0,0,0
1723076081,813,127,80,1,0,128,0,0,0
1723076081,1042,24,0,0,1,0,115,0,0
1723076081,1390,240,0,0,0,0,0,0,0
1723076081,952,255,255,205,255,205,205,176,4
1723076081,773,0,136,0,7,37,0,32,0
1723076081,1166,0,0,0,0,0,0,0,0
1723076081,520,0,0,50,0,12,50,50,50
1723076081,552,50,0,0,189,0,172,0,0
1723076081,840,0,50,61,50,193,1,68,0
1723076081,973,255,253,0,0,11,34,96,34
1723076081,1416,254,0,0,0,0,61,32,6
1723076081,781,0,0,0,0,0,0,0,0
1723076081,845,0,35,250,250,0,9,0,28
1723076081,1037,0,0,0,0,0,0,0,9
1723076081,1294,0,0,0,2,0,0,255,3
1723076081,968,8,0,0,0,0,0,0,0
1723076081,1080,50,50,50,0,0,0,0,0
1723076081,1160,103,0,95,0,0,110,0,0
1723076081,1394,80,128,110,224,0,0,0,0
1723076081,1400,0,0,0,0,0,0,0,0
1723076081,773,0,136,0,7,22,0,32,0
1723076081,520,0,0,50,0,12,50,50,50
1723076081,552,50,0,0,204,0,172,0,0
1723076081,744,50,0,240,0,0,0,0,0
1723076081,973,255,253,0,0,11,34,96,19
1723076081,813,127,80,1,0,128,0,0,0
