ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 13:19:07
Stop time: 13:19:25
Overruns: 0  Errorframes: 4                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:28:08.858";"208";"Std";"";"17 60 31 00 4E 32 31 31"
"00:28:08.858";"228";"Std";"";"31 30 00 F0 00 B0 20 00"
"00:28:08.858";"348";"Std";"";"00 25 2D 3E 01 03 70 40"
"00:28:08.860";"3CD";"Std";"";"00 00 00 00 4B 2E B1 71"
"00:28:08.861";"492";"Std";"";"56 42 59 48 56 45"
"00:28:08.861";"32D";"Std";"";"7F F0 02 00 80 00 00 00"
"00:28:08.861";"305";"Std";"";"00 6C 00 07 F2 00 20"
"00:28:08.862";"3C8";"Std";"";"08 00"
"00:28:08.868";"208";"Std";"";"17 60 32 00 4E 32 32 32"
"00:28:08.868";"228";"Std";"";"32 30 00 0D 00 B1 20 00"
"00:28:08.868";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:28:08.870";"3CD";"Std";"";"00 00 00 00 4B 2E A1 72"
"00:28:08.871";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:28:08.871";"305";"Std";"";"00 6C 00 07 E3 00 20"
"00:28:08.872";"34D";"Std";"";"00 23 FA FA 00 01 00 1E"
"00:28:08.872";"468";"Std";"";"20 09 40 02 D0 07 00 00"
"00:28:08.873";"40D";"Std";"";"4A 64 9B ED 12 CA 52 41"
"00:28:08.876";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:28:08.876";"432";"Std";"";"81 1F 40 00 00 0C 3D 52"
"00:28:08.876";"612";"Std";"";"80 20 01 04 02 96 00 10"
"00:28:08.878";"208";"Std";"";"17 60 32 00 4E 32 32 32"
"00:28:08.878";"228";"Std";"";"32 30 00 1D 00 B0 20 00"
"00:28:08.878";"348";"Std";"";"00 25 2D 3E 01 03 70 40"
"00:28:08.880";"3CD";"Std";"";"00 00 00 00 4B 2E A1 63"
"00:28:08.880";"42D";"Std";"";"1E 00 2E FE"
"00:28:08.881";"32D";"Std";"";"7F F0 02 00 80 00 00 00"
"00:28:08.881";"305";"Std";"";"00 6C 00 87 14 00 20"
"00:28:08.882";"2ED";"Std";"";"29 26 55 F7 4B 22 48"
"00:28:08.882";"3C8";"Std";"";"08 00"
"00:28:08.882";"408";"Std";"";"00 00 00 00 00 00"
"00:28:08.883";"38D";"Std";"";"00 00 48 77 AF 91 46 00"
"00:28:08.884";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:28:08.885";"452";"Std";"";"00 00 00 03 00 00"
"00:28:08.887";"495";"Std";"";"7F 00 20 7F"
"00:28:08.888";"208";"Std";"";"17 78 32 00 4E 32 32 32"
"00:28:08.888";"228";"Std";"";"32 30 00 2C 00 B0 20 00"
"00:28:08.888";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:28:08.890";"3CD";"Std";"";"00 00 00 00 4B 2E B1 44"
"00:28:08.891";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:28:08.891";"305";"Std";"";"00 6C 00 87 05 00 20"
"00:28:08.892";"34D";"Std";"";"00 23 FA FA 00 02 00 1E"
"00:28:08.892";"3B8";"Std";"";"E8 87 CD FF CD CD 90 04"
"00:28:08.893";"438";"Std";"";"31 32 1C 00 00 00 00 00"
"00:28:08.893";"40D";"Std";"";"4A 64 9B ED 12 CA 52 42"
"00:28:08.896";"412";"Std";"";"38 00 00 01 00 77 00 00"
"00:28:08.896";"56E";"Std";"";"F0 20 00 00 00 00"
"00:28:08.898";"208";"Std";"";"17 78 32 00 4E 32 32 32"
