ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 13:00:35
Stop time: 13:01:36
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:10:02.792";"2ED";"Std";"";"5D 00 00 00 00 00 00"
"00:10:02.793";"38D";"Std";"";"00 00 00 00 AF D7 46 00"
"00:10:02.794";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:10:02.794";"305";"Std";"";"FF C3 00 07 C4 00 20"
"00:10:02.794";"208";"Std";"";"19 A8 31 00 4C 32 31 31"
"00:10:02.795";"228";"Std";"";"31 30 00 EE 00 68 20 00"
"00:10:02.795";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:10:02.799";"412";"Std";"";"18 00 00 01 00 3A 18 00"
"00:10:02.799";"56E";"Std";"";"F0 00 00 00 00 00"
"00:10:02.800";"3B8";"Std";"";"E6 57 CE FF CD CE C0 04"
"00:10:02.800";"3CD";"Std";"";"FF FD 00 00 0B 22 60 04"
"00:10:02.801";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:10:02.802";"34D";"Std";"";"00 23 FA FA 00 0A 00 1E"
"00:10:02.803";"40D";"Std";"";"00 00 00 00 00 00 00 0A"
"00:10:02.804";"305";"Std";"";"FF C3 00 87 55 00 20"
"00:10:02.804";"208";"Std";"";"19 A8 31 00 4C 32 31 31"
"00:10:02.805";"228";"Std";"";"31 30 00 FD 00 68 20 00"
"00:10:02.805";"348";"Std";"";"00 25 29 3E 01 03 60 40"
"00:10:02.805";"48E";"Std";"";"00 00 00 00"
"00:10:02.809";"3C8";"Std";"";"08 00"
"00:10:02.809";"50E";"Std";"";"00 00 08 12 00 00 FF 2B"
"00:10:02.809";"572";"Std";"";"58 80 55 60 00 00 00 00"
"00:10:02.810";"3CD";"Std";"";"FF FD 00 00 0B 22 60 F5"
"00:10:02.811";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:10:02.814";"305";"Std";"";"FF C3 00 87 66 00 20"
"00:10:02.814";"208";"Std";"";"19 90 31 00 4C 32 31 31"
"00:10:02.814";"228";"Std";"";"31 30 00 0C 00 68 20 00"
"00:10:02.815";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:10:02.819";"468";"Std";"";"20 09 40 01 00 07 00 00"
"00:10:02.820";"3CD";"Std";"";"FF FD 00 00 0B 22 60 E6"
"00:10:02.821";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:10:02.822";"34D";"Std";"";"00 23 FA FA 00 0B 00 1E"
"00:10:02.823";"40D";"Std";"";"00 00 00 00 00 00 00 0B"
"00:10:02.824";"305";"Std";"";"FF C3 00 07 F7 00 20"
"00:10:02.824";"208";"Std";"";"19 80 32 00 4C 32 31 31"
"00:10:02.824";"228";"Std";"";"31 30 00 1A 00 69 20 00"
"00:10:02.825";"348";"Std";"";"00 25 29 3E 01 03 60 40"
"00:10:02.829";"3C8";"Std";"";"08 00"
"00:10:02.829";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:10:02.829";"408";"Std";"";"00 00 00 00 00 00"
"00:10:02.830";"432";"Std";"";"81 10 40 00 00 0C 3D 52"
