ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 13:58:20
Stop time: 13:58:37
Overruns: 0  Errorframes: 0                                          
Baudrate: C0 3A
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:14:41.480";"3CD";"Std";"";"FF FD 00 00 0B 22 60 40"
"00:14:41.481";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.482";"34D";"Std";"";"00 23 FA FA 00 08 00 1C"
"00:14:41.483";"40D";"Std";"";"00 00 00 00 00 00 00 08"
"00:14:41.484";"452";"Std";"";"00 00 00 03 00 00"
"00:14:41.484";"3C8";"Std";"";"08 00"
"00:14:41.484";"408";"Std";"";"00 00 00 00 00 00"
"00:14:41.484";"792";"Std";"";"00 00 00 00 00 40 00 01"
"00:14:41.486";"305";"Std";"";"00 88 00 07 34 00 20"
"00:14:41.489";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.489";"228";"Std";"";"32 00 00 AE 00 AC 00 00"
"00:14:41.490";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:41.490";"3CD";"Std";"";"FF FD 00 00 0B 22 60 31"
"00:14:41.490";"42D";"Std";"";"1C 00 E4 FE"
"00:14:41.491";"32D";"Std";"";"7F 50 01 00 80 00 00 00"
"00:14:41.493";"412";"Std";"";"18 00 00 01 00 73 00 00"
"00:14:41.494";"56E";"Std";"";"F0 00 00 00 00 00"
"00:14:41.494";"3B8";"Std";"";"FF FF CD FF CD CD B0 04"
"00:14:41.496";"305";"Std";"";"00 88 00 07 25 00 20"
"00:14:41.498";"48E";"Std";"";"00 00 00 00"
"00:14:41.499";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.499";"228";"Std";"";"32 00 00 BD 00 AC 00 00"
"00:14:41.500";"348";"Std";"";"00 32 3D 32 C1 01 44 00"
"00:14:41.500";"3CD";"Std";"";"FF FD 00 00 0B 22 60 22"
"00:14:41.500";"588";"Std";"";"FE 00 00 00 00 3D 20 06"
"00:14:41.501";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.502";"34D";"Std";"";"00 23 FA FA 00 09 00 1C"
"00:14:41.503";"40D";"Std";"";"00 00 00 00 00 00 00 09"
"00:14:41.504";"50E";"Std";"";"00 00 00 02 00 00 FF 03"
"00:14:41.504";"3C8";"Std";"";"08 00"
"00:14:41.504";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:14:41.504";"488";"Std";"";"67 00 5F 00 00 6E 00 00"
"00:14:41.505";"572";"Std";"";"50 80 6E E0 00 00 00 00"
"00:14:41.505";"578";"Std";"";"00 00 00 00 00 00"
"00:14:41.506";"305";"Std";"";"00 88 00 07 16 00 20"
"00:14:41.509";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.509";"228";"Std";"";"32 00 00 CC 00 AC 00 00"
"00:14:41.510";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:41.510";"3CD";"Std";"";"FF FD 00 00 0B 22 60 13"
"00:14:41.511";"32D";"Std";"";"7F 50 01 00 80 00 00 00"
"00:14:41.511";"2ED";"Std";"";"5D 00 00 00 00 00 00"
"00:14:41.513";"38D";"Std";"";"00 00 00 00 AF D7 46 00"
"00:14:41.514";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.514";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:14:41.516";"305";"Std";"";"00 88 00 07 07 00 20"
"00:14:41.519";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.519";"228";"Std";"";"32 00 00 DB 00 AC 00 00"
"00:14:41.520";"348";"Std";"";"00 32 3D 32 C1 01 44 00"
"00:14:41.520";"3CD";"Std";"";"FF FD 00 00 0B 22 60 04"
"00:14:41.521";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.521";"34D";"Std";"";"00 23 FA FA 00 0A 00 1C"
"00:14:41.523";"40D";"Std";"";"00 00 00 00 00 00 00 0A"
"00:14:41.523";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.524";"432";"Std";"";"81 17 40 00 00 0C 39 12"
"00:14:41.524";"3C8";"Std";"";"08 00"
"00:14:41.524";"408";"Std";"";"00 00 00 00 00 00"
"00:14:41.524";"592";"Std";"";"1B 68 00 2B 08 11 4C 51"
"00:14:41.526";"305";"Std";"";"00 88 00 07 F8 00 20"
"00:14:41.529";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.529";"228";"Std";"";"32 00 00 EA 00 AC 00 00"
"00:14:41.530";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:41.530";"3CD";"Std";"";"FF FD 00 00 0B 22 60 F5"
"00:14:41.530";"50D";"Std";"";"00 00 00 00 00 65 8C 3A"
"00:14:41.530";"32D";"Std";"";"7F 50 01 00 80 00 00 00"
"00:14:41.534";"3B8";"Std";"";"FF FF CD FF CD CD C0 04"
"00:14:41.534";"452";"Std";"";"00 00 00 03 00 00"
"00:14:41.536";"305";"Std";"";"00 88 00 07 E9 00 20"
"00:14:41.539";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.539";"228";"Std";"";"32 00 00 F9 00 AC 00 00"
"00:14:41.539";"348";"Std";"";"00 32 3D 32 C1 01 44 00"
"00:14:41.540";"3CD";"Std";"";"FF FD 00 00 0B 22 60 E6"
"00:14:41.540";"42D";"Std";"";"1C 00 D5 FE"
"00:14:41.540";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.541";"34D";"Std";"";"00 23 FA FA 00 0B 00 1C"
"00:14:41.542";"40D";"Std";"";"00 00 00 00 00 00 00 0B"
"00:14:41.544";"412";"Std";"";"18 00 00 01 00 73 00 00"
"00:14:41.544";"3C8";"Std";"";"08 00"
"00:14:41.546";"305";"Std";"";"00 88 00 07 DA 00 20"
"00:14:41.549";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.549";"228";"Std";"";"32 00 00 08 00 AC 00 00"
"00:14:41.549";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:41.550";"3CD";"Std";"";"FF FD 00 00 0B 22 60 D7"
"00:14:41.550";"32D";"Std";"";"7F 50 01 00 80 00 00 00"
"00:14:41.551";"2ED";"Std";"";"4E 00 00 00 00 00 00"
"00:14:41.552";"38D";"Std";"";"00 00 00 00 AF E6 46 00"
"00:14:41.553";"495";"Std";"";"7F 00 20 7F"
"00:14:41.553";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.554";"4F2";"Std";"";"43 80 6E 50 89 44 C0 14"
"00:14:41.554";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:14:41.554";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:14:41.554";"532";"Std";"";"9B 62 34 00 00"
"00:14:41.556";"305";"Std";"";"00 88 00 07 CB 00 20"
"00:14:41.559";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.559";"228";"Std";"";"32 00 00 17 00 AC 00 00"
"00:14:41.559";"348";"Std";"";"00 32 3D 32 C1 01 44 00"
"00:14:41.560";"3CD";"Std";"";"FF FD 00 00 0B 22 60 C8"
"00:14:41.560";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.561";"34D";"Std";"";"00 23 FA FA 00 0C 00 1C"
"00:14:41.562";"40D";"Std";"";"00 00 00 00 00 00 00 0C"
"00:14:41.564";"3C8";"Std";"";"08 00"
"00:14:41.564";"408";"Std";"";"00 00 00 00 00 00"
"00:14:41.566";"305";"Std";"";"00 88 00 07 BC 00 20"
"00:14:41.569";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.569";"228";"Std";"";"32 00 00 26 00 AC 00 00"
"00:14:41.569";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:41.570";"3CD";"Std";"";"FF FD 00 00 0B 22 60 B9"
"00:14:41.570";"32D";"Std";"";"7F 50 01 00 80 00 00 00"
"00:14:41.573";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.574";"432";"Std";"";"81 18 40 00 00 0C 39 12"
"00:14:41.574";"3B8";"Std";"";"FF FF CD FF CD CD D0 04"
"00:14:41.574";"5D2";"Std";"";"00 00 00"
"00:14:41.574";"612";"Std";"";"00 20 02 04 02 82 00 10"
"00:14:41.576";"305";"Std";"";"00 88 00 07 AD 00 20"
"00:14:41.579";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.579";"228";"Std";"";"32 00 00 35 00 AC 00 00"
"00:14:41.579";"348";"Std";"";"00 32 3D 32 C1 01 44 00"
"00:14:41.580";"72";"Std";"";"02 00 00 00 00"
"00:14:41.580";"3CD";"Std";"";"FF FD 00 00 0B 22 60 AA"
"00:14:41.580";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.581";"34D";"Std";"";"00 23 FA FA 00 0D 00 1C"
"00:14:41.582";"40D";"Std";"";"00 00 00 00 00 00 00 0D"
"00:14:41.584";"452";"Std";"";"00 00 00 03 00 00"
"00:14:41.584";"3C8";"Std";"";"08 00"
"00:14:41.586";"305";"Std";"";"00 88 00 07 9E 00 20"
"00:14:41.589";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.589";"228";"Std";"";"32 00 00 44 00 AC 00 00"
"00:14:41.589";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:41.590";"3CD";"Std";"";"FF FD 00 00 0B 22 60 9B"
"00:14:41.590";"42D";"Std";"";"1C 00 C6 FE"
"00:14:41.590";"32D";"Std";"";"7F 50 01 00 80 00 00 00"
"00:14:41.591";"2ED";"Std";"";"3F 00 00 00 00 00 00"
"00:14:41.592";"38D";"Std";"";"00 00 00 00 AF F5 46 00"
"00:14:41.593";"412";"Std";"";"18 00 00 01 00 73 00 00"
"00:14:41.594";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:41.594";"56E";"Std";"";"F0 00 00 00 00 00"
"00:14:41.594";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:14:41.596";"305";"Std";"";"00 88 00 07 8F 00 20"
"00:14:41.598";"48E";"Std";"";"00 00 00 00"
"00:14:41.599";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:14:41.599";"228";"Std";"";"32 00 00 53 00 AC 00 00"
"00:14:41.599";"348";"Std";"";"00 32 3D 32 C1 01 44 00"
"00:14:41.600";"3CD";"Std";"";"FF FD 00 00 0B 22 60 8C"
"00:14:41.600";"588";"Std";"";"FE 00 00 00 00 3D 20 06"
"00:14:41.600";"30D";"Std";"";"00 00 00 00 00 00 00 00"
