ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 12:57:20
Stop time: 12:57:37
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:06:24.833";"3CD";"Std";"";"FF FD 00 00 0B 22 60 B9"
"00:06:24.834";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:06:24.835";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.835";"228";"Std";"";"32 00 00 37 00 04 00 00"
"00:06:24.835";"305";"Std";"";"FF C4 00 07 4B 00 20"
"00:06:24.836";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:06:24.840";"3C8";"Std";"";"08 00"
"00:06:24.843";"3CD";"Std";"";"FF FD 00 00 0B 22 60 AA"
"00:06:24.844";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.845";"34D";"Std";"";"00 23 FA FA 00 0D 00 1E"
"00:06:24.845";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.845";"228";"Std";"";"32 00 00 46 00 04 00 00"
"00:06:24.846";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:06:24.846";"305";"Std";"";"FF C4 00 07 3C 00 20"
"00:06:24.846";"40D";"Std";"";"00 00 00 00 00 00 00 0D"
"00:06:24.850";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:06:24.851";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.851";"432";"Std";"";"81 14 40 00 00 0C 39 12"
"00:06:24.851";"592";"Std";"";"14 58 00 2A 3C 11 4B EB"
"00:06:24.853";"3CD";"Std";"";"FF FD 00 00 0B 22 60 9B"
"00:06:24.853";"50D";"Std";"";"00 00 00 00 00 5A 8C AF"
"00:06:24.854";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:06:24.855";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.855";"228";"Std";"";"32 00 00 55 00 04 00 00"
"00:06:24.855";"2ED";"Std";"";"3F 00 00 00 00 00 00"
"00:06:24.856";"305";"Std";"";"FF C4 00 07 2D 00 20"
"00:06:24.856";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:06:24.856";"38D";"Std";"";"00 00 00 00 AF F5 46 00"
"00:06:24.857";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.860";"3C8";"Std";"";"08 00"
"00:06:24.860";"408";"Std";"";"00 00 00 00 00 00"
"00:06:24.861";"452";"Std";"";"00 00 00 03 00 00"
"00:06:24.863";"3CD";"Std";"";"FF FE 00 00 0B 22 60 7C"
"00:06:24.863";"42D";"Std";"";"1E 00 D3 FE"
"00:06:24.864";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.865";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.865";"228";"Std";"";"32 00 00 64 00 04 00 00"
"00:06:24.865";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:06:24.866";"305";"Std";"";"FF C4 00 07 1E 00 20"
"00:06:24.866";"34D";"Std";"";"00 23 FA FA 00 0E 00 1E"
"00:06:24.866";"40D";"Std";"";"00 00 00 00 00 00 00 0E"
"00:06:24.870";"3B8";"Std";"";"FF FF CD FF CD CD E0 04"
"00:06:24.870";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:06:24.871";"412";"Std";"";"18 00 00 01 00 3A 18 00"
"00:06:24.873";"3CD";"Std";"";"FF FE 00 00 0B 22 60 6D"
"00:06:24.874";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:06:24.875";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.875";"228";"Std";"";"32 00 00 73 00 04 00 00"
"00:06:24.875";"305";"Std";"";"FF C4 00 07 0F 00 20"
"00:06:24.876";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:06:24.880";"3C8";"Std";"";"08 00"
"00:06:24.880";"495";"Std";"";"7F 00 20 7F"
"00:06:24.881";"4F2";"Std";"";"30 C0 93 50 5F 44 C0 14"
"00:06:24.881";"532";"Std";"";"81 A6 34 00 00"
"00:06:24.883";"3CD";"Std";"";"FF FE 00 00 0B 22 60 5E"
"00:06:24.884";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.885";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.885";"228";"Std";"";"32 00 00 82 00 04 00 00"
"00:06:24.885";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:06:24.886";"305";"Std";"";"FF C4 00 07 F0 00 20"
"00:06:24.886";"34D";"Std";"";"00 23 FA FA 00 0F 00 1E"
"00:06:24.886";"40D";"Std";"";"00 00 00 00 00 00 00 0F"
"00:06:24.890";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:06:24.893";"3CD";"Std";"";"FF FE 00 00 0B 22 60 4F"
"00:06:24.894";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:06:24.895";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.895";"228";"Std";"";"32 00 00 91 00 04 00 00"
"00:06:24.895";"2ED";"Std";"";"20 00 00 00 00 00 00"
"00:06:24.895";"72";"Std";"";"02 00 00 00 00"
"00:06:24.896";"305";"Std";"";"FF C4 00 07 E1 00 20"
"00:06:24.896";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:06:24.896";"38D";"Std";"";"00 00 00 00 AF 04 46 00"
"00:06:24.897";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.900";"3C8";"Std";"";"08 00"
"00:06:24.900";"408";"Std";"";"00 00 00 00 00 00"
"00:06:24.901";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.901";"432";"Std";"";"81 15 40 00 00 0C 39 12"
"00:06:24.901";"612";"Std";"";"00 20 02 06 01 56 00 10"
"00:06:24.903";"3CD";"Std";"";"FF FD 00 00 0B 22 60 40"
"00:06:24.904";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.905";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.905";"228";"Std";"";"32 00 00 A0 00 04 00 00"
"00:06:24.905";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:06:24.905";"305";"Std";"";"FF C4 00 07 D2 00 20"
"00:06:24.906";"34D";"Std";"";"00 23 FA FA 00 00 00 1E"
"00:06:24.906";"40D";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:24.910";"3B8";"Std";"";"FF FF CD FF CD CD F0 04"
"00:06:24.910";"452";"Std";"";"00 00 00 03 00 00"
"00:06:24.911";"792";"Std";"";"00 00 00 00 00 40 00 01"
"00:06:24.913";"3CD";"Std";"";"FF FD 00 00 0B 22 60 31"
"00:06:24.913";"42D";"Std";"";"1E 00 C4 FE"
"00:06:24.914";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:06:24.915";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:06:24.915";"228";"Std";"";"32 00 00 BF 00 04 00 00"
"00:06:24.915";"305";"Std";"";"FF C4 00 07 C3 00 20"
"00:06:24.915";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:06:24.916";"588";"Std";"";"FE 00 00 00 00 3D 20 06"
"00:06:24.920";"3C8";"Std";"";"08 00"
"00:06:24.920";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:06:24.920";"488";"Std";"";"3B 00 66 00 00 3A 00 00"
"00:06:24.920";"578";"Std";"";"00 00 00 00 00 00"
"00:06:24.921";"412";"Std";"";"18 00 00 01 00 3A 18 00"
"00:06:24.921";"56E";"Std";"";"F0 20 00 00 00 00"
"00:06:24.923";"3CD";"Std";"";"FF FD 00 00 0B 22 60 22"
