ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 23/07/2024
Start time: 10:56:31
Stop time: 10:57:03
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:25:16.901";"581";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.903";"182";"Std";"";"02 50 9A 09 00"
"00:25:16.907";"187";"Std";"";"07 D3 00 1F 00"
"00:25:16.911";"6F1";"Std";"";"00 00 00 00 00 03 00 00"
"00:25:16.916";"517";"Std";"";"7D 00 00 00 00 10 00 00"
"00:25:16.918";"18B";"Std";"";"0B AD B2 33 00"
"00:25:16.918";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:16.919";"32B";"Std";"";"00 00 36 00 06 27 7D FF"
"00:25:16.923";"181";"Std";"";"01 80 57 07 00"
"00:25:16.924";"50B";"Std";"";"00 64 28 00 00 00 00 00"
"00:25:16.926";"187";"Std";"";"07 D3 00 1F 00"
"00:25:16.933";"182";"Std";"";"02 50 9A 09 00"
"00:25:16.934";"532";"Std";"";"64 84 17 88 01 00 00 32"
"00:25:16.935";"541";"Std";"";"4A 00 11 0D 00 00 00 00"
"00:25:16.936";"18B";"Std";"";"0B AD B2 33 00"
"00:25:16.936";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:16.937";"40C";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.938";"60C";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.938";"61C";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.939";"62C";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.939";"63C";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.940";"64C";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.940";"65C";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.941";"6CC";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.946";"187";"Std";"";"07 D3 00 1F 00"
"00:25:16.947";"507";"Std";"";"00 00 00 00 06 27 63 FF"
"00:25:16.948";"181";"Std";"";"01 80 57 07 00"
"00:25:16.948";"6AB";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.949";"542";"Std";"";"00 00 00 00 A3 02 B0 00"
"00:25:16.949";"5C2";"Std";"";"00 01 37 00 00 00 8D 12"
"00:25:16.954";"18B";"Std";"";"0B AD B2 33 00"
"00:25:16.954";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:16.955";"32B";"Std";"";"00 00 26 00 06 27 7D FF"
"00:25:16.960";"501";"Std";"";"00 00 49 49 06 27 7D FF"
"00:25:16.963";"182";"Std";"";"02 50 9A 09 00"
"00:25:16.964";"5D2";"Std";"";"00 4C 1D 00 00 00 00 00"
"00:25:16.964";"6F2";"Std";"";"7F 39 38 3D 09 00 00 00"
"00:25:16.966";"187";"Std";"";"07 D3 00 1F 00"
"00:25:16.971";"181";"Std";"";"01 80 57 07 00"
"00:25:16.972";"18B";"Std";"";"0B AD B2 33 00"
"00:25:16.972";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:16.978";"62B";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.978";"502";"Std";"";"A0 13 7C 05 C5 0C 6C 10"
"00:25:16.979";"512";"Std";"";"61 FD 16 0D 12 00 D6 06"
"00:25:16.979";"63B";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.980";"64B";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.980";"65B";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.983";"531";"Std";"";"EE 00 00 6C 01 00 00 00"
"00:25:16.984";"40B";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.985";"41B";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.986";"187";"Std";"";"07 D3 00 1F 00"
"00:25:16.990";"18B";"Std";"";"0B AD B2 33 00"
"00:25:16.990";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:16.991";"32B";"Std";"";"00 00 26 00 06 27 7D FF"
"00:25:16.993";"182";"Std";"";"02 50 9A 09 00"
"00:25:16.994";"522";"Std";"";"00 AC 41 4D 5F 00 00 00"
"00:25:16.994";"582";"Std";"";"70 01 0F 00 A0 BD 01 00"
"00:25:16.995";"6E2";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.996";"181";"Std";"";"01 80 57 07 00"
"00:25:16.997";"527";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:16.997";"567";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:17.006";"187";"Std";"";"07 D3 00 1F 00"
"00:25:17.008";"18B";"Std";"";"0B AD B2 33 00"
"00:25:17.008";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:17.019";"181";"Std";"";"01 80 57 07 00"
"00:25:17.020";"511";"Std";"";"C8 01 08 00 7A 00 00 00"
"00:25:17.023";"182";"Std";"";"02 50 9A 09 00"
"00:25:17.024";"562";"Std";"";"04 00 42 02 00 00 00 00"
"00:25:17.026";"187";"Std";"";"07 D3 00 1F 00"
"00:25:17.026";"18B";"Std";"";"0B AD B2 33 00"
"00:25:17.026";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:17.027";"32B";"Std";"";"00 00 2C 00 06 27 7D FF"
"00:25:17.027";"6AC";"Std";"";"11 06 00 05 00 00 00 00"
"00:25:17.038";"5B2";"Std";"";"5F 61 61 60 61 61 40 00"
"00:25:17.038";"5C2";"Std";"";"00 01 35 00 00 00 8D 12"
"00:25:17.043";"181";"Std";"";"01 80 57 07 00"
"00:25:17.044";"601";"Std";"";"10 00 00 00 00 00 00 00"
"00:25:17.044";"18B";"Std";"";"0B AD B2 33 00"
"00:25:17.044";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:17.045";"61B";"Std";"";"10 00 00 00 00 00 00 00"
"00:25:17.046";"187";"Std";"";"07 D3 00 1F 00"
"00:25:17.053";"182";"Std";"";"02 50 9A 09 00"
"00:25:17.054";"532";"Std";"";"64 84 17 88 01 00 00 32"
"00:25:17.054";"5F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:17.056";"51B";"Std";"";"01 00 00 00 00 52 80 00"
"00:25:17.057";"41C";"Std";"";"E8 07 07 17 0A 38 1C 00"
"00:25:17.062";"18B";"Std";"";"0B AD B2 33 00"
"00:25:17.062";"18C";"Std";"";"0C 00 D9 1B 00"
"00:25:17.063";"32B";"Std";"";"00 00 2A 00 06 27 7D FF"
"00:25:17.066";"187";"Std";"";"07 D3 00 1F 00"
"00:25:17.067";"181";"Std";"";"01 80 57 07 00"
