ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 23/07/2024
Start time: 10:54:19
Stop time: 10:54:52
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:23:05.088";"642";"Std";"";"00 00 00 00 00 00 00 00"
"00:23:05.089";"652";"Std";"";"00 00 00 00 00 00 00 00"
"00:23:05.095";"181";"Std";"";"01 80 57 07 00"
"00:23:05.098";"502";"Std";"";"A0 13 7C 05 C5 0C 6C 10"
"00:23:05.099";"402";"Std";"";"00 00 00 00 00 00 00 00"
"00:23:05.099";"412";"Std";"";"00 00 00 00 00 00 00 00"
"00:23:05.104";"18B";"Std";"";"0B AD B2 33 00"
"00:23:05.104";"18C";"Std";"";"0C 00 D9 1B 00"
"00:23:05.107";"531";"Std";"";"EE 00 00 6C 01 00 00 00"
"00:23:05.107";"187";"Std";"";"07 D3 00 1F 00"
"00:23:05.114";"182";"Std";"";"02 50 9A 09 00"
"00:23:05.114";"512";"Std";"";"5D FD 16 0D 12 00 D6 06"
"00:23:05.115";"532";"Std";"";"64 83 17 87 01 00 00 32"
"00:23:05.115";"582";"Std";"";"70 01 10 00 5A A7 01 00"
"00:23:05.117";"527";"Std";"";"00 00 00 00 00 00 00 00"
"00:23:05.118";"320";"Std";"";"0C"
"00:23:05.118";"567";"Std";"";"00 00 00 00 00 00 00 00"
"00:23:05.119";"6AC";"Std";"";"62 06 00 01 00 00 00 00"
"00:23:05.119";"181";"Std";"";"01 80 57 07 00"
"00:23:05.119";"6FC";"Std";"";"7F 39 38 3D 09 03 00 00"
"00:23:05.122";"18B";"Std";"";"0B AD B2 33 00"
"00:23:05.123";"18C";"Std";"";"0C 00 D9 1B 00"
"00:23:05.123";"32B";"Std";"";"00 00 31 00 06 27 7D FF"
"00:23:05.128";"187";"Std";"";"07 D3 00 1F 00"
"00:23:05.140";"18B";"Std";"";"0B AD B2 33 00"
"00:23:05.140";"18C";"Std";"";"0C 00 D9 1B 00"
"00:23:05.142";"181";"Std";"";"01 80 57 07 00"
"00:23:05.143";"182";"Std";"";"02 50 9A 09 00"
"00:23:05.144";"5C2";"Std";"";"00 01 37 00 00 00 8D 12"
"00:23:05.147";"187";"Std";"";"07 D3 00 1F 00"
"00:23:05.158";"18B";"Std";"";"0B AD B2 33 00"
"00:23:05.158";"18C";"Std";"";"0C 00 D9 1B 00"
"00:23:05.158";"32B";"Std";"";"00 00 2B 00 06 27 7D FF"
"00:23:05.166";"181";"Std";"";"01 80 57 07 00"
"00:23:05.167";"187";"Std";"";"07 D3 00 1F 00"
"00:23:05.168";"517";"Std";"";"7D 00 00 00 00 10 00 00"
"00:23:05.170";"51B";"Std";"";"01 00 00 00 00 52 80 00"
"00:23:05.174";"182";"Std";"";"02 50 9A 09 00"
"00:23:05.174";"522";"Std";"";"00 AC 41 4D 5E 00 00 00"
"00:23:05.176";"18B";"Std";"";"0B AD B2 33 00"
"00:23:05.176";"18C";"Std";"";"0C 00 D9 1B 00"
"00:23:05.179";"511";"Std";"";"C8 01 08 00 7A 00 00 00"
"00:23:05.187";"187";"Std";"";"07 D3 00 1F 00"
"00:23:05.188";"542";"Std";"";"00 00 00 00 B2 02 B0 00"
"00:23:05.190";"181";"Std";"";"01 80 57 07 00"
"00:23:05.194";"18B";"Std";"";"0B AD B2 33 00"
"00:23:05.194";"18C";"Std";"";"0C 00 D9 1B 00"
"00:23:05.195";"32B";"Std";"";"00 00 2D 00 06 27 7D FF"
"00:23:05.203";"182";"Std";"";"02 50 9A 09 00"
