ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 23/07/2024
Start time: 11:06:34
Stop time: 11:08:07
Overruns: 0  Errorframes: 0                                          
Baudrate: 250 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:35:20.621";"6F1";"Std";"";"00 00 00 00 00 03 00 00"
"00:35:20.622";"18B";"Std";"";"0B AD B2 33 00"
"00:35:20.622";"18C";"Std";"";"0C 00 D9 1B 00"
"00:35:20.628";"61B";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.628";"6EB";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.630";"181";"Std";"";"01 80 57 07 00"
"00:35:20.634";"31B";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.634";"50B";"Std";"";"00 64 28 00 00 00 02 00"
"00:35:20.638";"187";"Std";"";"07 D3 00 1F 00"
"00:35:20.639";"18B";"Std";"";"0B AD B2 33 00"
"00:35:20.640";"18C";"Std";"";"0C 00 D9 1B 00"
"00:35:20.640";"32B";"Std";"";"00 00 19 00 06 27 7D FF"
"00:35:20.648";"182";"Std";"";"02 50 9A 09 00"
"00:35:20.654";"181";"Std";"";"01 80 57 07 00"
"00:35:20.657";"187";"Std";"";"07 D3 00 1F 00"
"00:35:20.658";"18B";"Std";"";"0B AD B2 33 00"
"00:35:20.658";"18C";"Std";"";"0C 00 D9 1B 00"
"00:35:20.662";"542";"Std";"";"00 00 00 00 11 03 B0 00"
"00:35:20.663";"5C2";"Std";"";"00 01 24 00 00 00 18 15"
"00:35:20.668";"537";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.668";"6F7";"Std";"";"7F 39 38 3D 09 00 00 00"
"00:35:20.670";"30B";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.676";"18B";"Std";"";"0B AD B2 33 00"
"00:35:20.676";"18C";"Std";"";"0C 00 D9 1B 00"
"00:35:20.676";"32B";"Std";"";"00 00 18 00 06 27 7D FF"
"00:35:20.677";"182";"Std";"";"02 50 9A 09 00"
"00:35:20.678";"187";"Std";"";"07 D3 00 1F 00"
"00:35:20.678";"502";"Std";"";"FF 20 76 01 03 07 AA 0A"
"00:35:20.679";"181";"Std";"";"01 80 57 07 00"
"00:35:20.679";"552";"Std";"";"64 00 00 00 00 90 01 00"
"00:35:20.688";"507";"Std";"";"00 00 00 00 06 27 63 FF"
"00:35:20.690";"531";"Std";"";"ED 00 00 74 01 00 00 00"
"00:35:20.693";"18B";"Std";"";"0B AD B2 33 00"
"00:35:20.694";"18C";"Std";"";"0C 00 D9 1B 00"
"00:35:20.694";"40C";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.695";"6AC";"Std";"";"01 06 00 05 00 00 00 00"
"00:35:20.695";"60C";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.696";"61C";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.696";"62C";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.697";"63C";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.697";"64C";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:20.698";"187";"Std";"";"07 D3 00 1F 00"
"00:35:20.698";"517";"Std";"";"01 00 00 00 00 30 00 00"
