ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 12:55:25
Stop time: 12:55:44
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:04:29.701";"3CD";"Std";"";"FF FD 00 00 0B 22 60 04"
"00:04:29.702";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.702";"3C8";"Std";"";"08 00"
"00:04:29.702";"408";"Std";"";"00 00 00 00 00 00"
"00:04:29.703";"34D";"Std";"";"00 23 FA FA 00 0A 00 1E"
"00:04:29.704";"40D";"Std";"";"00 00 00 00 00 00 00 0A"
"00:04:29.705";"495";"Std";"";"7F 00 20 7F"
"00:04:29.706";"305";"Std";"";"FF C4 00 07 87 00 20"
"00:04:29.707";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:04:29.707";"228";"Std";"";"32 00 00 EC 00 04 00 00"
"00:04:29.707";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:04:29.711";"3CD";"Std";"";"FF FD 00 00 0B 22 60 F5"
"00:04:29.712";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:04:29.712";"3B8";"Std";"";"FF FF CD FF CD CD C0 04"
"00:04:29.716";"305";"Std";"";"FF C4 00 07 78 00 20"
"00:04:29.717";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:04:29.717";"228";"Std";"";"32 00 00 FB 00 04 00 00"
"00:04:29.717";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:04:29.717";"72";"Std";"";"02 00 00 00 00"
"00:04:29.718";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.718";"432";"Std";"";"81 13 40 00 00 0C 39 12"
"00:04:29.719";"612";"Std";"";"00 20 02 06 01 69 00 10"
"00:04:29.721";"3CD";"Std";"";"FF FD 00 00 0B 22 60 E6"
"00:04:29.722";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.722";"3C8";"Std";"";"08 00"
"00:04:29.723";"34D";"Std";"";"00 23 FA FA 00 0B 00 1E"
"00:04:29.723";"5EE";"Std";"";"FC FF A3 08"
"00:04:29.724";"40D";"Std";"";"00 00 00 00 00 00 00 0B"
"00:04:29.726";"305";"Std";"";"FF C4 00 07 69 00 20"
"00:04:29.727";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:04:29.727";"228";"Std";"";"32 00 00 0A 00 04 00 00"
"00:04:29.727";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:04:29.728";"452";"Std";"";"00 00 00 03 00 00"
"00:04:29.731";"3CD";"Std";"";"FF FD 00 00 0B 22 60 D7"
"00:04:29.731";"42D";"Std";"";"1E 00 E2 FE"
"00:04:29.732";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:04:29.732";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:04:29.733";"2ED";"Std";"";"4E 00 00 00 00 00 00"
"00:04:29.734";"38D";"Std";"";"00 00 00 00 AF E6 46 00"
"00:04:29.735";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.736";"305";"Std";"";"FF C4 00 07 5A 00 20"
"00:04:29.737";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:04:29.737";"228";"Std";"";"32 00 00 19 00 04 00 00"
"00:04:29.737";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:04:29.737";"588";"Std";"";"FE 00 00 00 00 3D 20 06"
"00:04:29.738";"412";"Std";"";"18 00 00 01 00 3A 18 00"
"00:04:29.738";"56E";"Std";"";"F0 20 00 00 00 00"
"00:04:29.741";"3CD";"Std";"";"FF FD 00 00 0B 22 60 C8"
"00:04:29.742";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.742";"3C8";"Std";"";"08 00"
"00:04:29.742";"408";"Std";"";"00 00 00 00 00 00"
"00:04:29.742";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:04:29.742";"488";"Std";"";"3A 00 66 00 00 3A 00 00"
"00:04:29.743";"34D";"Std";"";"00 23 FA FA 00 0C 00 1E"
"00:04:29.743";"578";"Std";"";"00 00 00 00 00 00"
"00:04:29.743";"48E";"Std";"";"00 00 00 00"
"00:04:29.744";"40D";"Std";"";"00 00 00 00 00 00 00 0C"
"00:04:29.746";"305";"Std";"";"FF C4 00 07 4B 00 20"
"00:04:29.747";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:04:29.747";"228";"Std";"";"32 00 00 28 00 04 00 00"
"00:04:29.747";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:04:29.748";"50E";"Std";"";"00 00 00 02 00 00 FF 0D"
"00:04:29.748";"572";"Std";"";"50 80 5C 60 00 00 00 00"
"00:04:29.751";"3CD";"Std";"";"FF FD 00 00 0B 22 60 B9"
"00:04:29.752";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:04:29.752";"3B8";"Std";"";"FF FF CD FF CD CD D0 04"
"00:04:29.756";"305";"Std";"";"FF C4 00 07 3C 00 20"
"00:04:29.757";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:04:29.757";"228";"Std";"";"32 00 00 37 00 04 00 00"
"00:04:29.757";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:04:29.761";"3CD";"Std";"";"FF FD 00 00 0B 22 60 AA"
"00:04:29.762";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.762";"3C8";"Std";"";"08 00"
"00:04:29.763";"34D";"Std";"";"00 23 FA FA 00 0D 00 1E"
"00:04:29.764";"40D";"Std";"";"00 00 00 00 00 00 00 0D"
"00:04:29.766";"305";"Std";"";"FF C4 00 07 2D 00 20"
"00:04:29.767";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:04:29.767";"228";"Std";"";"32 00 00 46 00 04 00 00"
"00:04:29.767";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:04:29.768";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.768";"432";"Std";"";"81 14 40 00 00 0C 39 12"
"00:04:29.768";"592";"Std";"";"14 58 00 2A 3C 11 4B D7"
"00:04:29.771";"3CD";"Std";"";"FF FD 00 00 0B 22 60 9B"
"00:04:29.771";"50D";"Std";"";"00 00 00 00 00 5A 8C AF"
"00:04:29.772";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:04:29.772";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:04:29.773";"2ED";"Std";"";"3F 00 00 00 00 00 00"
"00:04:29.774";"38D";"Std";"";"00 00 00 00 AF F5 46 00"
"00:04:29.775";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.776";"305";"Std";"";"FF C4 00 07 1E 00 20"
"00:04:29.777";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:04:29.777";"228";"Std";"";"32 00 00 55 00 04 00 00"
"00:04:29.777";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:04:29.778";"452";"Std";"";"00 00 00 03 00 00"
"00:04:29.778";"552";"Std";"";"06 2B 44 E8 00 00 0B FE"
"00:04:29.781";"3CD";"Std";"";"FF FD 00 00 0B 22 60 8C"
"00:04:29.781";"42D";"Std";"";"1E 00 D3 FE"
"00:04:29.782";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:29.782";"3C8";"Std";"";"08 00"
"00:04:29.782";"408";"Std";"";"00 00 00 00 00 00"
"00:04:29.783";"34D";"Std";"";"00 23 FA FA 00 0E 00 1E"
