ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 13:05:15
Stop time: 13:05:40
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:14:17.595";"305";"Std";"";"FF C3 00 07 3B 00 20"
"00:14:17.595";"208";"Std";"";"19 20 2D 00 4C 32 2D 2D"
"00:14:17.595";"228";"Std";"";"2D 30 00 12 00 B1 20 00"
"00:14:17.595";"72";"Std";"";"02 00 00 00 00"
"00:14:17.595";"348";"Std";"";"00 24 2A 3F 01 03 60 40"
"00:14:17.599";"3C8";"Std";"";"08 00"
"00:14:17.599";"408";"Std";"";"00 00 00 00 00 00"
"00:14:17.600";"3CD";"Std";"";"FF FD 00 00 0B 22 60 E6"
"00:14:17.600";"4F2";"Std";"";"2F 80 7B 90 9D 44 C0 14"
"00:14:17.600";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:17.601";"532";"Std";"";"7E 66 34 00 00"
"00:14:17.601";"34D";"Std";"";"00 23 FA FA 00 0B 00 1E"
"00:14:17.602";"40D";"Std";"";"00 00 00 00 00 00 00 0B"
"00:14:17.605";"305";"Std";"";"FF C3 00 87 CC 00 20"
"00:14:17.605";"208";"Std";"";"19 20 2D 00 4C 32 2D 2D"
"00:14:17.605";"228";"Std";"";"2D 30 00 21 00 B1 20 00"
"00:14:17.605";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:17.609";"3B8";"Std";"";"E6 DF D2 FF CD D2 50 04"
"00:14:17.610";"3CD";"Std";"";"FF FD 00 00 0B 22 60 D7"
"00:14:17.610";"5ED";"Std";"";"FC FC E0"
"00:14:17.610";"32D";"Std";"";"7F D0 01 00 80 00 00 00"
"00:14:17.611";"2ED";"Std";"";"C6 00 00 00 00 00 00"
"00:14:17.612";"38D";"Std";"";"00 00 00 00 AF 6E 46 00"
"00:14:17.613";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:17.615";"305";"Std";"";"FF C3 00 07 5D 00 20"
"00:14:17.615";"208";"Std";"";"19 28 2D 00 4C 32 2D 2D"
"00:14:17.615";"228";"Std";"";"2D 30 00 30 00 B1 20 00"
"00:14:17.615";"348";"Std";"";"00 24 2A 3F 01 03 60 40"
"00:14:17.615";"588";"Std";"";"FE 00 00 4C 00 3D 20 06"
"00:14:17.619";"3C8";"Std";"";"08 00"
"00:14:17.619";"438";"Std";"";"2D 32 1E 00 00 00 00 00"
"00:14:17.620";"3CD";"Std";"";"FF FD 00 00 0B 22 60 C8"
"00:14:17.620";"488";"Std";"";"44 4C 64 00 00 3D 00 00"
"00:14:17.620";"578";"Std";"";"00 00 00 00 00 00"
"00:14:17.620";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:17.621";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:17.621";"432";"Std";"";"81 1D 40 00 00 0C 3D 52"
"00:14:17.621";"612";"Std";"";"80 20 01 06 01 8E 00 10"
"00:14:17.621";"34D";"Std";"";"00 23 FA FA 00 0C 00 1E"
"00:14:17.622";"40D";"Std";"";"00 00 00 00 00 00 00 0C"
"00:14:17.625";"305";"Std";"";"FF C3 00 07 6E 00 20"
"00:14:17.625";"208";"Std";"";"19 28 2D 00 4C 32 2D 2D"
"00:14:17.625";"228";"Std";"";"2D 30 00 4F 00 B1 20 00"
"00:14:17.625";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:17.629";"468";"Std";"";"20 09 40 02 50 07 00 00"
"00:14:17.630";"3CD";"Std";"";"FF FD 00 00 0B 22 60 B9"
"00:14:17.630";"42D";"Std";"";"1E 00 4C FE"
"00:14:17.630";"452";"Std";"";"00 00 00 03 00 00"
"00:14:17.630";"32D";"Std";"";"7F D0 01 00 80 00 00 00"
"00:14:17.630";"4D2";"Std";"";"39 56 37"
"00:14:17.635";"305";"Std";"";"FF C3 00 07 7F 00 20"
"00:14:17.635";"208";"Std";"";"19 10 2D 00 4C 32 2D 2D"
"00:14:17.635";"228";"Std";"";"2D 30 00 5E 00 B1 20 00"
"00:14:17.635";"348";"Std";"";"00 24 2A 3F 01 03 60 40"
"00:14:17.639";"3C8";"Std";"";"08 00"
"00:14:17.639";"408";"Std";"";"00 00 00 00 00 00"
"00:14:17.640";"3CD";"Std";"";"FF FD 00 00 0B 22 60 AA"
"00:14:17.640";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:17.641";"412";"Std";"";"18 00 00 01 00 3C 18 00"
"00:14:17.641";"56E";"Std";"";"F0 00 00 00 00 00"
"00:14:17.641";"34D";"Std";"";"00 23 FA FA 00 0D 00 1E"
"00:14:17.642";"40D";"Std";"";"00 00 00 00 00 00 00 0D"
"00:14:17.645";"305";"Std";"";"FF C3 00 87 00 00 20"
"00:14:17.645";"208";"Std";"";"19 10 2D 00 4C 32 2D 2D"
"00:14:17.645";"228";"Std";"";"2D 30 00 6D 00 B1 20 00"
"00:14:17.645";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:14:17.645";"48E";"Std";"";"00 00 00 00"
"00:14:17.649";"3B8";"Std";"";"E6 EF D2 FF CD D2 60 04"
"00:14:17.650";"3CD";"Std";"";"FF FD 00 00 0B 22 60 9B"
"00:14:17.650";"50E";"Std";"";"00 00 00 12 00 00 FF 2B"
"00:14:17.650";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:14:17.651";"572";"Std";"";"58 80 66 60 00 00 00 00"
