ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 12:53:59
Stop time: 12:54:11
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:03:05.236";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.236";"228";"Std";"";"32 00 00 64 00 04 00 00"
"00:03:05.237";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.237";"3CD";"Std";"";"FF FD 00 00 0B 22 60 7D"
"00:03:05.238";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.238";"305";"Std";"";"FF C4 00 07 F0 00 20"
"00:03:05.241";"3B8";"Std";"";"FF FF CD FF CD CD A0 04"
"00:03:05.246";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.247";"228";"Std";"";"32 00 00 73 00 04 00 00"
"00:03:05.247";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.247";"3CD";"Std";"";"FF FD 00 00 0B 22 60 6E"
"00:03:05.248";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.248";"305";"Std";"";"FF C4 00 07 E1 00 20"
"00:03:05.249";"34D";"Std";"";"00 23 FA FA 00 07 00 1E"
"00:03:05.250";"40D";"Std";"";"00 00 00 00 00 00 00 07"
"00:03:05.251";"3C8";"Std";"";"08 00"
"00:03:05.253";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.254";"432";"Std";"";"81 18 40 00 00 0C 39 12"
"00:03:05.254";"592";"Std";"";"14 58 00 2A 3C 11 4B CF"
"00:03:05.256";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.256";"228";"Std";"";"32 00 00 82 00 04 00 00"
"00:03:05.257";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.257";"3CD";"Std";"";"FF FD 00 00 0B 22 60 5F"
"00:03:05.257";"50D";"Std";"";"00 00 00 00 00 5A 8C CD"
"00:03:05.258";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.258";"305";"Std";"";"FF C4 00 07 D2 00 20"
"00:03:05.259";"2ED";"Std";"";"6C 00 00 00 00 00 00"
"00:03:05.260";"38D";"Std";"";"00 00 00 00 AF C8 46 00"
"00:03:05.261";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.261";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:03:05.263";"452";"Std";"";"00 00 00 03 00 00"
"00:03:05.266";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.266";"228";"Std";"";"32 00 00 91 00 04 00 00"
"00:03:05.267";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.267";"3CD";"Std";"";"FF FD 00 00 0B 22 60 40"
"00:03:05.267";"42D";"Std";"";"1E 00 97 FE"
"00:03:05.268";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.268";"305";"Std";"";"FF C4 00 07 C3 00 20"
"00:03:05.269";"34D";"Std";"";"00 23 FA FA 00 08 00 1E"
"00:03:05.270";"40D";"Std";"";"00 00 00 00 00 00 00 08"
"00:03:05.271";"3C8";"Std";"";"08 00"
"00:03:05.271";"408";"Std";"";"00 00 00 00 00 00"
"00:03:05.273";"412";"Std";"";"18 00 00 01 00 3A 18 00"
"00:03:05.276";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.276";"228";"Std";"";"32 00 00 A0 00 04 00 00"
"00:03:05.277";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.277";"3CD";"Std";"";"FF FD 00 00 0B 22 60 31"
"00:03:05.278";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.278";"305";"Std";"";"FF C4 00 07 B4 00 20"
"00:03:05.281";"3B8";"Std";"";"FF FF CD FF CD CD B0 04"
"00:03:05.281";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:03:05.283";"4F2";"Std";"";"32 00 8D 50 5F 44 C0 14"
"00:03:05.283";"532";"Std";"";"81 A6 34 00 00"
"00:03:05.286";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.286";"228";"Std";"";"32 00 00 BF 00 04 00 00"
"00:03:05.287";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.287";"3CD";"Std";"";"FF FD 00 00 0B 22 60 22"
"00:03:05.288";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.288";"305";"Std";"";"FF C4 00 07 A5 00 20"
"00:03:05.289";"34D";"Std";"";"00 23 FA FA 00 09 00 1E"
"00:03:05.290";"40D";"Std";"";"00 00 00 00 00 00 00 09"
"00:03:05.291";"3C8";"Std";"";"08 00"
"00:03:05.294";"495";"Std";"";"7F 00 20 7F"
"00:03:05.296";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.296";"228";"Std";"";"32 00 00 CE 00 04 00 00"
"00:03:05.297";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.297";"3CD";"Std";"";"FF FD 00 00 0B 22 60 13"
"00:03:05.298";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.298";"305";"Std";"";"FF C4 00 07 96 00 20"
"00:03:05.299";"2ED";"Std";"";"5D 00 00 00 00 00 00"
"00:03:05.300";"38D";"Std";"";"00 00 00 00 AF D7 46 00"
"00:03:05.301";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.301";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:03:05.303";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.303";"432";"Std";"";"81 19 40 00 00 0C 39 12"
"00:03:05.304";"612";"Std";"";"00 20 02 06 01 76 00 10"
"00:03:05.306";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.306";"228";"Std";"";"32 00 00 DD 00 04 00 00"
"00:03:05.307";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.307";"72";"Std";"";"00 90 6F 1A 34"
"00:03:05.307";"3CD";"Std";"";"FF FD 00 00 0B 22 60 04"
"00:03:05.308";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.308";"305";"Std";"";"FF C4 00 07 87 00 20"
"00:03:05.309";"34D";"Std";"";"00 23 FA FA 00 0A 00 1E"
"00:03:05.310";"40D";"Std";"";"00 00 00 00 00 00 00 0A"
"00:03:05.311";"3C8";"Std";"";"08 00"
"00:03:05.311";"408";"Std";"";"00 00 00 00 00 00"
"00:03:05.313";"452";"Std";"";"00 00 00 03 00 00"
"00:03:05.313";"4D2";"Std";"";"39 56 37"
"00:03:05.316";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.316";"228";"Std";"";"32 00 00 EC 00 04 00 00"
"00:03:05.317";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.317";"72";"Std";"";"00 90 6F 1A 34"
"00:03:05.317";"3CD";"Std";"";"FF FD 00 00 0B 22 60 F5"
"00:03:05.317";"42D";"Std";"";"1E 00 88 FE"
"00:03:05.318";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.318";"305";"Std";"";"FF C4 00 87 F8 00 20"
"00:03:05.321";"3B8";"Std";"";"FF FF CD FF CD CD C0 04"
"00:03:05.323";"412";"Std";"";"18 00 00 01 00 3A 18 00"
"00:03:05.324";"56E";"Std";"";"F0 20 00 00 00 00"
"00:03:05.326";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.326";"228";"Std";"";"32 00 00 FB 00 04 00 00"
"00:03:05.327";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.327";"72";"Std";"";"00 90 6F 1A 34"
"00:03:05.327";"588";"Std";"";"FE 00 00 00 00 3D 20 06"
"00:03:05.327";"3CD";"Std";"";"FF FD 00 00 0B 22 60 E6"
"00:03:05.328";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.328";"305";"Std";"";"FF C4 00 07 69 00 20"
"00:03:05.329";"48E";"Std";"";"00 00 00 00"
"00:03:05.329";"34D";"Std";"";"00 23 FA FA 00 0B 00 1E"
"00:03:05.330";"40D";"Std";"";"00 00 00 00 00 00 00 0B"
"00:03:05.331";"3C8";"Std";"";"08 00"
"00:03:05.331";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:03:05.331";"488";"Std";"";"3A 00 66 00 00 3A 00 00"
"00:03:05.332";"578";"Std";"";"00 00 00 00 00 00"
"00:03:05.333";"50E";"Std";"";"00 00 00 02 00 00 FF 03"
"00:03:05.334";"572";"Std";"";"50 80 5E 00 00 00 00 00"
"00:03:05.336";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.336";"228";"Std";"";"32 00 00 0A 00 04 00 00"
"00:03:05.337";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.337";"3CD";"Std";"";"FF FD 00 00 0B 22 60 D7"
"00:03:05.337";"72";"Std";"";"00 90 6F 1A 34"
"00:03:05.338";"32D";"Std";"";"7F D0 01 00 80 00 00 00"
"00:03:05.338";"305";"Std";"";"FF C4 00 87 DA 00 20"
"00:03:05.338";"A8";"Std";"";"04 7F D7 63 BC"
"00:03:05.339";"2ED";"Std";"";"4E 00 00 00 00 00 00"
"00:03:05.340";"38D";"Std";"";"00 00 00 00 AF E6 46 00"
"00:03:05.341";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.341";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:03:05.346";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.346";"228";"Std";"";"32 00 00 19 00 04 00 00"
"00:03:05.347";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.347";"3CD";"Std";"";"FF FD 00 00 0B 22 60 C8"
"00:03:05.348";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.348";"305";"Std";"";"FF C4 00 07 4B 00 20"
"00:03:05.349";"34D";"Std";"";"00 23 FA FA 00 0C 00 1E"
"00:03:05.350";"40D";"Std";"";"00 00 00 00 00 00 00 0C"
"00:03:05.351";"3C8";"Std";"";"08 00"
"00:03:05.351";"408";"Std";"";"00 00 00 00 00 00"
"00:03:05.353";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.353";"432";"Std";"";"81 1A 40 00 00 0C 39 12"
"00:03:05.354";"592";"Std";"";"14 58 00 2A 3C 11 4B C9"
"00:03:05.356";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.356";"228";"Std";"";"32 00 00 28 00 04 00 00"
"00:03:05.357";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.357";"3CD";"Std";"";"FF FD 00 00 0B 22 60 B9"
"00:03:05.357";"50D";"Std";"";"00 00 00 00 00 5A 8C DC"
"00:03:05.358";"32D";"Std";"";"7F D0 01 00 80 00 00 00"
"00:03:05.358";"305";"Std";"";"FF C4 00 07 3C 00 20"
"00:03:05.361";"3B8";"Std";"";"FF FF CD FF CD CD D0 04"
"00:03:05.363";"452";"Std";"";"00 00 00 03 00 00"
"00:03:05.364";"5B2";"Std";"";"00 00 8D 80 00 02 00 00"
"00:03:05.366";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.366";"228";"Std";"";"32 00 00 37 00 04 00 00"
"00:03:05.367";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.367";"3CD";"Std";"";"FF FD 00 00 0B 22 60 AA"
"00:03:05.367";"42D";"Std";"";"1E 00 79 FE"
"00:03:05.368";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.368";"305";"Std";"";"FF C4 00 07 2D 00 20"
"00:03:05.369";"52E";"Std";"";"FF FF 00 00 00 00 00 00"
"00:03:05.369";"34D";"Std";"";"00 23 FA FA 00 0D 00 1E"
"00:03:05.370";"40D";"Std";"";"00 00 00 00 00 00 00 0D"
"00:03:05.371";"3C8";"Std";"";"08 00"
"00:03:05.373";"412";"Std";"";"18 00 00 01 00 3A 18 00"
"00:03:05.376";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.376";"228";"Std";"";"32 00 00 46 00 04 00 00"
"00:03:05.377";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.377";"3CD";"Std";"";"FF FD 00 00 0B 22 60 9B"
"00:03:05.378";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.378";"305";"Std";"";"FF C4 00 07 1E 00 20"
"00:03:05.379";"2ED";"Std";"";"3F 00 00 00 00 00 00"
"00:03:05.380";"38D";"Std";"";"00 00 00 00 AF F5 46 00"
"00:03:05.381";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.381";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:03:05.381";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:03:05.383";"4F2";"Std";"";"32 00 8D 50 5F 44 C0 14"
"00:03:05.383";"532";"Std";"";"81 A6 34 00 00"
"00:03:05.386";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.386";"228";"Std";"";"32 00 00 55 00 04 00 00"
"00:03:05.387";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.387";"3CD";"Std";"";"FF FD 00 00 0B 22 60 8C"
"00:03:05.388";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.388";"305";"Std";"";"FF C4 00 07 0F 00 20"
"00:03:05.389";"A8";"Std";"";"04 7F D7 63 BC"
"00:03:05.389";"492";"Std";"";"56 42 59 48 56 45"
"00:03:05.389";"34D";"Std";"";"00 23 FA FA 00 0E 00 1E"
"00:03:05.390";"40D";"Std";"";"00 00 00 00 00 00 00 0E"
"00:03:05.391";"3C8";"Std";"";"08 00"
"00:03:05.391";"408";"Std";"";"00 00 00 00 00 00"
"00:03:05.394";"495";"Std";"";"7F 00 20 7F"
"00:03:05.396";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.396";"228";"Std";"";"32 00 00 64 00 04 00 00"
"00:03:05.397";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.397";"3CD";"Std";"";"FF FD 00 00 0B 22 60 7D"
"00:03:05.397";"5ED";"Std";"";"FC FC E0"
"00:03:05.398";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.398";"305";"Std";"";"FF C4 00 07 F0 00 20"
"00:03:05.401";"3B8";"Std";"";"FF FF CD FF CD CD E0 04"
"00:03:05.403";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.403";"432";"Std";"";"81 1B 40 00 00 0C 39 12"
"00:03:05.404";"612";"Std";"";"00 20 02 06 01 76 00 10"
"00:03:05.406";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.406";"228";"Std";"";"32 00 00 73 00 04 00 00"
"00:03:05.407";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.407";"72";"Std";"";"02 00 00 00 00"
"00:03:05.407";"3CD";"Std";"";"FF FD 00 00 0B 22 60 6E"
"00:03:05.408";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.408";"305";"Std";"";"FF C4 00 07 E1 00 20"
"00:03:05.409";"34D";"Std";"";"00 23 FA FA 00 0F 00 1E"
"00:03:05.410";"40D";"Std";"";"00 00 00 00 00 00 00 0F"
"00:03:05.411";"3C8";"Std";"";"08 00"
"00:03:05.413";"452";"Std";"";"00 00 00 03 00 00"
"00:03:05.416";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.416";"228";"Std";"";"32 00 00 82 00 04 00 00"
"00:03:05.417";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.417";"3CD";"Std";"";"FF FD 00 00 0B 22 60 5F"
"00:03:05.417";"42D";"Std";"";"1E 00 6A FE"
"00:03:05.418";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.418";"305";"Std";"";"FF C4 00 07 D2 00 20"
"00:03:05.419";"2ED";"Std";"";"20 00 00 00 00 00 00"
"00:03:05.420";"38D";"Std";"";"00 00 00 00 AF 04 46 00"
"00:03:05.421";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.421";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:03:05.424";"412";"Std";"";"18 00 00 01 00 3A 18 00"
"00:03:05.424";"56E";"Std";"";"F0 20 00 00 00 00"
"00:03:05.426";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.426";"228";"Std";"";"32 00 00 91 00 04 00 00"
"00:03:05.427";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.427";"588";"Std";"";"FE 00 00 00 00 3D 20 06"
"00:03:05.427";"3CD";"Std";"";"FF FC 00 00 0B 22 60 50"
"00:03:05.428";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.428";"305";"Std";"";"FF C4 00 07 C3 00 20"
"00:03:05.429";"48E";"Std";"";"00 00 00 00"
"00:03:05.429";"34D";"Std";"";"00 23 FA FA 00 00 00 1E"
"00:03:05.430";"40D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.431";"3C8";"Std";"";"08 00"
"00:03:05.431";"408";"Std";"";"00 00 00 00 00 00"
"00:03:05.431";"438";"Std";"";"32 32 32 00 00 00 00 00"
"00:03:05.431";"488";"Std";"";"3A 00 66 00 00 3A 00 00"
"00:03:05.432";"578";"Std";"";"00 00 00 00 00 00"
"00:03:05.433";"50E";"Std";"";"00 00 00 02 00 00 FF 05"
"00:03:05.434";"572";"Std";"";"50 80 5E 00 00 00 00 00"
"00:03:05.436";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.436";"228";"Std";"";"32 00 00 A0 00 04 00 00"
"00:03:05.437";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:03:05.437";"3CD";"Std";"";"FF FC 00 00 0B 22 60 41"
"00:03:05.438";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:03:05.438";"305";"Std";"";"FF C4 00 07 B4 00 20"
"00:03:05.441";"3B8";"Std";"";"FF FF CD FF CD CD F0 04"
"00:03:05.446";"208";"Std";"";"00 00 32 00 0C 32 32 32"
"00:03:05.446";"228";"Std";"";"32 00 00 BF 00 04 00 00"
"00:03:05.447";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:03:05.447";"3CD";"Std";"";"FF FD 00 00 0B 22 60 22"
"00:03:05.448";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:05.448";"305";"Std";"";"FF C4 00 87 25 00 20"
"00:03:05.449";"34D";"Std";"";"00 23 FA FA 00 01 00 1E"
