ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 19/04/2017
Start time: 17:17:57
Stop time: 17:18:21
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:20:50.754";"262";"Std";"";"00 00 00 00 69"
"00:20:50.756";"2C1";"Std";"";"08 00 00 00 32 DF 00 E4"
"00:20:50.762";"B2";"Std";"";"00 00 00 00 00 0D"
"00:20:50.762";"B0";"Std";"";"00 00 00 00 00 0D"
"00:20:50.762";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:20:50.762";"2C4";"Std";"";"03 8D 00 24 00 00 62 E4"
"00:20:50.764";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:20:50.766";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:20:50.768";"380";"Std";"";"00 20 00 00 00 00 2C 00"
"00:20:50.772";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:50.772";"B0";"Std";"";"00 00 00 00 00 0E"
"00:20:50.772";"B2";"Std";"";"00 00 00 00 00 0E"
"00:20:50.772";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:20:50.773";"2D5";"Std";"";"00 00"
"00:20:50.774";"262";"Std";"";"00 00 00 00 69"
"00:20:50.781";"B2";"Std";"";"00 00 00 00 00 0F"
"00:20:50.782";"B0";"Std";"";"00 00 00 00 00 0F"
"00:20:50.782";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:20:50.784";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:20:50.785";"2C4";"Std";"";"03 90 00 24 00 00 62 E7"
"00:20:50.788";"2C1";"Std";"";"08 00 00 00 33 DF 00 E5"
"00:20:50.792";"B2";"Std";"";"00 00 00 00 00 00"
"00:20:50.792";"B0";"Std";"";"00 00 00 00 00 00"
"00:20:50.794";"262";"Std";"";"00 00 00 00 69"
"00:20:50.797";"2D5";"Std";"";"00 00"
"00:20:50.798";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:20:50.798";"3A1";"Std";"";"00 00 00 00 00 90 00 00"
"00:20:50.802";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:50.802";"B0";"Std";"";"00 00 00 00 00 01"
"00:20:50.802";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:20:50.802";"B2";"Std";"";"00 00 00 00 00 01"
"00:20:50.802";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:20:50.804";"260";"Std";"";"08 00 06 00 00 00 00 78"
"00:20:50.809";"2C4";"Std";"";"03 93 00 24 00 00 62 EA"
"00:20:50.812";"B2";"Std";"";"00 00 00 00 00 02"
"00:20:50.812";"B0";"Std";"";"00 00 00 00 00 02"
"00:20:50.814";"262";"Std";"";"00 00 00 00 69"
"00:20:50.819";"2C1";"Std";"";"08 00 00 00 36 DF 00 E8"
"00:20:50.820";"2D5";"Std";"";"00 00"
"00:20:50.821";"442";"Std";"";"40 02 00 00 02 00 00 00"
"00:20:50.822";"B2";"Std";"";"00 00 00 00 00 03"
"00:20:50.822";"B0";"Std";"";"00 00 00 00 00 03"
"00:20:50.822";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:20:50.824";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:20:50.829";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:20:50.831";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:50.832";"B0";"Std";"";"00 00 00 00 00 04"
"00:20:50.832";"B2";"Std";"";"00 00 00 00 00 04"
"00:20:50.832";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:20:50.833";"2C4";"Std";"";"03 94 00 24 00 00 62 EB"
"00:20:50.834";"262";"Std";"";"00 00 00 00 69"
"00:20:50.838";"3A0";"Std";"";"00 B0 00 00 07 00 00 3F"
"00:20:50.841";"B2";"Std";"";"00 00 00 00 00 05"
"00:20:50.842";"B0";"Std";"";"00 00 00 00 00 05"
"00:20:50.842";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:20:50.844";"2D5";"Std";"";"00 00"
"00:20:50.844";"260";"Std";"";"08 00 07 00 00 00 00 79"
"00:20:50.851";"2C1";"Std";"";"08 00 00 00 3A DF 00 EC"
"00:20:50.851";"B2";"Std";"";"00 00 00 00 00 06"
"00:20:50.852";"B0";"Std";"";"00 00 00 00 00 06"
"00:20:50.854";"262";"Std";"";"00 00 00 00 69"
"00:20:50.856";"2C4";"Std";"";"03 95 00 24 00 00 62 EC"
"00:20:50.861";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:20:50.862";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:50.862";"B0";"Std";"";"00 00 00 00 00 07"
"00:20:50.862";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:20:50.862";"B2";"Std";"";"00 00 00 00 00 07"
"00:20:50.862";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:20:50.864";"260";"Std";"";"08 00 06 00 00 00 00 78"
"00:20:50.864";"3B3";"Std";"";"03 95 28"
"00:20:50.867";"2D5";"Std";"";"00 00"
"00:20:50.871";"B2";"Std";"";"00 00 00 00 00 08"
"00:20:50.872";"B0";"Std";"";"00 00 00 00 00 08"
"00:20:50.874";"262";"Std";"";"00 00 00 00 69"
"00:20:50.880";"2C4";"Std";"";"03 96 00 24 00 00 62 ED"
"00:20:50.881";"B2";"Std";"";"00 00 00 00 00 09"
"00:20:50.882";"B0";"Std";"";"00 00 00 00 00 09"
