ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 19/04/2017
Start time: 17:07:27
Stop time: 17:07:42
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:10:20.754";"2C1";"Std";"";"08 00 00 10 2D C0 00 D0"
"00:10:20.755";"262";"Std";"";"00 00 00 00 69"
"00:10:20.759";"B2";"Std";"";"00 00 00 00 00 03"
"00:10:20.760";"B0";"Std";"";"00 00 00 00 00 03"
"00:10:20.760";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:10:20.760";"2D5";"Std";"";"00 00"
"00:10:20.764";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:10:20.765";"260";"Std";"";"0E 00 00 00 00 00 00 78"
"00:10:20.765";"3A0";"Std";"";"00 AF 00 00 07 00 00 3C"
"00:10:20.769";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:10:20.770";"B0";"Std";"";"00 00 00 00 00 04"
"00:10:20.770";"B2";"Std";"";"00 00 00 00 00 04"
"00:10:20.770";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:10:20.772";"2C4";"Std";"";"00 00 00 25 00 00 62 55"
"00:10:20.775";"262";"Std";"";"00 00 00 00 69"
"00:10:20.779";"B2";"Std";"";"00 00 00 00 00 05"
"00:10:20.780";"B0";"Std";"";"00 00 00 00 00 05"
"00:10:20.780";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:10:20.784";"2D5";"Std";"";"00 00"
"00:10:20.785";"260";"Std";"";"0E 00 00 00 00 00 00 78"
"00:10:20.786";"2C1";"Std";"";"08 00 00 10 2D C0 00 D0"
"00:10:20.789";"B2";"Std";"";"00 00 00 00 00 06"
"00:10:20.790";"B0";"Std";"";"00 00 00 00 00 06"
"00:10:20.795";"262";"Std";"";"00 00 00 00 69"
"00:10:20.796";"2C4";"Std";"";"00 00 00 25 00 00 62 55"
"00:10:20.796";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:10:20.799";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:10:20.800";"B0";"Std";"";"00 00 00 00 00 07"
"00:10:20.800";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:10:20.800";"B2";"Std";"";"00 00 00 00 00 07"
"00:10:20.800";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:10:20.805";"260";"Std";"";"0E 00 00 00 00 00 00 78"
"00:10:20.807";"2D5";"Std";"";"00 00"
"00:10:20.809";"B2";"Std";"";"00 00 00 00 00 08"
"00:10:20.809";"B0";"Std";"";"00 00 00 00 00 08"
"00:10:20.815";"262";"Std";"";"00 00 00 00 69"
"00:10:20.817";"2C1";"Std";"";"08 00 00 10 2D C0 00 D0"
"00:10:20.819";"B2";"Std";"";"00 00 00 00 00 09"
"00:10:20.820";"B0";"Std";"";"00 00 00 00 00 09"
"00:10:20.820";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:10:20.820";"2C4";"Std";"";"00 00 00 25 00 00 62 55"
"00:10:20.821";"442";"Std";"";"40 02 00 00 02 00 00 00"
