ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 19/04/2017
Start time: 17:18:52
Stop time: 17:19:15
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:21:46.054";"B0";"Std";"";"00 00 00 00 00 0C"
"00:21:46.054";"B2";"Std";"";"00 00 00 00 00 0C"
"00:21:46.062";"262";"Std";"";"00 00 00 00 69"
"00:21:46.064";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:21:46.064";"B0";"Std";"";"00 00 00 00 00 0D"
"00:21:46.064";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:21:46.065";"B2";"Std";"";"00 00 00 00 00 0D"
"00:21:46.065";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:21:46.066";"2C4";"Std";"";"03 4F 00 25 00 00 62 A7"
"00:21:46.066";"442";"Std";"";"40 02 00 00 02 00 00 00"
"00:21:46.072";"260";"Std";"";"08 FF E3 00 00 00 00 54"
"00:21:46.074";"2C1";"Std";"";"08 00 00 FF C5 D4 00 6B"
"00:21:46.074";"B2";"Std";"";"00 00 00 00 00 0E"
"00:21:46.074";"B0";"Std";"";"00 00 00 00 00 0E"
"00:21:46.077";"2D5";"Std";"";"00 00"
"00:21:46.082";"262";"Std";"";"00 00 00 00 69"
"00:21:46.084";"B2";"Std";"";"00 00 00 00 00 0F"
"00:21:46.084";"B0";"Std";"";"00 00 00 00 00 0F"
"00:21:46.084";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:21:46.085";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:21:46.089";"2C4";"Std";"";"03 4D 00 25 00 00 62 A5"
"00:21:46.091";"3A0";"Std";"";"00 B0 00 00 07 00 00 3F"
"00:21:46.092";"260";"Std";"";"08 FF DC 00 00 00 00 4D"
"00:21:46.092";"4C1";"Std";"";"01 00 09 09 00 00 00 00"
"00:21:46.094";"4C3";"Std";"";"04 00 30 05 00 00 00 00"
"00:21:46.094";"B0";"Std";"";"00 00 00 00 00 00"
"00:21:46.094";"B2";"Std";"";"00 00 00 00 00 00"
"00:21:46.095";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:21:46.095";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:21:46.096";"394";"Std";"";"00"
"00:21:46.100";"2D5";"Std";"";"00 00"
"00:21:46.101";"262";"Std";"";"00 00 00 00 69"
"00:21:46.104";"B2";"Std";"";"00 00 00 00 00 01"
"00:21:46.104";"B0";"Std";"";"00 00 00 00 00 01"
"00:21:46.104";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
