ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 19/04/2017
Start time: 16:59:30
Stop time: 16:59:53
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:02:27.336";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.340";"2C1";"Std";"";"08 00 00 00 10 D9 00 BC"
"00:02:27.341";"2D5";"Std";"";"00 00"
"00:02:27.342";"B2";"Std";"";"00 00 00 00 00 02"
"00:02:27.342";"B0";"Std";"";"00 00 00 00 00 02"
"00:02:27.346";"262";"Std";"";"00 00 00 00 69"
"00:02:27.350";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.352";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.352";"B0";"Std";"";"00 00 00 00 00 03"
"00:02:27.352";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.353";"B2";"Std";"";"00 00 00 00 00 03"
"00:02:27.353";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.353";"2C4";"Std";"";"03 52 00 20 00 00 62 A5"
"00:02:27.356";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.362";"3A0";"Std";"";"00 A8 00 00 07 00 00 34"
"00:02:27.362";"B2";"Std";"";"00 00 00 00 00 04"
"00:02:27.362";"B0";"Std";"";"00 00 00 00 00 04"
"00:02:27.364";"2D5";"Std";"";"00 00"
"00:02:27.366";"262";"Std";"";"00 00 00 00 69"
"00:02:27.371";"2C1";"Std";"";"08 00 00 00 0F D9 00 BB"
"00:02:27.372";"B2";"Std";"";"00 00 00 00 00 05"
"00:02:27.372";"B0";"Std";"";"00 00 00 00 00 05"
"00:02:27.372";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.376";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.377";"2C4";"Std";"";"03 53 00 20 00 00 62 A6"
"00:02:27.377";"394";"Std";"";"00"
"00:02:27.382";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.382";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.382";"B0";"Std";"";"00 00 00 00 00 06"
"00:02:27.382";"B2";"Std";"";"00 00 00 00 00 06"
"00:02:27.383";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.385";"442";"Std";"";"40 02 00 00 02 00 00 00"
"00:02:27.386";"262";"Std";"";"00 00 00 00 69"
"00:02:27.388";"2D5";"Std";"";"00 00"
"00:02:27.392";"B2";"Std";"";"00 00 00 00 00 07"
"00:02:27.392";"B0";"Std";"";"00 00 00 00 00 07"
"00:02:27.392";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.396";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.400";"2C4";"Std";"";"03 51 00 20 00 00 62 A4"
"00:02:27.402";"B2";"Std";"";"00 00 00 00 00 08"
"00:02:27.402";"B0";"Std";"";"00 00 00 00 00 08"
"00:02:27.403";"2C1";"Std";"";"08 00 00 00 0C D9 00 B8"
"00:02:27.406";"262";"Std";"";"00 00 00 00 69"
"00:02:27.411";"2D5";"Std";"";"00 00"
"00:02:27.412";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.412";"B0";"Std";"";"00 00 00 00 00 09"
"00:02:27.412";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.413";"B2";"Std";"";"00 00 00 00 00 09"
"00:02:27.413";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.413";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.416";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.422";"B2";"Std";"";"00 00 00 00 00 0A"
"00:02:27.422";"B0";"Std";"";"00 00 00 00 00 0A"
"00:02:27.424";"2C4";"Std";"";"03 51 00 20 00 00 62 A4"
"00:02:27.426";"262";"Std";"";"00 00 00 00 69"
"00:02:27.432";"B2";"Std";"";"00 00 00 00 00 0B"
"00:02:27.432";"B0";"Std";"";"00 00 00 00 00 0B"
"00:02:27.432";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.435";"2C1";"Std";"";"08 00 00 00 0C D9 00 B8"
"00:02:27.435";"2D5";"Std";"";"00 00"
"00:02:27.436";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.442";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.442";"B0";"Std";"";"00 00 00 00 00 0C"
"00:02:27.442";"B2";"Std";"";"00 00 00 00 00 0C"
"00:02:27.442";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.445";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.446";"262";"Std";"";"00 00 00 00 69"
"00:02:27.447";"2C4";"Std";"";"03 53 00 20 00 00 62 A6"
"00:02:27.452";"B2";"Std";"";"00 00 00 00 00 0D"
"00:02:27.452";"B0";"Std";"";"00 00 00 00 00 0D"
"00:02:27.452";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.456";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.458";"2D5";"Std";"";"00 00"
"00:02:27.462";"3A0";"Std";"";"00 A8 00 00 07 00 00 34"
"00:02:27.462";"B2";"Std";"";"00 00 00 00 00 0E"
"00:02:27.462";"B0";"Std";"";"00 00 00 00 00 0E"
"00:02:27.466";"262";"Std";"";"00 00 00 00 69"
"00:02:27.466";"2C1";"Std";"";"08 00 00 00 0D D9 00 B9"
"00:02:27.471";"2C4";"Std";"";"03 54 00 20 00 00 62 A7"
"00:02:27.471";"4C8";"Std";"";"09 00 01 07 00 00 00 00"
"00:02:27.472";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.472";"B0";"Std";"";"00 00 00 00 00 0F"
"00:02:27.472";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.473";"B2";"Std";"";"00 00 00 00 00 0F"
"00:02:27.473";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.476";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.477";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.479";"4DD";"Std";"";"1E 00 00 05 00 00 00 00"
"00:02:27.482";"B2";"Std";"";"00 00 00 00 00 00"
"00:02:27.482";"B0";"Std";"";"00 00 00 00 00 00"
"00:02:27.482";"2D5";"Std";"";"00 00"
"00:02:27.482";"440";"Std";"";"42 02 00 00 00 00 00 00"
"00:02:27.486";"262";"Std";"";"00 00 00 00 69"
"00:02:27.492";"B2";"Std";"";"00 00 00 00 00 01"
"00:02:27.492";"B0";"Std";"";"00 00 00 00 00 01"
"00:02:27.492";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.494";"2C4";"Std";"";"03 56 00 20 00 00 62 A9"
"00:02:27.496";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.498";"2C1";"Std";"";"08 00 00 00 0C D9 00 B8"
"00:02:27.502";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.502";"B0";"Std";"";"00 00 00 00 00 02"
"00:02:27.502";"B2";"Std";"";"00 00 00 00 00 02"
"00:02:27.503";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.505";"2D5";"Std";"";"00 00"
"00:02:27.506";"262";"Std";"";"00 00 00 00 69"
"00:02:27.508";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.512";"B2";"Std";"";"00 00 00 00 00 03"
"00:02:27.512";"B0";"Std";"";"00 00 00 00 00 03"
"00:02:27.512";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.516";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.518";"2C4";"Std";"";"03 59 00 20 00 00 62 AC"
"00:02:27.522";"B2";"Std";"";"00 00 00 00 00 04"
"00:02:27.522";"B0";"Std";"";"00 00 00 00 00 04"
"00:02:27.526";"262";"Std";"";"00 00 00 00 69"
"00:02:27.529";"2D5";"Std";"";"00 00"
"00:02:27.530";"2C1";"Std";"";"08 00 00 00 0D D9 00 B9"
"00:02:27.532";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.532";"B0";"Std";"";"00 00 00 00 00 05"
"00:02:27.532";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.532";"B2";"Std";"";"00 00 00 00 00 05"
"00:02:27.533";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.536";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.540";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.541";"2C4";"Std";"";"03 5A 00 20 00 00 62 AD"
"00:02:27.542";"B2";"Std";"";"00 00 00 00 00 06"
"00:02:27.542";"B0";"Std";"";"00 00 00 00 00 06"
"00:02:27.546";"262";"Std";"";"00 00 00 00 69"
"00:02:27.548";"4C1";"Std";"";"01 00 09 09 00 00 00 00"
"00:02:27.552";"B2";"Std";"";"00 00 00 00 00 07"
"00:02:27.552";"B0";"Std";"";"00 00 00 00 00 07"
"00:02:27.552";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.552";"2D5";"Std";"";"00 00"
"00:02:27.556";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.561";"3A0";"Std";"";"00 A8 00 00 07 00 00 34"
"00:02:27.562";"2C1";"Std";"";"08 00 00 00 0D D9 00 B9"
"00:02:27.562";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.562";"B0";"Std";"";"00 00 00 00 00 08"
"00:02:27.562";"B2";"Std";"";"00 00 00 00 00 08"
"00:02:27.563";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.565";"2C4";"Std";"";"03 58 00 20 00 00 62 AB"
"00:02:27.566";"262";"Std";"";"00 00 00 00 69"
"00:02:27.572";"B2";"Std";"";"00 00 00 00 00 09"
"00:02:27.572";"B0";"Std";"";"00 00 00 00 00 09"
"00:02:27.572";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.572";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.575";"442";"Std";"";"40 02 00 00 02 00 00 00"
"00:02:27.576";"2D5";"Std";"";"00 00"
"00:02:27.576";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.582";"3B7";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.582";"B0";"Std";"";"00 00 00 00 00 0A"
"00:02:27.582";"B2";"Std";"";"00 00 00 00 00 0A"
"00:02:27.585";"610";"Std";"";"20 00 00 64 00 00 00 00"
"00:02:27.586";"262";"Std";"";"00 00 00 00 69"
"00:02:27.588";"2C4";"Std";"";"03 56 00 20 00 00 62 A9"
"00:02:27.592";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.592";"B0";"Std";"";"00 00 00 00 00 0B"
"00:02:27.592";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.592";"B2";"Std";"";"00 00 00 00 00 0B"
"00:02:27.593";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.593";"2C1";"Std";"";"08 00 00 00 0B D9 00 B7"
"00:02:27.596";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.597";"621";"Std";"";"11 00 00 00 00 00 00 00"
"00:02:27.599";"2D5";"Std";"";"00 00"
"00:02:27.602";"B2";"Std";"";"00 00 00 00 00 0C"
"00:02:27.602";"B0";"Std";"";"00 00 00 00 00 0C"
"00:02:27.604";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.606";"262";"Std";"";"00 00 00 00 69"
"00:02:27.607";"622";"Std";"";"12 00 00 00 00 00 00 00"
"00:02:27.612";"B2";"Std";"";"00 00 00 00 00 0D"
"00:02:27.612";"B0";"Std";"";"00 00 00 00 00 0D"
"00:02:27.612";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.612";"2C4";"Std";"";"03 52 00 20 00 00 62 A5"
"00:02:27.616";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.616";"624";"Std";"";"1A 00 47 49 49 40 00 00"
"00:02:27.622";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.622";"B0";"Std";"";"00 00 00 00 00 0E"
"00:02:27.622";"B2";"Std";"";"00 00 00 00 00 0E"
"00:02:27.622";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.623";"2D5";"Std";"";"00 00"
"00:02:27.625";"2C1";"Std";"";"08 00 00 00 09 D9 00 B5"
"00:02:27.625";"630";"Std";"";"17 00 00 00 00 00 00 00"
"00:02:27.626";"262";"Std";"";"00 00 00 00 69"
"00:02:27.632";"B2";"Std";"";"00 00 00 00 00 0F"
"00:02:27.632";"B0";"Std";"";"00 00 00 00 00 0F"
"00:02:27.632";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.634";"620";"Std";"";"10 00 00 00 30 60 00 50"
"00:02:27.635";"2C4";"Std";"";"03 4E 00 20 00 00 62 A1"
"00:02:27.636";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.636";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.642";"B2";"Std";"";"00 00 00 00 00 00"
"00:02:27.642";"B0";"Std";"";"00 00 00 00 00 00"
"00:02:27.644";"638";"Std";"";"13 00 1E 00 00 00 00 00"
"00:02:27.646";"262";"Std";"";"00 00 00 00 69"
"00:02:27.646";"2D5";"Std";"";"00 00"
"00:02:27.652";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.652";"B0";"Std";"";"00 00 00 00 00 01"
"00:02:27.652";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.652";"B2";"Std";"";"00 00 00 00 00 01"
"00:02:27.652";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.656";"260";"Std";"";"08 00 06 00 00 00 00 78"
"00:02:27.657";"2C1";"Std";"";"08 00 00 00 05 D9 00 B1"
"00:02:27.659";"2C4";"Std";"";"03 4F 00 20 00 00 62 A2"
"00:02:27.661";"3A0";"Std";"";"00 A8 00 00 07 00 00 34"
"00:02:27.662";"B2";"Std";"";"00 00 00 00 00 02"
"00:02:27.662";"B0";"Std";"";"00 00 00 00 00 02"
"00:02:27.666";"262";"Std";"";"00 00 00 00 69"
"00:02:27.667";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.670";"2D5";"Std";"";"00 00"
"00:02:27.671";"B2";"Std";"";"00 00 00 00 00 03"
"00:02:27.672";"B0";"Std";"";"00 00 00 00 00 03"
"00:02:27.672";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.672";"440";"Std";"";"42 02 00 00 00 00 00 00"
"00:02:27.676";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.676";"394";"Std";"";"00"
"00:02:27.682";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.682";"B0";"Std";"";"00 00 00 00 00 04"
"00:02:27.682";"B2";"Std";"";"00 00 00 00 00 04"
"00:02:27.682";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.682";"2C4";"Std";"";"03 51 00 20 00 00 62 A4"
"00:02:27.686";"262";"Std";"";"00 00 00 00 69"
"00:02:27.688";"2C1";"Std";"";"08 00 00 00 05 D9 00 B1"
"00:02:27.692";"B2";"Std";"";"00 00 00 00 00 05"
"00:02:27.692";"B0";"Std";"";"00 00 00 00 00 05"
"00:02:27.692";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.694";"2D5";"Std";"";"00 00"
"00:02:27.696";"260";"Std";"";"08 00 06 00 00 00 00 78"
"00:02:27.699";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.701";"B2";"Std";"";"00 00 00 00 00 06"
"00:02:27.702";"B0";"Std";"";"00 00 00 00 00 06"
"00:02:27.706";"262";"Std";"";"00 00 00 00 69"
"00:02:27.706";"2C4";"Std";"";"03 53 00 20 00 00 62 A6"
"00:02:27.712";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.712";"B0";"Std";"";"00 00 00 00 00 07"
"00:02:27.712";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.712";"B2";"Std";"";"00 00 00 00 00 07"
"00:02:27.713";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.716";"260";"Std";"";"08 00 04 00 00 00 00 76"
"00:02:27.717";"2D5";"Std";"";"00 00"
"00:02:27.720";"2C1";"Std";"";"08 00 00 00 07 D9 00 B3"
"00:02:27.721";"B2";"Std";"";"00 00 00 00 00 08"
"00:02:27.722";"B0";"Std";"";"00 00 00 00 00 08"
"00:02:27.726";"262";"Std";"";"00 00 00 00 69"
"00:02:27.729";"2C4";"Std";"";"03 53 00 20 00 00 62 A6"
"00:02:27.730";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.732";"B2";"Std";"";"00 00 00 00 00 09"
"00:02:27.732";"B0";"Std";"";"00 00 00 00 00 09"
"00:02:27.732";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.736";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.741";"2D5";"Std";"";"00 00"
"00:02:27.741";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.742";"B0";"Std";"";"00 00 00 00 00 0A"
"00:02:27.742";"B2";"Std";"";"00 00 00 00 00 0A"
"00:02:27.742";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.746";"262";"Std";"";"00 00 00 00 69"
"00:02:27.751";"B2";"Std";"";"00 00 00 00 00 0B"
"00:02:27.752";"B0";"Std";"";"00 00 00 00 00 0B"
"00:02:27.752";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.752";"2C1";"Std";"";"08 00 00 00 09 D9 00 B5"
"00:02:27.753";"2C4";"Std";"";"03 52 00 20 00 00 62 A5"
"00:02:27.756";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.761";"3A0";"Std";"";"00 A8 00 00 07 00 00 34"
"00:02:27.761";"B2";"Std";"";"00 00 00 00 00 0C"
"00:02:27.762";"B0";"Std";"";"00 00 00 00 00 0C"
"00:02:27.762";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.764";"442";"Std";"";"40 02 00 00 02 00 00 00"
"00:02:27.764";"2D5";"Std";"";"00 00"
"00:02:27.766";"262";"Std";"";"00 00 00 00 69"
"00:02:27.771";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.772";"B0";"Std";"";"00 00 00 00 00 0D"
"00:02:27.772";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.772";"B2";"Std";"";"00 00 00 00 00 0D"
"00:02:27.772";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.776";"260";"Std";"";"08 00 04 00 00 00 00 76"
"00:02:27.776";"2C4";"Std";"";"03 51 00 20 00 00 62 A4"
"00:02:27.781";"B2";"Std";"";"00 00 00 00 00 0E"
"00:02:27.782";"B0";"Std";"";"00 00 00 00 00 0E"
"00:02:27.784";"2C1";"Std";"";"08 00 00 00 08 D9 00 B4"
"00:02:27.786";"262";"Std";"";"00 00 00 00 69"
"00:02:27.788";"2D5";"Std";"";"00 00"
"00:02:27.791";"B2";"Std";"";"00 00 00 00 00 0F"
"00:02:27.792";"B0";"Std";"";"00 00 00 00 00 0F"
"00:02:27.792";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.794";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.796";"260";"Std";"";"08 00 03 00 00 00 00 75"
"00:02:27.800";"2C4";"Std";"";"03 52 00 20 00 00 62 A5"
"00:02:27.801";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.802";"B0";"Std";"";"00 00 00 00 00 00"
"00:02:27.802";"B2";"Std";"";"00 00 00 00 00 00"
"00:02:27.802";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.806";"262";"Std";"";"00 00 00 00 69"
"00:02:27.811";"2D5";"Std";"";"00 00"
"00:02:27.811";"B2";"Std";"";"00 00 00 00 00 01"
"00:02:27.812";"B0";"Std";"";"00 00 00 00 00 01"
"00:02:27.812";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.815";"2C1";"Std";"";"08 00 00 00 08 D9 00 B4"
"00:02:27.816";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.818";"3B1";"Std";"";"00 00 02 2A 00 00 00 00"
"00:02:27.821";"B2";"Std";"";"00 00 00 00 00 02"
"00:02:27.822";"B0";"Std";"";"00 00 00 00 00 02"
"00:02:27.824";"2C4";"Std";"";"03 53 00 20 00 00 62 A6"
"00:02:27.826";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.826";"262";"Std";"";"00 00 00 00 69"
"00:02:27.831";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.832";"B0";"Std";"";"00 00 00 00 00 03"
"00:02:27.832";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.832";"B2";"Std";"";"00 00 00 00 00 03"
"00:02:27.832";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.835";"2D5";"Std";"";"00 00"
"00:02:27.836";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.841";"B2";"Std";"";"00 00 00 00 00 04"
"00:02:27.842";"B0";"Std";"";"00 00 00 00 00 04"
"00:02:27.845";"262";"Std";"";"00 00 00 00 69"
"00:02:27.846";"3B3";"Std";"";"03 53 28"
"00:02:27.847";"2C1";"Std";"";"08 00 00 00 07 D9 00 B3"
"00:02:27.847";"2C4";"Std";"";"03 53 00 20 00 00 62 A6"
"00:02:27.851";"B2";"Std";"";"00 00 00 00 00 05"
"00:02:27.852";"B0";"Std";"";"00 00 00 00 00 05"
"00:02:27.852";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.856";"260";"Std";"";"08 00 04 00 00 00 00 76"
"00:02:27.857";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.858";"2D5";"Std";"";"00 00"
"00:02:27.861";"3A0";"Std";"";"00 A8 00 00 07 00 00 34"
"00:02:27.861";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.862";"B0";"Std";"";"00 00 00 00 00 06"
"00:02:27.862";"B2";"Std";"";"00 00 00 00 00 06"
"00:02:27.862";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.862";"440";"Std";"";"42 02 00 00 00 00 00 00"
"00:02:27.865";"262";"Std";"";"00 00 00 00 69"
"00:02:27.871";"2C4";"Std";"";"03 52 00 20 00 00 62 A5"
"00:02:27.871";"B2";"Std";"";"00 00 00 00 00 07"
"00:02:27.871";"B0";"Std";"";"00 00 00 00 00 07"
"00:02:27.872";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.876";"260";"Std";"";"08 00 05 00 00 00 00 77"
"00:02:27.879";"2C1";"Std";"";"08 00 00 00 06 D9 00 B2"
"00:02:27.881";"3B7";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.882";"B0";"Std";"";"00 00 00 00 00 08"
"00:02:27.882";"B2";"Std";"";"00 00 00 00 00 08"
"00:02:27.882";"2D5";"Std";"";"00 00"
"00:02:27.885";"262";"Std";"";"00 00 00 00 69"
"00:02:27.889";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.891";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.892";"B0";"Std";"";"00 00 00 00 00 09"
"00:02:27.892";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.892";"B2";"Std";"";"00 00 00 00 00 09"
"00:02:27.892";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.894";"2C4";"Std";"";"03 51 00 20 00 00 62 A4"
"00:02:27.895";"260";"Std";"";"08 00 04 00 00 00 00 76"
"00:02:27.901";"B2";"Std";"";"00 00 00 00 00 0A"
"00:02:27.901";"B0";"Std";"";"00 00 00 00 00 0A"
"00:02:27.905";"2D5";"Std";"";"00 00"
"00:02:27.905";"262";"Std";"";"00 00 00 00 69"
"00:02:27.911";"2C1";"Std";"";"08 00 00 00 06 D9 00 B2"
"00:02:27.911";"B2";"Std";"";"00 00 00 00 00 0B"
"00:02:27.911";"B0";"Std";"";"00 00 00 00 00 0B"
"00:02:27.912";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:02:27.915";"260";"Std";"";"08 00 06 00 00 00 00 78"
"00:02:27.918";"2C4";"Std";"";"03 50 00 20 00 00 62 A3"
"00:02:27.921";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:02:27.921";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:27.922";"B0";"Std";"";"00 00 00 00 00 0C"
"00:02:27.922";"B2";"Std";"";"00 00 00 00 00 0C"
"00:02:27.922";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:02:27.925";"262";"Std";"";"00 00 00 00 69"
"00:02:27.929";"2D5";"Std";"";"00 00"
