ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 19/04/2017
Start time: 17:00:51
Stop time: 17:01:30
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:03:47.747";"2C1";"Std";"";"08 00 00 FF AC D0 00 4E"
"00:03:47.748";"260";"Std";"";"08 00 19 00 00 00 00 8B"
"00:03:47.748";"B2";"Std";"";"00 00 00 00 00 03"
"00:03:47.748";"B0";"Std";"";"00 00 00 00 00 03"
"00:03:47.749";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:03:47.754";"2D5";"Std";"";"00 00"
"00:03:47.757";"2C6";"Std";"";"00 00 00 00 00 00 00 D0"
"00:03:47.758";"262";"Std";"";"00 00 00 00 69"
"00:03:47.758";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:47.758";"B0";"Std";"";"00 00 00 00 00 04"
"00:03:47.758";"B2";"Std";"";"00 00 00 00 00 04"
"00:03:47.759";"223";"Std";"";"00 00 00 7F E0 00 00 8C"
"00:03:47.766";"2C4";"Std";"";"03 32 00 20 00 00 62 85"
"00:03:47.768";"260";"Std";"";"08 00 18 00 00 00 00 8A"
"00:03:47.768";"B2";"Std";"";"00 00 00 00 00 05"
"00:03:47.768";"B0";"Std";"";"00 00 00 00 00 05"
"00:03:47.768";"B4";"Std";"";"00 00 00 00 00 00 00 BC"
"00:03:47.777";"440";"Std";"";"42 02 00 00 00 00 00 00"
"00:03:47.778";"2D5";"Std";"";"00 00"
"00:03:47.778";"B2";"Std";"";"00 00 00 00 00 06"
"00:03:47.778";"B0";"Std";"";"00 00 00 00 00 06"
"00:03:47.778";"262";"Std";"";"00 00 00 00 69"
"00:03:47.779";"2C1";"Std";"";"08 00 00 FF AE D0 00 50"
"00:03:47.788";"260";"Std";"";"08 00 1C 00 00 00 00 8E"
"00:03:47.788";"224";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:47.788";"B0";"Std";"";"00 00 00 00 00 07"
