ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 24/11/2016
Start time: 08:21:07
Stop time: 08:21:22
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:07:50.787";"186";"Std";"";"00 00 32 03 6D 00 21"
"00:07:50.787";"18A";"Std";"";"36 D8 00 06 5C 04"
"00:07:50.787";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:07:50.789";"1B0";"Std";"";"FF 94 FF C4"
"00:07:50.791";"2B7";"Std";"";"00 E0 FE FE 01"
"00:07:50.791";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:07:50.791";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:07:50.791";"352";"Std";"";"5F 00 00 FF"
"00:07:50.797";"186";"Std";"";"00 00 32 03 6D 00 21"
"00:07:50.797";"18A";"Std";"";"36 D8 00 06 5C 04"
"00:07:50.797";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:07:50.797";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:07:50.798";"2A9";"Std";"";"3C"
"00:07:50.798";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:07:50.801";"2B7";"Std";"";"00 E0 FE FE 01"
"00:07:50.801";"29A";"Std";"";"00 00 00 00 00 00 0B F4"
"00:07:50.801";"666";"Std";"";"00 00 00 00"
"00:07:50.807";"186";"Std";"";"00 00 32 03 6D 00 21"
"00:07:50.807";"18A";"Std";"";"36 D8 00 06 5C 04"
"00:07:50.807";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:07:50.809";"1B0";"Std";"";"FF 94 FF C4"
"00:07:50.809";"552";"Std";"";"38 A4"
"00:07:50.811";"2B7";"Std";"";"00 E0 FE FE 01"
"00:07:50.811";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:07:50.811";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:07:50.812";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:07:50.815";"653";"Std";"";"00 00 08 00"
"00:07:50.817";"186";"Std";"";"00 00 32 03 6D 00 21"
"00:07:50.817";"18A";"Std";"";"36 D8 00 06 5C 04"
"00:07:50.817";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:07:50.817";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:07:50.818";"2A9";"Std";"";"3C"
"00:07:50.818";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:07:50.819";"575";"Std";"";"38 A4"
"00:07:50.821";"2B7";"Std";"";"00 E0 FE FE 01"
"00:07:50.821";"29A";"Std";"";"00 00 00 00 00 00 0C F3"
"00:07:50.825";"564";"Std";"";"EE 30"
"00:07:50.827";"186";"Std";"";"00 00 32 03 6D 00 21"
"00:07:50.827";"18A";"Std";"";"36 D8 00 06 5C 04"
