ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 24/11/2016
Start time: 08:18:09
Stop time: 08:19:45
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:06:07.084";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.084";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:06:07.084";"2A9";"Std";"";"3C"
"00:06:07.084";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:06:07.086";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.086";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:06:07.086";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:06:07.087";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:07.092";"5DF";"Std";"";"00 44"
"00:06:07.093";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.093";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.094";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.096";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.096";"29A";"Std";"";"00 00 00 00 00 00 04 FB"
"00:06:07.096";"5D7";"Std";"";"00 00 00 CC AC B0 C4"
"00:06:07.102";"1B0";"Std";"";"FF 94 FF C4"
"00:06:07.102";"657";"Std";"";"C0 C0"
"00:06:07.102";"69F";"Std";"";"72 28 94 AF"
"00:06:07.102";"653";"Std";"";"00 00 08 00"
"00:06:07.103";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.104";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.104";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.104";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:06:07.104";"2A9";"Std";"";"3C"
"00:06:07.104";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:06:07.106";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.106";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:06:07.106";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:06:07.106";"352";"Std";"";"5F 00 00 FF"
"00:06:07.112";"2BC";"Std";"";"94 0F 18 27 D4 FF EE BF"
"00:06:07.112";"45C";"Std";"";"00 00 00 00 00 00"
"00:06:07.112";"4AC";"Std";"";"80 6C 02 00 A0"
"00:06:07.112";"564";"Std";"";"F8 D0"
"00:06:07.113";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.114";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.114";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.116";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.116";"29A";"Std";"";"00 00 00 00 00 00 05 FA"
"00:06:07.116";"666";"Std";"";"00 00 00 00"
"00:06:07.121";"1B0";"Std";"";"FF 94 FF C4"
"00:06:07.123";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.123";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.124";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.124";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:06:07.124";"2A9";"Std";"";"3C"
"00:06:07.124";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:06:07.126";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.126";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:06:07.126";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:06:07.126";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:07.133";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.133";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.134";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.136";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.136";"29A";"Std";"";"00 00 00 00 00 00 06 F9"
"00:06:07.141";"1B0";"Std";"";"FF 94 FF C4"
"00:06:07.142";"552";"Std";"";"22 24"
"00:06:07.143";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.143";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.144";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.144";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:06:07.144";"2A9";"Std";"";"3C"
"00:06:07.144";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:06:07.146";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.146";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:06:07.146";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:06:07.146";"352";"Std";"";"5F 00 00 FF"
"00:06:07.151";"575";"Std";"";"22 24"
"00:06:07.153";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.153";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.154";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.156";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.156";"29A";"Std";"";"00 00 00 00 00 00 07 F8"
"00:06:07.161";"4DE";"Std";"";"00 00 00"
"00:06:07.162";"1B0";"Std";"";"FF 94 FF C4"
"00:06:07.162";"350";"Std";"";"C5 04 36 3D 14 98 A8 49"
"00:06:07.162";"500";"Std";"";"02 06 A7 1A 22"
"00:06:07.162";"55D";"Std";"";"00 D5 50 00 90 80 00 00"
"00:06:07.163";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.163";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.164";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.164";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:06:07.164";"2A9";"Std";"";"3C"
"00:06:07.164";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:06:07.166";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.166";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:06:07.166";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:06:07.167";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:07.173";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.173";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.174";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.174";"41A";"Std";"";"00 00 00 00"
"00:06:07.174";"41D";"Std";"";"F8 FE FF"
"00:06:07.174";"511";"Std";"";"00 DD 1F F3 B3 CE 8F"
"00:06:07.175";"5DA";"Std";"";"7C 5E 00 00 4E FF FF 00"
"00:06:07.175";"648";"Std";"";"00 00 00 7E FC 7E FA 00"
"00:06:07.175";"65C";"Std";"";"C8 26 00"
"00:06:07.175";"66A";"Std";"";"3F FF 00 00 00 C0 00 00"
"00:06:07.176";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.176";"29A";"Std";"";"00 00 00 00 00 00 08 F7"
"00:06:07.178";"3B7";"Std";"";"FF FF 7F CF FE 40"
"00:06:07.181";"1B0";"Std";"";"FF 94 FF C4"
"00:06:07.182";"5DE";"Std";"";"00 0A 40 80 00 00 00 41"
"00:06:07.182";"4F8";"Std";"";"58 10 30 FF FF 03 FF 00"
"00:06:07.183";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.183";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.184";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.184";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:06:07.184";"2A9";"Std";"";"3C"
"00:06:07.184";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:06:07.186";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.186";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:06:07.186";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:06:07.186";"352";"Std";"";"5F 00 00 FF"
"00:06:07.191";"5DF";"Std";"";"00 44"
"00:06:07.193";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.193";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.194";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.196";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.196";"29A";"Std";"";"00 00 00 00 00 00 09 F6"
"00:06:07.196";"5D7";"Std";"";"00 00 00 CC AC B0 C4"
"00:06:07.201";"1B0";"Std";"";"FF 94 FF C4"
"00:06:07.201";"657";"Std";"";"C0 C0"
"00:06:07.202";"653";"Std";"";"00 00 08 00"
"00:06:07.203";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.203";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.204";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.204";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:06:07.204";"2A9";"Std";"";"3C"
"00:06:07.204";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:06:07.206";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.206";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:06:07.206";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:06:07.206";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:07.211";"2BC";"Std";"";"94 8F CB AD 1B 63 E7 95"
"00:06:07.212";"45C";"Std";"";"00 00 00 00 00 00"
"00:06:07.212";"4AC";"Std";"";"80 6C 02 00 A0"
"00:06:07.212";"564";"Std";"";"D1 30"
"00:06:07.213";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.213";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.214";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.216";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.216";"29A";"Std";"";"00 00 00 00 00 00 0A F5"
"00:06:07.216";"666";"Std";"";"00 00 00 00"
"00:06:07.221";"1B0";"Std";"";"FF 94 FF C4"
"00:06:07.223";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.223";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.224";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.224";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:06:07.224";"2A9";"Std";"";"3C"
"00:06:07.224";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:06:07.226";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.226";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:06:07.226";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:06:07.226";"352";"Std";"";"5F 00 00 FF"
"00:06:07.233";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.233";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.234";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
"00:06:07.236";"2B7";"Std";"";"00 E0 FE FE 01"
"00:06:07.236";"29A";"Std";"";"00 00 00 00 00 00 0B F4"
"00:06:07.241";"1B0";"Std";"";"FF 94 FF C4"
"00:06:07.241";"552";"Std";"";"13 C4"
"00:06:07.243";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:06:07.243";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:06:07.244";"1F6";"Std";"";"00 00 40 38 40 03 00 FE"
