ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 24/11/2016
Start time: 08:15:51
Stop time: 08:16:46
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:03:13.452";"41D";"Std";"";"F8 FE FF"
"00:03:13.453";"511";"Std";"";"00 E8 BC 40 DA 7F 8E"
"00:03:13.453";"5DA";"Std";"";"7E 5E 00 00 4E FF FF 00"
"00:03:13.453";"648";"Std";"";"00 00 00 7E FC 7E FA 00"
"00:03:13.453";"65C";"Std";"";"C6 26 00"
"00:03:13.453";"66A";"Std";"";"3F FF 00 00 00 C0 00 00"
"00:03:13.455";"3B7";"Std";"";"FF FF 7F CF FE 40"
"00:03:13.457";"564";"Std";"";"DC 30"
"00:03:13.458";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.458";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:03:13.459";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:03:13.459";"352";"Std";"";"5F 00 00 FF"
"00:03:13.459";"4F8";"Std";"";"58 10 30 FF FF 03 FF 00"
"00:03:13.462";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.462";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.462";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.462";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:03:13.462";"1B0";"Std";"";"FF 94 FF C4"
"00:03:13.463";"2A9";"Std";"";"3C"
"00:03:13.463";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:03:13.463";"552";"Std";"";"34 74"
"00:03:13.468";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.468";"29A";"Std";"";"00 00 00 00 00 00 01 FE"
"00:03:13.472";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.472";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.472";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.472";"575";"Std";"";"34 74"
"00:03:13.478";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.478";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:03:13.479";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:03:13.479";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:13.482";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.482";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.482";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.482";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:03:13.482";"2A9";"Std";"";"3C"
"00:03:13.483";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:03:13.483";"4DE";"Std";"";"00 00 00"
"00:03:13.483";"1B0";"Std";"";"FF 94 FF C4"
"00:03:13.483";"350";"Std";"";"C5 04 36 3A 14 98 A8 49"
"00:03:13.483";"500";"Std";"";"02 4B DF 73 47"
"00:03:13.484";"55D";"Std";"";"00 D5 50 00 90 80 00 00"
"00:03:13.488";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.488";"29A";"Std";"";"00 00 00 00 00 00 02 FD"
"00:03:13.489";"5D7";"Std";"";"00 00 00 CC AC B0 C4"
"00:03:13.492";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.492";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.492";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.498";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.498";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:03:13.499";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:03:13.499";"352";"Std";"";"5F 00 00 FF"
"00:03:13.502";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.502";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.502";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.502";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:03:13.502";"1B0";"Std";"";"FF 94 FF C4"
"00:03:13.502";"2A9";"Std";"";"3C"
"00:03:13.503";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:03:13.503";"5DE";"Std";"";"00 0A 40 80 00 00 00 41"
"00:03:13.508";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.508";"29A";"Std";"";"00 00 00 00 00 00 03 FC"
"00:03:13.509";"666";"Std";"";"00 00 00 00"
"00:03:13.512";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.512";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.512";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.512";"5DF";"Std";"";"00 44"
"00:03:13.518";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.518";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:03:13.519";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:03:13.519";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:13.521";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.522";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.522";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.522";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:03:13.522";"1B0";"Std";"";"FF 94 FF C4"
"00:03:13.522";"2A9";"Std";"";"3C"
"00:03:13.523";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:03:13.523";"657";"Std";"";"C0 C0"
"00:03:13.528";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.528";"29A";"Std";"";"00 00 00 00 00 00 04 FB"
"00:03:13.532";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.532";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.532";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.532";"2BC";"Std";"";"94 16 37 2A D6 B6 A0 FE"
"00:03:13.533";"45C";"Std";"";"00 00 00 00 00 00"
"00:03:13.533";"4AC";"Std";"";"80 6D 02 00 A0"
"00:03:13.538";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.538";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:03:13.539";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:03:13.539";"352";"Std";"";"5F 00 00 FF"
"00:03:13.541";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.542";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.542";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.542";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:03:13.542";"1B0";"Std";"";"FF 94 FF C4"
"00:03:13.542";"2A9";"Std";"";"3C"
"00:03:13.543";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:03:13.547";"653";"Std";"";"00 00 08 00"
"00:03:13.548";"2B7";"Std";"";"00 E0 FE FE 01"
"00:03:13.548";"29A";"Std";"";"00 00 00 00 00 00 05 FA"
"00:03:13.551";"186";"Std";"";"00 00 32 03 6B 00 21"
"00:03:13.552";"18A";"Std";"";"36 B8 00 06 5C 04"
"00:03:13.552";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:03:13.552";"41A";"Std";"";"00 00 00 00"
"00:03:13.552";"41D";"Std";"";"F8 FE FF"
"00:03:13.552";"511";"Std";"";"00 27 85 F9 45 8C 71"
"00:03:13.553";"5DA";"Std";"";"7E 5E 00 00 4E FF FF 00"
"00:03:13.553";"648";"Std";"";"00 00 00 7E FC 7E FA 00"
