ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 24/11/2016
Start time: 08:17:22
Stop time: 08:17:51
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:04:16.417";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:04:16.417";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:04:16.417";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:04:16.418";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:04:16.418";"2A9";"Std";"";"3C"
"00:04:16.418";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:04:16.418";"2B7";"Std";"";"00 E0 FE FE 01"
"00:04:16.419";"29A";"Std";"";"00 00 00 00 00 00 00 FF"
"00:04:16.419";"5D7";"Std";"";"00 00 00 CC AC B0 C4"
"00:04:16.422";"1B0";"Std";"";"FF 94 FF C4"
"00:04:16.423";"5DE";"Std";"";"00 0A 40 80 00 00 00 41"
"00:04:16.427";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:04:16.427";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:04:16.427";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:04:16.428";"2B7";"Std";"";"00 E0 FE FE 01"
"00:04:16.429";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:04:16.429";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:04:16.429";"352";"Std";"";"5F 00 00 FF"
"00:04:16.432";"5DF";"Std";"";"00 44"
"00:04:16.437";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:04:16.437";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:04:16.437";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:04:16.438";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:04:16.438";"2A9";"Std";"";"3C"
"00:04:16.438";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:04:16.438";"2B7";"Std";"";"00 E0 FE FE 01"
"00:04:16.439";"29A";"Std";"";"00 00 00 00 00 00 01 FE"
"00:04:16.439";"666";"Std";"";"00 00 00 00"
"00:04:16.442";"1B0";"Std";"";"FF 94 FF C4"
"00:04:16.442";"657";"Std";"";"C0 C0"
"00:04:16.447";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:04:16.447";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:04:16.447";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:04:16.448";"2B7";"Std";"";"00 E0 FE FE 01"
"00:04:16.449";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:04:16.449";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:04:16.449";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:16.452";"2BC";"Std";"";"94 71 F1 E7 A8 BC F8 76"
"00:04:16.453";"45C";"Std";"";"00 00 00 00 00 00"
"00:04:16.453";"4AC";"Std";"";"80 6D 02 00 A0"
"00:04:16.457";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:04:16.457";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:04:16.457";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:04:16.458";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:04:16.458";"2A9";"Std";"";"3C"
"00:04:16.458";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:04:16.458";"2B7";"Std";"";"00 E0 FE FE 01"
"00:04:16.459";"29A";"Std";"";"00 00 00 00 00 00 02 FD"
"00:04:16.462";"1B0";"Std";"";"FF 94 FF C4"
"00:04:16.467";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:04:16.467";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:04:16.467";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:04:16.468";"2B7";"Std";"";"00 E0 FE FE 01"
"00:04:16.469";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:04:16.469";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:04:16.469";"352";"Std";"";"5F 00 00 FF"
"00:04:16.477";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:04:16.477";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:04:16.477";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:04:16.478";"217";"Std";"";"2D FF 00 00 00 00 00 FC"
"00:04:16.478";"2A9";"Std";"";"3C"
"00:04:16.478";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:04:16.478";"2B7";"Std";"";"00 E0 FE FE 01"
"00:04:16.479";"29A";"Std";"";"00 00 00 00 00 00 03 FC"
"00:04:16.482";"1B0";"Std";"";"FF 94 FF C4"
"00:04:16.482";"552";"Std";"";"1A 94"
"00:04:16.487";"186";"Std";"";"00 00 32 03 6C 00 21"
"00:04:16.487";"18A";"Std";"";"36 C8 00 06 5C 04"
"00:04:16.487";"1F6";"Std";"";"00 00 40 37 40 03 00 FE"
"00:04:16.488";"41A";"Std";"";"00 00 00 00"
"00:04:16.488";"41D";"Std";"";"F8 FE FF"
"00:04:16.488";"511";"Std";"";"00 31 2B 3F 97 8A 13"
