ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 24/11/2016
Start time: 08:25:32
Stop time: 08:26:57
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:12:30.189";"3B7";"Std";"";"FF FF 7F CF FE 40"
"00:12:30.190";"186";"Std";"";"1A 78 32 23 2D 00 21"
"00:12:30.190";"18A";"Std";"";"32 D8 00 06 C2 04"
"00:12:30.190";"1F6";"Std";"";"00 20 80 54 80 03 FF FE"
"00:12:30.190";"217";"Std";"";"2D FF 00 00 00 00 40 FC"
"00:12:30.190";"2A9";"Std";"";"EB"
"00:12:30.191";"1B0";"Std";"";"FF 94 FF C4"
"00:12:30.191";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:12:30.191";"2B7";"Std";"";"00 E0 FE FE 01"
"00:12:30.191";"29A";"Std";"";"00 00 00 00 00 00 0C F3"
"00:12:30.191";"564";"Std";"";"C8 60"
"00:12:30.192";"5DE";"Std";"";"00 0A 40 80 00 00 00 41"
"00:12:30.192";"666";"Std";"";"00 00 00 00"
"00:12:30.193";"4F8";"Std";"";"58 10 30 FF FF 03 FF 00"
"00:12:30.200";"186";"Std";"";"1A 78 32 23 2D 00 21"
"00:12:30.200";"18A";"Std";"";"32 D8 00 06 C2 04"
"00:12:30.200";"1F6";"Std";"";"00 20 80 54 80 03 FF FE"
"00:12:30.200";"5DF";"Std";"";"00 44"
"00:12:30.201";"2B7";"Std";"";"00 E0 FE FE 01"
"00:12:30.201";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:12:30.201";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:12:30.202";"352";"Std";"";"5F 00 00 FF"
"00:12:30.210";"186";"Std";"";"1A 78 32 23 2D 00 21"
"00:12:30.210";"18A";"Std";"";"32 D8 00 06 C2 04"
"00:12:30.210";"1F6";"Std";"";"00 20 80 54 80 03 FF FE"
"00:12:30.210";"217";"Std";"";"2D FF 00 00 00 00 40 FC"
"00:12:30.210";"2A9";"Std";"";"EB"
"00:12:30.211";"1B0";"Std";"";"FF 94 FF C4"
"00:12:30.211";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:12:30.211";"2B7";"Std";"";"00 E0 FE FE 01"
"00:12:30.211";"29A";"Std";"";"00 00 00 00 00 00 0D F2"
"00:12:30.211";"657";"Std";"";"C0 C0"
"00:12:30.220";"186";"Std";"";"1A D0 31 F3 2D 00 21"
"00:12:30.220";"18A";"Std";"";"32 D8 00 06 C2 04"
"00:12:30.220";"1F6";"Std";"";"00 20 80 54 80 03 FF FE"
"00:12:30.221";"2BC";"Std";"";"94 A5 28 48 1D C2 DC FE"
"00:12:30.221";"45C";"Std";"";"00 00 00 00 00 00"
"00:12:30.221";"2B7";"Std";"";"00 E0 FE FE 01"
"00:12:30.221";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:12:30.221";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:12:30.222";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:12:30.222";"4AC";"Std";"";"80 84 02 00 A0"
"00:12:30.230";"186";"Std";"";"1A D0 31 F3 2D 00 21"
"00:12:30.230";"18A";"Std";"";"32 D8 00 06 C0 04"
"00:12:30.230";"1F6";"Std";"";"00 20 80 54 80 03 FF FE"
"00:12:30.230";"217";"Std";"";"2D FF 00 00 00 00 40 FC"
"00:12:30.230";"1B0";"Std";"";"FF 94 FF C4"
"00:12:30.231";"2A9";"Std";"";"EB"
"00:12:30.231";"2B7";"Std";"";"00 E0 FE FE 01"
"00:12:30.231";"29A";"Std";"";"00 00 00 00 00 00 0E F1"
"00:12:30.231";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:12:30.240";"186";"Std";"";"1A D0 31 F3 2D 00 21"
"00:12:30.240";"18A";"Std";"";"32 D8 00 06 C0 04"
