ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 24/11/2016
Start time: 08:21:54
Stop time: 08:23:57
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:10:04.159";"4DE";"Std";"";"00 00 00"
"00:10:04.159";"1B0";"Std";"";"FF 94 FF C4"
"00:10:04.159";"350";"Std";"";"C7 04 36 41 14 98 A8 49"
"00:10:04.159";"500";"Std";"";"02 5F 2A 6B 06"
"00:10:04.159";"55D";"Std";"";"00 D9 50 00 90 80 00 00"
"00:10:04.160";"186";"Std";"";"19 38 31 73 2E 00 21"
"00:10:04.160";"18A";"Std";"";"32 E8 00 06 FC 04"
"00:10:04.160";"1F6";"Std";"";"00 20 80 6C 80 03 FF FE"
"00:10:04.160";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:10:04.161";"2A9";"Std";"";"E6"
"00:10:04.161";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:10:04.163";"2B7";"Std";"";"00 E0 FE FE 01"
"00:10:04.163";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:10:04.163";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:10:04.164";"352";"Std";"";"5F 00 00 FF"
"00:10:04.170";"186";"Std";"";"19 30 31 73 2E 00 21"
"00:10:04.170";"18A";"Std";"";"32 E8 00 06 FC 04"
"00:10:04.170";"1F6";"Std";"";"00 20 80 6C 80 03 FF FE"
"00:10:04.173";"2B7";"Std";"";"00 E0 FE FE 01"
"00:10:04.173";"29A";"Std";"";"00 00 00 00 00 00 0F F0"
"00:10:04.179";"1B0";"Std";"";"FF 94 FF C4"
"00:10:04.179";"5DE";"Std";"";"00 0A 40 80 00 00 00 41"
"00:10:04.180";"186";"Std";"";"19 30 31 73 2E 00 21"
"00:10:04.180";"18A";"Std";"";"32 E8 00 06 FC 04"
"00:10:04.180";"1F6";"Std";"";"00 20 80 6C 80 03 FF FE"
"00:10:04.180";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:10:04.180";"2A9";"Std";"";"E6"
"00:10:04.181";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:10:04.183";"2B7";"Std";"";"00 E0 FE FE 01"
"00:10:04.183";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:10:04.183";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:10:04.184";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:10:04.189";"5DF";"Std";"";"00 44"
"00:10:04.190";"186";"Std";"";"19 30 31 73 2E 00 21"
"00:10:04.190";"18A";"Std";"";"32 E8 00 06 FC 04"
"00:10:04.190";"1F6";"Std";"";"00 20 80 6C 80 03 FF FE"
"00:10:04.193";"2B7";"Std";"";"00 E0 FE FE 01"
"00:10:04.193";"29A";"Std";"";"00 00 00 00 00 00 00 FF"
"00:10:04.199";"1B0";"Std";"";"FF 94 FF C4"
"00:10:04.199";"657";"Std";"";"C0 C0"
"00:10:04.200";"186";"Std";"";"19 02 31 93 2E 00 21"
"00:10:04.200";"18A";"Std";"";"32 E8 00 06 FC 04"
"00:10:04.200";"1F6";"Std";"";"00 20 80 6C 80 03 FF FE"
"00:10:04.200";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:10:04.200";"2A9";"Std";"";"E6"
