ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 24/11/2016
Start time: 08:30:49
Stop time: 08:33:24
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:19:28.337";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.338";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:19:28.338";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:19:28.338";"352";"Std";"";"5F 00 00 FF"
"00:19:28.338";"564";"Std";"";"FA E0"
"00:19:28.340";"186";"Std";"";"1A DC 31 A3 2C 00 21"
"00:19:28.341";"18A";"Std";"";"32 C8 00 06 F2 04"
"00:19:28.341";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.341";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:19:28.341";"2A9";"Std";"";"EB"
"00:19:28.341";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:19:28.347";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.347";"29A";"Std";"";"00 00 00 00 00 00 0F F0"
"00:19:28.350";"186";"Std";"";"1A DC 31 A3 2C 00 21"
"00:19:28.351";"18A";"Std";"";"32 C8 00 06 F2 04"
"00:19:28.351";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.351";"41A";"Std";"";"00 00 00 00"
"00:19:28.351";"41D";"Std";"";"F8 FE FF"
"00:19:28.351";"511";"Std";"";"00 89 13 A7 CF 12 0B"
"00:19:28.352";"1B0";"Std";"";"FF 94 FF C4"
"00:19:28.352";"5DA";"Std";"";"82 6A 00 00 C5 FF FF 20"
"00:19:28.352";"5DE";"Std";"";"00 00 00 80 00 00 00 41"
"00:19:28.352";"648";"Std";"";"00 00 00 7E FC 7E FC 00"
"00:19:28.352";"65C";"Std";"";"D2 84 00"
"00:19:28.353";"66A";"Std";"";"27 FF 00 62 62 C0 00 00"
"00:19:28.357";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.357";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:19:28.358";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:19:28.358";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:19:28.360";"186";"Std";"";"1B 10 31 83 2C 00 21"
"00:19:28.361";"18A";"Std";"";"32 C8 00 06 F2 04"
"00:19:28.361";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.361";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:19:28.361";"2A9";"Std";"";"EB"
"00:19:28.361";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:19:28.362";"5DF";"Std";"";"00 44"
"00:19:28.363";"3B7";"Std";"";"FF FF 7F CF FE 40"
"00:19:28.367";"4F8";"Std";"";"54 10 30 FF FF 03 FF 00"
"00:19:28.367";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.367";"29A";"Std";"";"00 00 00 00 00 00 00 FF"
"00:19:28.370";"186";"Std";"";"1B 10 31 83 2C 00 21"
"00:19:28.371";"18A";"Std";"";"32 C8 00 06 F2 04"
"00:19:28.371";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.372";"1B0";"Std";"";"FF 94 FF C4"
"00:19:28.372";"657";"Std";"";"C0 C0"
"00:19:28.377";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.377";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:19:28.378";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:19:28.378";"352";"Std";"";"5F 00 00 FF"
"00:19:28.380";"186";"Std";"";"1B 10 31 83 2B 00 21"
"00:19:28.381";"18A";"Std";"";"32 C8 00 06 F2 04"
"00:19:28.381";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.381";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:19:28.381";"2A9";"Std";"";"EB"
"00:19:28.381";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:19:28.382";"2BC";"Std";"";"94 27 96 7C 7C 9A E1 C6"
"00:19:28.382";"45C";"Std";"";"00 00 00 00 00 00"
"00:19:28.382";"4AC";"Std";"";"80 83 02 00 A0"
"00:19:28.387";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.387";"29A";"Std";"";"00 00 00 00 00 00 01 FE"
"00:19:28.390";"186";"Std";"";"1B 10 31 A3 2B 00 21"
"00:19:28.391";"18A";"Std";"";"32 B8 00 06 F2 04"
"00:19:28.391";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.392";"1B0";"Std";"";"FF 94 FF C4"
"00:19:28.397";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.397";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:19:28.398";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:19:28.398";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:19:28.400";"186";"Std";"";"1A FC 31 A3 2B 00 21"
"00:19:28.401";"18A";"Std";"";"32 B8 00 06 F2 04"
"00:19:28.401";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.401";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:19:28.401";"2A9";"Std";"";"EB"
"00:19:28.401";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:19:28.407";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.407";"29A";"Std";"";"00 00 00 00 00 00 02 FD"
"00:19:28.408";"5D7";"Std";"";"00 00 00 CC AF A0 E6"
"00:19:28.410";"186";"Std";"";"1A FC 31 A3 2B 00 21"
"00:19:28.411";"18A";"Std";"";"32 B8 00 06 F2 04"
"00:19:28.411";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.411";"1B0";"Std";"";"FF 94 FF C4"
"00:19:28.412";"552";"Std";"";"10 04"
"00:19:28.417";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.417";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:19:28.418";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:19:28.418";"352";"Std";"";"5F 00 00 FF"
"00:19:28.420";"186";"Std";"";"1A FC 31 A3 2B 00 21"
"00:19:28.421";"18A";"Std";"";"32 B8 00 06 F2 04"
"00:19:28.421";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.421";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:19:28.421";"2A9";"Std";"";"EB"
"00:19:28.421";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:19:28.422";"575";"Std";"";"10 04"
"00:19:28.427";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.427";"29A";"Std";"";"00 00 00 00 00 00 03 FC"
"00:19:28.428";"653";"Std";"";"00 00 08 00"
"00:19:28.428";"666";"Std";"";"00 00 00 00"
"00:19:28.430";"186";"Std";"";"1A DA 31 A3 2C 00 21"
"00:19:28.431";"18A";"Std";"";"32 B8 00 06 F2 04"
"00:19:28.431";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.431";"4DE";"Std";"";"00 00 00"
"00:19:28.432";"1B0";"Std";"";"FF 94 FF C4"
"00:19:28.432";"350";"Std";"";"C7 04 36 4A 14 98 94 45"
"00:19:28.432";"500";"Std";"";"02 6B 91 0D 00"
"00:19:28.432";"55D";"Std";"";"00 D5 60 00 90 80 00 01"
"00:19:28.437";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.437";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:19:28.438";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:19:28.438";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:19:28.438";"564";"Std";"";"F2 A0"
"00:19:28.440";"186";"Std";"";"1A DA 31 A3 2C 00 21"
"00:19:28.441";"18A";"Std";"";"32 C8 00 06 F2 04"
"00:19:28.441";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
"00:19:28.441";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:19:28.441";"2A9";"Std";"";"EB"
"00:19:28.441";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:19:28.447";"2B7";"Std";"";"00 E0 FE FE 01"
"00:19:28.447";"29A";"Std";"";"00 00 00 00 00 00 04 FB"
"00:19:28.450";"186";"Std";"";"1A DA 31 A3 2C 00 21"
"00:19:28.451";"18A";"Std";"";"32 C8 00 06 F2 04"
"00:19:28.451";"1F6";"Std";"";"00 20 80 83 80 03 FF FE"
