ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 24/11/2016
Start time: 08:27:20
Stop time: 08:30:25
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:16:23.456";"5DF";"Std";"";"00 44"
"00:16:23.456";"186";"Std";"";"1A 6E 31 E3 2C 00 21"
"00:16:23.457";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.457";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.459";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.459";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:16:23.459";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:16:23.459";"352";"Std";"";"5F 00 00 FF"
"00:16:23.466";"1B0";"Std";"";"FF 94 FF C4"
"00:16:23.466";"657";"Std";"";"C0 C0"
"00:16:23.466";"186";"Std";"";"1A 6E 31 D3 2C 00 21"
"00:16:23.467";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.467";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.467";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:16:23.467";"2A9";"Std";"";"F7"
"00:16:23.467";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:16:23.468";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.469";"29A";"Std";"";"00 00 00 00 00 00 0B F4"
"00:16:23.469";"5D7";"Std";"";"00 00 00 CC AD 80 D4"
"00:16:23.476";"2BC";"Std";"";"94 79 57 52 93 FD 27 D8"
"00:16:23.476";"45C";"Std";"";"00 00 00 00 00 00"
"00:16:23.476";"4AC";"Std";"";"80 83 02 00 A0"
"00:16:23.476";"186";"Std";"";"1A 84 31 D3 2C 00 21"
"00:16:23.477";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.477";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.479";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.479";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:16:23.479";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:16:23.479";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:16:23.486";"1B0";"Std";"";"FF 94 FF C4"
"00:16:23.486";"186";"Std";"";"1A 84 31 D3 2C 00 21"
"00:16:23.487";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.487";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.487";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:16:23.487";"2A9";"Std";"";"F7"
"00:16:23.487";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:16:23.489";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.489";"29A";"Std";"";"00 00 00 00 00 00 0C F3"
"00:16:23.489";"666";"Std";"";"00 00 00 00"
"00:16:23.496";"186";"Std";"";"1A 84 31 D3 2C 00 21"
"00:16:23.497";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.497";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.497";"41A";"Std";"";"00 00 00 00"
"00:16:23.497";"41D";"Std";"";"F8 FE FF"
"00:16:23.497";"511";"Std";"";"00 43 89 BD 91 20 9D"
"00:16:23.498";"5DA";"Std";"";"84 6A 00 00 C5 FF FF 20"
"00:16:23.498";"648";"Std";"";"00 00 00 7E FC 7E FC 00"
"00:16:23.498";"65C";"Std";"";"CE 89 00"
"00:16:23.498";"66A";"Std";"";"27 FF 00 CC CC C0 00 00"
"00:16:23.499";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.499";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:16:23.499";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:16:23.499";"352";"Std";"";"5F 00 00 FF"
"00:16:23.506";"1B0";"Std";"";"FF 94 FF C4"
"00:16:23.506";"552";"Std";"";"39 24"
"00:16:23.506";"186";"Std";"";"1A 82 31 E3 2C 00 21"
"00:16:23.507";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.507";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.507";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:16:23.507";"2A9";"Std";"";"F7"
"00:16:23.507";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:16:23.508";"6FB";"Std";"";"4F 01 0E 3A FD FF 00 FF"
"00:16:23.508";"3B7";"Std";"";"FF FF 7F CF FE 40"
"00:16:23.508";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.509";"29A";"Std";"";"00 00 00 00 00 00 0D F2"
"00:16:23.511";"4F8";"Std";"";"54 10 30 FF FF 03 FF 00"
"00:16:23.516";"575";"Std";"";"39 24"
"00:16:23.516";"186";"Std";"";"1A 82 31 E3 2C 00 21"
"00:16:23.517";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.517";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.518";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.519";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:16:23.519";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:16:23.519";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:16:23.526";"4DE";"Std";"";"00 00 00"
"00:16:23.526";"1B0";"Std";"";"FF 94 FF C4"
"00:16:23.526";"350";"Std";"";"C7 04 36 47 14 98 94 45"
"00:16:23.526";"500";"Std";"";"02 A1 A9 8F 92"
"00:16:23.526";"55D";"Std";"";"00 D5 60 00 90 80 00 01"
"00:16:23.527";"186";"Std";"";"1A 82 31 E3 2C 00 21"
"00:16:23.527";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.527";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.527";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:16:23.527";"2A9";"Std";"";"F7"
"00:16:23.528";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:16:23.528";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.529";"29A";"Std";"";"00 00 00 00 00 00 0E F1"
"00:16:23.536";"186";"Std";"";"1A 82 31 C3 2C 00 21"
"00:16:23.537";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.537";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.538";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.539";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:16:23.539";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:16:23.539";"352";"Std";"";"5F 00 00 FF"
"00:16:23.540";"653";"Std";"";"00 00 08 00"
"00:16:23.546";"1B0";"Std";"";"FF 94 FF C4"
"00:16:23.546";"5DE";"Std";"";"00 00 00 80 00 00 00 41"
"00:16:23.546";"186";"Std";"";"1A B4 31 C3 2C 00 21"
"00:16:23.546";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.547";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.547";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:16:23.547";"2A9";"Std";"";"F7"
"00:16:23.547";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:16:23.548";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.549";"29A";"Std";"";"00 00 00 00 00 00 0F F0"
"00:16:23.550";"564";"Std";"";"FD E0"
"00:16:23.556";"5DF";"Std";"";"00 44"
"00:16:23.556";"186";"Std";"";"1A B4 31 C3 2C 00 21"
"00:16:23.557";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.557";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.558";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.559";"242";"Std";"";"00 00 FF EF FE 00 0C 00"
"00:16:23.559";"29C";"Std";"";"00 00 00 00 FF FF FF FF"
"00:16:23.559";"354";"Std";"";"00 00 00 00 00 00 00 00"
"00:16:23.565";"1B0";"Std";"";"FF 94 FF C4"
"00:16:23.566";"657";"Std";"";"C0 C0"
"00:16:23.566";"186";"Std";"";"1A B4 31 C3 2C 00 21"
"00:16:23.566";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.567";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
"00:16:23.567";"217";"Std";"";"2D FF 00 00 00 00 60 FC"
"00:16:23.567";"2A9";"Std";"";"F7"
"00:16:23.567";"2C6";"Std";"";"FF FF FF FF FF F0"
"00:16:23.568";"2B7";"Std";"";"00 E0 FE FE 01"
"00:16:23.569";"29A";"Std";"";"00 00 00 00 00 00 00 FF"
"00:16:23.569";"5D7";"Std";"";"00 00 00 CC AD 80 D4"
"00:16:23.576";"2BC";"Std";"";"94 8A 83 BF 3D 14 B7 2B"
"00:16:23.576";"45C";"Std";"";"00 00 00 00 00 00"
"00:16:23.576";"4AC";"Std";"";"80 83 02 00 A0"
"00:16:23.576";"186";"Std";"";"1B 14 31 83 2C 00 21"
"00:16:23.576";"18A";"Std";"";"32 C8 00 06 F6 04"
"00:16:23.577";"1F6";"Std";"";"00 20 80 89 80 03 FF FE"
