ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/08/2017
Start time: 11:28:46
Stop time: 11:29:12
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:09:43.898";"103";"Std";"";"0C 00 03 E8 00 00 03 5F"
"00:09:43.898";"104";"Std";"";"00 00 00 06 00 00 09 96"
"00:09:43.898";"116";"Std";"";"00 00 00 00 00 00 03 2D"
"00:09:43.898";"1F5";"Std";"";"00 00 00 00 00"
"00:09:43.899";"FC";"Std";"";"00 00 00 00 00 00 04 7E"
"00:09:43.899";"1F7";"Std";"";"00 00 00 D8 00 00 00 00"
"00:09:43.899";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:09:43.899";"FA";"Std";"";"40 20 00 00 28 08 00 9A"
"00:09:43.900";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:09:43.900";"1E7CBFF2";"Ext";"";"FF F4 00 00 00 14 00 00"
"00:09:43.900";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:09:43.901";"FF";"Std";"";"00 1D 73 AE 75 C0 04 45"
"00:09:43.901";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:09:43.901";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:09:43.901";"1E7CBFF3";"Ext";"";"00 00 93 CD"
"00:09:43.902";"100";"Std";"";"4E B9 D7 3A E0 00 04 6C"
"00:09:43.904";"DE";"Std";"";"1B 38 97 D0 09 F4"
"00:09:43.904";"41B";"Std";"";"22 00 00 00 01 30 00 00"
"00:09:43.906";"EE";"Std";"";"00 00 00 00 00 00 05 63"
"00:09:43.906";"F0";"Std";"";"FF C0 00 51 5F F8 0A B7"
"00:09:43.907";"FB";"Std";"";"00 0E 1D 74 00 00 05 13"
"00:09:43.907";"F4";"Std";"";"1A 90 00 00 00 00 05 06"
"00:09:43.907";"FE";"Std";"";"80 08 09 80 00 32 04 A4"
"00:09:43.907";"101";"Std";"";"00 00 00 00 1F C0 04 C3"
"00:09:43.908";"103";"Std";"";"0C 00 03 E8 00 00 04 0C"
"00:09:43.908";"104";"Std";"";"00 00 00 06 00 00 0A B1"
"00:09:43.908";"116";"Std";"";"00 00 00 00 00 00 04 7E"
"00:09:43.908";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:09:43.909";"FC";"Std";"";"00 00 00 00 00 00 05 63"
"00:09:43.909";"1F0";"Std";"";"00 1F E0 00 00 00 00 00"
"00:09:43.909";"FA";"Std";"";"40 20 00 00 30 08 00 8E"
"00:09:43.909";"1F2";"Std";"";"00 40 00 00 00 00 0A 88"
"00:09:43.910";"2EC";"Std";"";"00 00 00 00 00 00 00 00"
"00:09:43.910";"1F8";"Std";"";"40 FF 80 00 00 00 06 B0"
"00:09:43.910";"418";"Std";"";"00 00 08 19"
"00:09:43.910";"4AF";"Std";"";"00 00 00 00 00 00 00 00"
"00:09:43.911";"FF";"Std";"";"00 1D 73 AE 75 C0 05 58"
"00:09:43.911";"1E7CBFF3";"Ext";"";"00 00 93 CD"
"00:09:43.911";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:09:43.911";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:09:43.912";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:09:43.912";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:09:43.912";"1E7CBFF2";"Ext";"";"FF F7 00 00 00 14 00 00"
"00:09:43.912";"7D0";"Std";"";"00"
"00:09:43.912";"100";"Std";"";"4E B9 D7 3A E0 00 05 71"
"00:09:43.914";"DE";"Std";"";"1B 38 97 D0 0A D3"
"00:09:43.914";"2FA";"Std";"";"00 00 BE 00"
"00:09:43.914";"736";"Std";"";"08 32 19 00 00 00 00 00"
"00:09:43.915";"1EF";"Std";"";"88 00 00 00 00 00 09 8C"
"00:09:43.915";"1F4";"Std";"";"40 00 03 C0 00 00 03 EC"
"00:09:43.915";"2EF";"Std";"";"0F 70 00 00 00 00 00 00"
"00:09:43.916";"EE";"Std";"";"00 00 00 00 00 00 06 44"
"00:09:43.916";"FB";"Std";"";"00 0E 1D 74 00 00 06 34"
"00:09:43.917";"F0";"Std";"";"FF C0 00 51 5F F8 0B AA"
"00:09:43.917";"F4";"Std";"";"1A 90 00 00 00 00 06 21"
"00:09:43.917";"FE";"Std";"";"80 08 09 80 00 32 05 B9"
"00:09:43.917";"101";"Std";"";"00 00 00 00 1F C0 05 DE"
"00:09:43.918";"103";"Std";"";"0C 00 03 E8 00 00 05 11"
"00:09:43.918";"104";"Std";"";"00 00 00 06 00 00 0B AC"
"00:09:43.918";"116";"Std";"";"00 00 00 00 00 00 05 63"
"00:09:43.918";"1F5";"Std";"";"00 00 00 00 00"
"00:09:43.919";"FC";"Std";"";"00 00 00 00 00 00 06 44"
"00:09:43.919";"1F7";"Std";"";"00 00 00 D8 00 00 00 00"
"00:09:43.919";"FA";"Std";"";"40 20 00 00 38 08 00 82"
"00:09:43.919";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:09:43.920";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:09:43.920";"1E7CBFF2";"Ext";"";"FF F4 00 00 00 14 00 00"
"00:09:43.921";"FF";"Std";"";"00 1D 73 AE 75 C0 06 7F"
"00:09:43.921";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:09:43.921";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:09:43.921";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:09:43.921";"190";"Std";"";"00 10 00 00 00 00 08 F6"
"00:09:43.922";"1E7CBFF3";"Ext";"";"00 00 93 CD"
"00:09:43.922";"100";"Std";"";"4E B9 D7 3A E0 00 06 56"
"00:09:43.924";"DE";"Std";"";"1B 38 97 D0 0B CE"
"00:09:43.924";"41A";"Std";"";"02 64 00 A8 00 00 00"
"00:09:43.926";"EE";"Std";"";"00 00 00 00 00 00 07 59"
"00:09:43.926";"F0";"Std";"";"FF C0 00 51 5F F8 0C F9"
"00:09:43.927";"FB";"Std";"";"00 0E 1D 74 00 00 07 29"
"00:09:43.927";"F4";"Std";"";"1A 90 00 00 00 00 07 3C"
"00:09:43.927";"FE";"Std";"";"80 08 09 80 00 32 06 9E"
"00:09:43.927";"101";"Std";"";"00 00 00 00 1F C0 06 F9"
"00:09:43.928";"103";"Std";"";"0C 00 03 E8 00 00 06 36"
"00:09:43.928";"104";"Std";"";"00 00 00 06 00 00 0C FF"
"00:09:43.928";"116";"Std";"";"00 00 00 00 00 00 06 44"
"00:09:43.928";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:09:43.929";"FC";"Std";"";"00 00 00 00 00 00 07 59"
"00:09:43.929";"1F0";"Std";"";"00 1F E0 00 00 00 00 00"
"00:09:43.929";"FA";"Std";"";"40 20 00 00 40 08 00 C6"
"00:09:43.929";"1F2";"Std";"";"00 40 00 00 00 00 0B 95"
"00:09:43.930";"1F8";"Std";"";"40 FF 80 00 00 00 07 AD"
"00:09:43.930";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:09:43.930";"1E7CBFF3";"Ext";"";"00 00 93 CD"
"00:09:43.930";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:09:43.931";"FF";"Std";"";"00 1D 73 AE 75 C0 07 62"
"00:09:43.931";"1E7CBFED";"Ext";"";"00 00 00 00 00 02"
"00:09:43.931";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:09:43.931";"1E7CBFF2";"Ext";"";"FF F4 00 00 00 14 00 00"
"00:09:43.931";"7D0";"Std";"";"00"
"00:09:43.932";"100";"Std";"";"4E B9 D7 3A E0 00 07 4B"
"00:09:43.934";"DE";"Std";"";"1B 38 97 D0 0C 9D"
"00:09:43.934";"2EE";"Std";"";"80 A0 00 00"
"00:09:43.934";"2FA";"Std";"";"00 01 A3 00"
"00:09:43.934";"1F4";"Std";"";"40 00 03 C0 00 00 04 BF"
"00:09:43.935";"1EF";"Std";"";"88 00 00 00 00 00 0A AB"
"00:09:43.935";"2ED";"Std";"";"7C 00 00 00 00 00 00 00"
