ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/08/2017
Start time: 11:34:41
Stop time: 11:35:10
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:15:41.406";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:15:41.407";"2EF";"Std";"";"0F 70 00 00 00 00 00 00"
"00:15:41.407";"1E7CBFF3";"Ext";"";"00 00 93 CE"
"00:15:41.408";"FA";"Std";"";"40 20 00 00 00 08 00 A6"
"00:15:41.408";"7D0";"Std";"";"00"
"00:15:41.408";"F4";"Std";"";"1A 90 00 00 00 00 0F D4"
"00:15:41.409";"FB";"Std";"";"00 0E 9D 64 00 00 0F C7"
"00:15:41.409";"EE";"Std";"";"00 00 00 00 00 00 01 17"
"00:15:41.410";"FE";"Std";"";"80 08 09 80 00 32 00 D0"
"00:15:41.410";"101";"Std";"";"00 00 00 00 1F C0 00 B7"
"00:15:41.410";"103";"Std";"";"0C 00 03 E8 00 00 00 78"
"00:15:41.410";"116";"Std";"";"00 00 00 00 00 00 00 0A"
"00:15:41.411";"FC";"Std";"";"00 00 00 00 00 00 0F B1"
"00:15:41.411";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:15:41.411";"1F2";"Std";"";"00 40 00 00 00 00 00 5A"
"00:15:41.412";"FF";"Std";"";"00 1D 63 AC 75 80 0F A9"
"00:15:41.413";"DE";"Std";"";"1B 1C 97 D0 07 56"
"00:15:41.413";"F0";"Std";"";"FF C0 00 51 5F F8 04 11"
"00:15:41.414";"104";"Std";"";"00 00 00 06 00 00 04 17"
"00:15:41.414";"158";"Std";"";"00 00 03 D6"
"00:15:41.414";"2FA";"Std";"";"00 05 D7 00"
"00:15:41.414";"416";"Std";"";"01 37 35 47 4B 41 35 30"
"00:15:41.414";"100";"Std";"";"4E B1 D6 3A C0 00 0F F3"
"00:15:41.415";"1F0";"Std";"";"00 1F E0 00 00 00 00 00"
"00:15:41.415";"1F8";"Std";"";"40 FF 80 00 00 00 0B 31"
"00:15:41.415";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:15:41.416";"1EF";"Std";"";"88 00 00 00 00 00 0E DF"
"00:15:41.416";"1E7CBFF3";"Ext";"";"00 00 93 CE"
"00:15:41.416";"1E7CBFF4";"Ext";"";"2A 00 00 00"
"00:15:41.416";"417";"Std";"";"AF 64 0C 60 00 00 00 00"
"00:15:41.417";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:15:41.417";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:15:41.417";"1E7CBFF2";"Ext";"";"FF F4 00 00 00 14 00 00"
"00:15:41.418";"FA";"Std";"";"40 20 00 00 08 08 00 AA"
"00:15:41.418";"FB";"Std";"";"00 0E 9D 64 00 00 00 7C"
"00:15:41.419";"F4";"Std";"";"1A 90 00 00 00 00 00 6F"
