ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/08/2017
Start time: 11:27:32
Stop time: 11:27:59
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:08:35.527";"FC";"Std";"";"00 00 00 00 00 00 08 E2"
"00:08:35.527";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:08:35.528";"1E7CBFF2";"Ext";"";"FF F4 00 00 00 14 00 00"
"00:08:35.528";"DE";"Std";"";"1B 38 97 D0 0C 9D"
"00:08:35.528";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:08:35.528";"EE";"Std";"";"00 00 00 00 00 00 08 E2"
"00:08:35.529";"FA";"Std";"";"40 20 00 00 48 08 00 CA"
"00:08:35.529";"FE";"Std";"";"80 08 09 7F F0 32 07 AD"
"00:08:35.529";"FF";"Std";"";"00 1D 73 AE 75 C0 08 D9"
"00:08:35.529";"101";"Std";"";"00 00 00 00 1F C0 07 E4"
"00:08:35.530";"103";"Std";"";"0C 00 03 E8 00 00 07 2B"
"00:08:35.530";"116";"Std";"";"00 00 00 00 00 00 07 59"
"00:08:35.530";"1F5";"Std";"";"00 00 00 00 00"
"00:08:35.530";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:08:35.531";"2EC";"Std";"";"00 00 00 00 00 00 00 00"
"00:08:35.531";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:08:35.531";"100";"Std";"";"4E B9 D7 3A E0 00 08 F0"
"00:08:35.531";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:08:35.531";"1E7CBFF3";"Ext";"";"00 00 93 CD"
"00:08:35.533";"2EF";"Std";"";"0F 70 00 00 00 00 00 00"
"00:08:35.534";"F0";"Std";"";"FF C0 00 51 5F F8 0E C3"
"00:08:35.534";"104";"Std";"";"00 00 00 06 00 00 0E C5"
"00:08:35.535";"FB";"Std";"";"00 0E 1D 74 00 00 09 8F"
"00:08:35.535";"1F0";"Std";"";"00 1F E0 00 00 00 00 00"
"00:08:35.536";"F4";"Std";"";"1A 90 00 00 00 00 09 9A"
"00:08:35.537";"FC";"Std";"";"00 00 00 00 00 00 09 FF"
"00:08:35.537";"1F8";"Std";"";"40 FF 80 00 00 00 08 16"
"00:08:35.538";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:08:35.538";"1E7CBFF3";"Ext";"";"00 00 93 CD"
"00:08:35.538";"DE";"Std";"";"1B 38 97 D0 0D 80"
"00:08:35.538";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:08:35.538";"EE";"Std";"";"00 00 00 00 00 00 09 FF"
"00:08:35.539";"FA";"Std";"";"40 20 00 00 50 08 00 DE"
"00:08:35.539";"FE";"Std";"";"80 08 09 80 00 32 08 38"
"00:08:35.539";"FF";"Std";"";"00 1D 73 AE 75 C0 09 C4"
"00:08:35.539";"101";"Std";"";"00 00 00 00 1F C0 08 5F"
"00:08:35.540";"103";"Std";"";"0C 00 03 E8 00 00 08 90"
"00:08:35.540";"116";"Std";"";"00 00 00 00 00 00 08 E2"
"00:08:35.540";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:08:35.540";"1F2";"Std";"";"00 40 00 00 00 00 0C C6"
"00:08:35.541";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:08:35.541";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:08:35.541";"100";"Std";"";"4E B9 D7 3A E0 00 09 ED"
"00:08:35.541";"1E7CBFF2";"Ext";"";"FF F7 00 00 00 14 00 00"
"00:08:35.542";"7D0";"Std";"";"00"
"00:08:35.543";"2FA";"Std";"";"00 02 84 00"
"00:08:35.543";"1F4";"Std";"";"40 00 03 C0 00 00 05 A2"
"00:08:35.543";"1EF";"Std";"";"88 00 00 00 00 00 0B B6"
"00:08:35.543";"416";"Std";"";"01 37 35 47 4B 41 35 30"
"00:08:35.544";"417";"Std";"";"AF 64 0B E0 00 00 00 00"
"00:08:35.544";"F0";"Std";"";"FF C0 00 51 5F F8 0F DE"
"00:08:35.544";"104";"Std";"";"00 00 00 06 00 00 0F D8"
"00:08:35.544";"1F7";"Std";"";"00 00 00 D8 00 00 00 00"
"00:08:35.545";"190";"Std";"";"00 10 00 00 00 00 0B D1"
"00:08:35.545";"545";"Std";"";"08 1B 0A 07 00 09 C0 00"
"00:08:35.545";"F4";"Std";"";"1A 90 00 00 00 00 0A BD"
"00:08:35.545";"FB";"Std";"";"00 0E 1D 74 00 00 0A A8"
"00:08:35.547";"FC";"Std";"";"00 00 00 00 00 00 0A D8"
"00:08:35.548";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:08:35.548";"DE";"Std";"";"1B 38 97 D0 0E A7"
"00:08:35.548";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:08:35.548";"EE";"Std";"";"00 00 00 00 00 00 0A D8"
"00:08:35.549";"FA";"Std";"";"40 20 00 00 58 08 00 D2"
"00:08:35.549";"FE";"Std";"";"80 08 09 80 00 32 09 25"
"00:08:35.549";"FF";"Std";"";"00 1D 73 AE 75 C0 0A E3"
"00:08:35.549";"101";"Std";"";"00 00 00 00 1F C0 09 42"
"00:08:35.550";"103";"Std";"";"0C 00 03 E8 00 00 09 8D"
"00:08:35.550";"116";"Std";"";"00 00 00 00 00 00 09 FF"
"00:08:35.550";"1F5";"Std";"";"00 00 00 00 00"
"00:08:35.550";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:08:35.550";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:08:35.551";"1E7CBFF2";"Ext";"";"FF F7 00 00 00 14 00 00"
"00:08:35.551";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:08:35.551";"100";"Std";"";"4E B9 D7 3A E0 00 0A CA"
"00:08:35.551";"1E7CBFF3";"Ext";"";"00 00 93 CD"
"00:08:35.553";"2ED";"Std";"";"7D 00 00 00 00 00 00 00"
"00:08:35.554";"F0";"Std";"";"FF C0 00 51 5F F8 00 65"
"00:08:35.554";"104";"Std";"";"00 00 00 06 00 00 00 63"
"00:08:35.555";"FB";"Std";"";"00 0E 1D 74 00 00 0B B5"
"00:08:35.555";"F4";"Std";"";"1A 90 00 00 00 00 0B A0"
"00:08:35.555";"1F0";"Std";"";"00 1F E0 00 00 00 00 00"
"00:08:35.557";"256";"Std";"";"08 00 00 7F C4 00 00 00"
"00:08:35.557";"FC";"Std";"";"00 00 00 00 00 00 0B C5"
"00:08:35.557";"1F8";"Std";"";"40 FF 80 00 00 00 09 0B"
