ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/08/2017
Start time: 11:41:05
Stop time: 11:41:36
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:22:09.385";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:22:09.385";"1E7CBFF2";"Ext";"";"FF F4 00 00 00 14 00 00"
"00:22:09.385";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:22:09.385";"1E7CBFF3";"Ext";"";"00 00 93 CE"
"00:22:09.386";"1EF";"Std";"";"88 00 00 00 00 00 08 91"
"00:22:09.386";"100";"Std";"";"4E B1 D6 3A C0 00 03 6F"
"00:22:09.386";"DE";"Std";"";"1B 1C 97 D0 0E A3"
"00:22:09.387";"FA";"Std";"";"40 20 00 00 28 08 00 9A"
"00:22:09.388";"2ED";"Std";"";"77 00 00 00 00 00 00 00"
"00:22:09.390";"F0";"Std";"";"FF C0 00 51 5F F8 08 8D"
"00:22:09.390";"FB";"Std";"";"00 0E 9D 64 00 00 04 08"
"00:22:09.390";"EE";"Std";"";"00 00 00 00 00 00 08 E2"
"00:22:09.391";"F4";"Std";"";"1A 90 00 00 00 00 04 1B"
"00:22:09.391";"FE";"Std";"";"80 08 09 80 00 32 07 83"
"00:22:09.391";"101";"Std";"";"00 00 00 00 1F C0 07 E4"
"00:22:09.391";"103";"Std";"";"0C 00 03 E8 00 00 07 2B"
"00:22:09.392";"104";"Std";"";"00 00 00 06 00 00 08 8B"
"00:22:09.392";"116";"Std";"";"00 00 01 01 00 00 07 AE"
"00:22:09.392";"1F5";"Std";"";"00 00 00 00 00"
"00:22:09.392";"FC";"Std";"";"00 00 00 00 00 00 04 7E"
"00:22:09.393";"1F0";"Std";"";"00 1F E0 00 00 00 00 00"
"00:22:09.393";"1F8";"Std";"";"40 FF 80 00 00 00 05 97"
"00:22:09.393";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:22:09.393";"259";"Std";"";"00 00 04 E7 D0 00 00 00"
"00:22:09.393";"1E7CBFF3";"Ext";"";"00 00 93 CE"
"00:22:09.394";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:22:09.394";"1E7CBFF4";"Ext";"";"2A 00 00 00"
"00:22:09.394";"FF";"Std";"";"00 1D 63 AC 75 80 04 66"
"00:22:09.394";"1F4";"Std";"";"40 00 03 C0 00 00 02 F1"
"00:22:09.395";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:22:09.395";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
