ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/08/2017
Start time: 13:25:18
Stop time: 13:25:57
Overruns: 0  Errorframes: 1                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:37:09.361";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:37:09.361";"1F2";"Std";"";"00 40 00 00 00 00 01 47"
"00:37:09.362";"FA";"Std";"";"20 20 00 00 30 04 00 48"
"00:37:09.366";"1EF";"Std";"";"42 00 00 00 00 00 00 6E"
"00:37:09.369";"EE";"Std";"";"00 00 00 00 00 00 04 7E"
"00:37:09.370";"FE";"Std";"";"80 08 09 7F F0 32 03 D9"
"00:37:09.370";"101";"Std";"";"00 00 00 01 9F E0 03 B8"
"00:37:09.370";"103";"Std";"";"0C 00 03 E8 00 00 03 5F"
"00:37:09.370";"116";"Std";"";"00 00 00 00 00 00 03 2D"
"00:37:09.371";"1F5";"Std";"";"00 00 00 00 00"
"00:37:09.371";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.372";"FA";"Std";"";"20 20 00 00 38 04 00 44"
"00:37:09.372";"7D0";"Std";"";"00"
"00:37:09.379";"EE";"Std";"";"00 00 00 00 00 00 05 63"
"00:37:09.380";"FE";"Std";"";"80 08 09 7F F0 32 04 8A"
"00:37:09.380";"101";"Std";"";"00 00 00 01 9F E0 04 EB"
"00:37:09.380";"103";"Std";"";"0C 00 03 E8 00 00 04 0C"
"00:37:09.380";"116";"Std";"";"00 00 00 00 00 00 04 7E"
"00:37:09.381";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:37:09.381";"1F2";"Std";"";"00 40 00 00 00 00 02 60"
"00:37:09.382";"FA";"Std";"";"20 20 00 00 40 04 00 00"
"00:37:09.382";"2EC";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.386";"1EF";"Std";"";"42 00 00 00 00 00 01 73"
"00:37:09.389";"EE";"Std";"";"00 00 00 00 00 00 06 44"
"00:37:09.390";"FE";"Std";"";"80 08 09 7F F0 32 05 97"
"00:37:09.390";"101";"Std";"";"00 00 00 01 9F E0 05 F6"
"00:37:09.390";"103";"Std";"";"0C 00 03 E8 00 00 05 11"
"00:37:09.390";"116";"Std";"";"00 00 00 00 00 00 05 63"
"00:37:09.390";"1F5";"Std";"";"00 00 00 00 00"
"00:37:09.391";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.392";"FA";"Std";"";"20 20 00 00 48 04 00 0C"
"00:37:09.392";"7D0";"Std";"";"00"
"00:37:09.395";"256";"Std";"";"00 00 00 7F C4 00 00 00"
"00:37:09.396";"416";"Std";"";"02 34 32 39 00 00 00 00"
"00:37:09.397";"545";"Std";"";"08 19 C0 07 00 0A 40 00"
"00:37:09.399";"EE";"Std";"";"00 00 00 00 00 00 07 59"
"00:37:09.400";"FE";"Std";"";"80 08 09 7F F0 32 06 B0"
"00:37:09.400";"101";"Std";"";"00 00 00 01 9F E0 06 D1"
"00:37:09.400";"103";"Std";"";"0C 00 03 E8 00 00 06 36"
"00:37:09.400";"116";"Std";"";"00 00 00 00 00 00 06 44"
"00:37:09.401";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:37:09.401";"1F2";"Std";"";"00 40 00 00 00 00 03 7D"
"00:37:09.402";"FA";"Std";"";"20 20 00 00 50 04 00 18"
"00:37:09.406";"1EF";"Std";"";"42 00 00 00 00 00 02 54"
"00:37:09.409";"EE";"Std";"";"00 00 00 00 00 00 08 E2"
"00:37:09.410";"FE";"Std";"";"80 08 09 7F F0 32 07 AD"
"00:37:09.410";"101";"Std";"";"00 00 00 01 9F E0 07 CC"
"00:37:09.410";"103";"Std";"";"0C 00 03 E8 00 00 07 2B"
"00:37:09.410";"116";"Std";"";"00 00 00 00 00 00 07 59"
"00:37:09.410";"1F5";"Std";"";"00 00 00 00 00"
"00:37:09.411";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.412";"FA";"Std";"";"20 20 00 00 58 04 00 14"
"00:37:09.412";"7D0";"Std";"";"00"
"00:37:09.416";"419";"Std";"";"67 00 00 0C 0C 00 00 00"
"00:37:09.419";"EE";"Std";"";"00 00 00 00 00 00 09 FF"
"00:37:09.420";"FE";"Std";"";"80 08 09 7F F0 32 08 16"
"00:37:09.420";"101";"Std";"";"00 00 00 01 9F E0 08 77"
"00:37:09.420";"103";"Std";"";"0C 00 03 E8 00 00 08 90"
"00:37:09.420";"116";"Std";"";"00 00 00 00 00 00 08 E2"
"00:37:09.420";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:37:09.421";"1F2";"Std";"";"00 40 00 00 00 00 04 2E"
"00:37:09.422";"FA";"Std";"";"20 20 00 00 60 04 00 30"
"00:37:09.425";"73A";"Std";"";"13 25 10 08 20 17"
"00:37:09.426";"1EF";"Std";"";"42 00 00 00 00 00 03 49"
"00:37:09.426";"73E";"Std";"";"00 00 00 00"
"00:37:09.429";"EE";"Std";"";"00 00 00 00 00 00 0A D8"
"00:37:09.430";"FE";"Std";"";"80 08 09 7F F0 32 09 0B"
"00:37:09.430";"101";"Std";"";"00 00 00 01 9F E0 09 6A"
"00:37:09.430";"103";"Std";"";"0C 00 03 E8 00 00 09 8D"
"00:37:09.430";"116";"Std";"";"00 00 00 00 00 00 09 FF"
"00:37:09.430";"1F5";"Std";"";"00 00 00 00 00"
"00:37:09.431";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.431";"FA";"Std";"";"20 20 00 00 68 04 00 3C"
"00:37:09.432";"2EC";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.432";"7D0";"Std";"";"00"
"00:37:09.439";"EE";"Std";"";"00 00 00 00 00 00 0B C5"
"00:37:09.439";"FE";"Std";"";"80 08 09 7F F0 32 0A 2C"
"00:37:09.440";"101";"Std";"";"00 00 00 01 9F E0 0A 4D"
"00:37:09.440";"103";"Std";"";"0C 00 03 E8 00 00 0A AA"
"00:37:09.440";"116";"Std";"";"00 00 00 00 00 00 0A D8"
"00:37:09.440";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:37:09.441";"1F2";"Std";"";"00 40 00 00 00 00 05 33"
"00:37:09.441";"418";"Std";"";"10 00 07 BA"
"00:37:09.442";"FA";"Std";"";"20 20 00 00 70 04 00 28"
"00:37:09.446";"1EF";"Std";"";"42 00 00 00 00 00 04 1A"
"00:37:09.446";"41A";"Std";"";"02 64 00 A8 00 00 00"
"00:37:09.449";"EE";"Std";"";"00 00 00 00 00 00 0C 96"
"00:37:09.449";"FE";"Std";"";"80 08 09 7F F0 32 0B 31"
"00:37:09.450";"101";"Std";"";"00 00 00 01 9F E0 0B 50"
"00:37:09.450";"103";"Std";"";"0C 00 03 E8 00 00 0B B7"
"00:37:09.450";"116";"Std";"";"00 00 00 00 00 00 0B C5"
"00:37:09.450";"1F5";"Std";"";"00 00 00 00 00"
"00:37:09.451";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.452";"FA";"Std";"";"20 20 00 00 78 04 00 24"
"00:37:09.452";"7D0";"Std";"";"00"
"00:37:09.455";"259";"Std";"";"00 00 04 E8 40 00 00 00"
"00:37:09.456";"2EE";"Std";"";"80 00 00 00"
"00:37:09.457";"41E";"Std";"";"FF FD FF FE FF 00 00 C0"
"00:37:09.457";"420";"Std";"";"FF 6F F6 FF 6F F6 30 00"
"00:37:09.457";"5A6";"Std";"";"00 01 91 F8 17 00 00 00"
"00:37:09.457";"5AB";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.458";"5B0";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.458";"742";"Std";"";"FF FF FF FF FF FF FF F0"
"00:37:09.458";"744";"Std";"";"FF FF FF FF FF F0 FF FF"
"00:37:09.458";"7CA";"Std";"";"0E 5F"
"00:37:09.459";"EE";"Std";"";"00 00 00 00 00 00 0D 8B"
"00:37:09.459";"FE";"Std";"";"80 08 09 7F F0 32 0C 62"
"00:37:09.460";"101";"Std";"";"00 00 00 01 9F E0 0C 03"
"00:37:09.460";"103";"Std";"";"0C 00 03 E8 00 00 0C E4"
"00:37:09.460";"116";"Std";"";"00 00 00 00 00 00 0C 96"
"00:37:09.460";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:37:09.461";"1F2";"Std";"";"00 40 00 00 00 00 06 14"
"00:37:09.462";"FA";"Std";"";"20 20 00 00 00 04 00 60"
"00:37:09.466";"1EF";"Std";"";"42 00 00 00 00 00 05 07"
"00:37:09.469";"EE";"Std";"";"00 00 00 00 00 00 0E AC"
"00:37:09.469";"FE";"Std";"";"80 08 09 7F F0 32 0D 7F"
"00:37:09.470";"101";"Std";"";"00 00 00 01 9F E0 0D 1E"
"00:37:09.470";"103";"Std";"";"0C 00 03 E8 00 00 0D F9"
"00:37:09.470";"116";"Std";"";"00 00 00 00 00 00 0D 8B"
"00:37:09.470";"1F5";"Std";"";"00 00 00 00 00"
"00:37:09.471";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.471";"FA";"Std";"";"20 20 00 00 08 04 00 6C"
"00:37:09.472";"7D0";"Std";"";"00"
"00:37:09.479";"EE";"Std";"";"00 00 00 00 00 00 0F B1"
"00:37:09.479";"FE";"Std";"";"80 08 09 7F F0 32 0E 58"
"00:37:09.480";"101";"Std";"";"00 00 00 01 9F E0 0E 39"
"00:37:09.480";"103";"Std";"";"0C 00 03 E8 00 00 0E DE"
"00:37:09.480";"116";"Std";"";"00 00 00 00 00 00 0E AC"
"00:37:09.480";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:37:09.481";"1F2";"Std";"";"00 40 00 00 00 00 07 09"
"00:37:09.482";"FA";"Std";"";"20 20 00 00 10 04 00 78"
"00:37:09.482";"2EC";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.486";"1EF";"Std";"";"42 00 00 00 00 00 06 20"
"00:37:09.489";"EE";"Std";"";"00 00 00 00 00 00 00 0A"
"00:37:09.489";"FE";"Std";"";"80 08 09 7F F0 32 0F 45"
"00:37:09.490";"101";"Std";"";"00 00 00 01 9F E0 0F 24"
"00:37:09.490";"103";"Std";"";"0C 00 03 E8 00 00 0F C3"
"00:37:09.490";"116";"Std";"";"00 00 00 00 00 00 0F B1"
"00:37:09.490";"1F5";"Std";"";"00 00 00 00 00"
"00:37:09.491";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:37:09.491";"5AD";"Std";"";"FB 00 00 00 00 00 00 00"
"00:37:09.491";"FA";"Std";"";"20 20 00 00 18 04 00 74"
"00:37:09.492";"7D0";"Std";"";"00"
"00:37:09.495";"256";"Std";"";"00 00 00 7F C4 00 00 00"
"00:37:09.496";"416";"Std";"";"00 39 38 38 32 32 36 31"
"00:37:09.499";"EE";"Std";"";"00 00 00 00 00 00 01 17"
"00:37:09.499";"FE";"Std";"";"80 08 09 7F F0 32 00 FE"
"00:37:09.500";"101";"Std";"";"00 00 00 01 9F E0 00 9F"
"00:37:09.500";"103";"Std";"";"0C 00 03 E8 00 00 00 78"
"00:37:09.500";"116";"Std";"";"00 00 00 00 00 00 00 0A"
"00:37:09.500";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:37:09.501";"1F2";"Std";"";"00 40 00 00 00 00 08 B2"
"00:37:09.502";"FA";"Std";"";"20 20 00 00 20 04 00 50"
"00:37:09.506";"1EF";"Std";"";"42 00 00 00 00 00 07 3D"
