ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/08/2017
Start time: 11:23:34
Stop time: 11:24:21
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:04:49.193";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:04:49.193";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:04:49.194";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:04:49.194";"1E7CBFF3";"Ext";"";"00 00 93 CC"
"00:04:49.194";"FC";"Std";"";"00 00 00 00 00 00 08 E2"
"00:04:49.196";"FA";"Std";"";"40 20 00 00 48 08 00 CA"
"00:04:49.196";"FF";"Std";"";"00 1D 73 AE 75 C0 08 D9"
"00:04:49.197";"EE";"Std";"";"00 00 00 00 00 00 07 59"
"00:04:49.197";"FE";"Std";"";"80 08 09 80 00 32 06 9E"
"00:04:49.197";"F0";"Std";"";"FF C0 00 51 5F F8 0E C3"
"00:04:49.198";"101";"Std";"";"00 00 00 00 1F C0 06 F9"
"00:04:49.198";"103";"Std";"";"0C 00 03 E8 00 00 06 36"
"00:04:49.198";"100";"Std";"";"4E B9 D7 3A E0 00 08 F0"
"00:04:49.198";"104";"Std";"";"00 00 00 06 00 00 0E C5"
"00:04:49.199";"116";"Std";"";"00 00 00 00 00 00 06 44"
"00:04:49.199";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:04:49.199";"1F2";"Std";"";"00 40 00 00 00 00 0B 95"
"00:04:49.200";"1F0";"Std";"";"00 1F E0 00 00 00 00 00"
"00:04:49.200";"41B";"Std";"";"21 00 00 00 01 30 00 00"
"00:04:49.201";"DE";"Std";"";"1B 38 97 D0 0B CE"
"00:04:49.202";"1F8";"Std";"";"40 FF 80 00 00 00 08 16"
"00:04:49.202";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:04:49.202";"FB";"Std";"";"00 0E 1D 74 00 00 09 8F"
"00:04:49.203";"F4";"Std";"";"1A 90 00 00 00 00 09 9A"
"00:04:49.203";"1E7CBFF3";"Ext";"";"00 00 93 CC"
"00:04:49.203";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:04:49.203";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:04:49.203";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:04:49.204";"1E7CBFF2";"Ext";"";"FF F7 00 00 00 14 00 00"
"00:04:49.204";"FC";"Std";"";"00 00 00 00 00 00 09 FF"
"00:04:49.206";"FF";"Std";"";"00 1D 73 AE 75 C0 09 C4"
"00:04:49.206";"FA";"Std";"";"40 20 00 00 50 08 00 DE"
"00:04:49.207";"1F4";"Std";"";"40 00 03 C0 00 00 05 A2"
"00:04:49.207";"2EC";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:49.207";"EE";"Std";"";"00 00 00 00 00 00 08 E2"
"00:04:49.207";"F0";"Std";"";"FF C0 00 51 5F F8 0F DE"
"00:04:49.208";"FE";"Std";"";"80 08 09 80 00 32 07 83"
"00:04:49.208";"101";"Std";"";"00 00 00 00 1F C0 07 E4"
"00:04:49.208";"103";"Std";"";"0C 00 03 E8 00 00 07 2B"
"00:04:49.208";"100";"Std";"";"4E B9 D7 3A E0 00 09 ED"
"00:04:49.208";"104";"Std";"";"00 00 00 06 00 00 0F D8"
"00:04:49.209";"116";"Std";"";"00 00 00 00 00 00 07 59"
"00:04:49.209";"1F5";"Std";"";"00 00 00 00 00"
"00:04:49.209";"1F7";"Std";"";"00 00 00 D8 00 00 00 00"
"00:04:49.209";"1FA";"Std";"";"00 00 00 00 00 00 00 00"
"00:04:49.210";"7D0";"Std";"";"00"
"00:04:49.210";"736";"Std";"";"08 32 19 00 00 00 00 00"
"00:04:49.210";"1EF";"Std";"";"88 00 00 00 00 00 0B B6"
"00:04:49.210";"2EF";"Std";"";"0F 70 00 00 00 00 00 00"
"00:04:49.211";"DE";"Std";"";"1B 38 97 D0 0C 9D"
"00:04:49.211";"2FA";"Std";"";"00 02 84 00"
"00:04:49.212";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:04:49.212";"FB";"Std";"";"00 0E 1D 74 00 00 0A A8"
"00:04:49.213";"F4";"Std";"";"1A 90 00 00 00 00 0A BD"
"00:04:49.213";"1E7CBFF4";"Ext";"";"28 00 00 00"
"00:04:49.213";"1E7CBFF2";"Ext";"";"FF F7 00 00 00 14 00 00"
"00:04:49.213";"1E7CBFED";"Ext";"";"00 00 00 00 00 00"
"00:04:49.214";"1E7CBFF0";"Ext";"";"00 00 00 06 18"
"00:04:49.214";"1E7CBFF3";"Ext";"";"00 00 93 CC"
"00:04:49.214";"FC";"Std";"";"00 00 00 00 00 00 0A D8"
"00:04:49.216";"FA";"Std";"";"40 20 00 00 58 08 00 D2"
"00:04:49.216";"FF";"Std";"";"00 1D 73 AE 75 C0 0A E3"
"00:04:49.217";"EE";"Std";"";"00 00 00 00 00 00 09 FF"
"00:04:49.217";"FE";"Std";"";"80 08 09 80 00 32 08 38"
"00:04:49.217";"F0";"Std";"";"FF C0 00 51 5F F8 00 65"
"00:04:49.218";"101";"Std";"";"00 00 00 00 1F C0 08 5F"
"00:04:49.218";"103";"Std";"";"0C 00 03 E8 00 00 08 90"
"00:04:49.218";"100";"Std";"";"4E B9 D7 3A E0 00 0A CA"
"00:04:49.218";"104";"Std";"";"00 00 00 06 00 00 00 63"
"00:04:49.219";"116";"Std";"";"00 00 00 00 00 00 08 E2"
