ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/08/2017
Start time: 11:48:22
Stop time: 11:48:50
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:29:21.258";"1E7CBFF4";"Ext";"";"2A 00 00 00"
"00:29:21.258";"1E7CBFED";"Ext";"";"00 3F 00 E1 00 27"
"00:29:21.258";"1E7CBFF0";"Ext";"";"00 FB 00 E7 98"
"00:29:21.259";"FB";"Std";"";"00 18 1E D4 00 00 09 D3"
"00:29:21.259";"F4";"Std";"";"1A 90 00 00 00 00 09 9A"
"00:29:21.259";"1F0";"Std";"";"00 1F E0 00 00 00 00 00"
"00:29:21.259";"1E7CBFF3";"Ext";"";"00 00 93 CE"
"00:29:21.260";"FA";"Std";"";"80 20 00 00 20 08 00 E9"
"00:29:21.260";"7D0";"Std";"";"00"
"00:29:21.261";"FC";"Std";"";"0D 50 40 02 00 00 09 E5"
"00:29:21.263";"FF";"Std";"";"00 1E A4 32 7B 80 09 76"
"00:29:21.263";"1F4";"Std";"";"40 00 03 C0 00 00 0E 6D"
"00:29:21.263";"F0";"Std";"";"FF C0 00 83 FF F8 06 78"
"00:29:21.263";"104";"Std";"";"00 00 00 06 00 00 06 2D"
"00:29:21.265";"100";"Std";"";"4E 21 EA 38 80 00 09 A3"
"00:29:21.265";"DE";"Std";"";"1B 14 97 D0 00 99"
"00:29:21.265";"EE";"Std";"";"00 00 00 00 00 00 09 FF"
"00:29:21.265";"FE";"Std";"";"80 08 09 80 00 32 08 38"
"00:29:21.265";"101";"Std";"";"00 00 00 00 1F C0 08 5F"
"00:29:21.266";"103";"Std";"";"0C 00 03 E8 00 00 08 90"
"00:29:21.266";"116";"Std";"";"00 00 01 01 00 00 08 15"
"00:29:21.266";"1F1";"Std";"";"FF 00 00 00 00 00 00 00"
"00:29:21.266";"1F2";"Std";"";"00 40 00 00 00 00 0C C6"
"00:29:21.267";"418";"Std";"";"00 00 02 CB"
"00:29:21.267";"417";"Std";"";"AF 64 0C 40 00 00 00 00"
"00:29:21.267";"1F8";"Std";"";"40 FF 80 00 00 00 02 C4"
"00:29:21.268";"1E7CBFF1";"Ext";"";"03 44 00 02 00 00 00 05"
"00:29:21.268";"1E7CBFF3";"Ext";"";"00 00 93 CE"
"00:29:21.268";"1E7CBFF4";"Ext";"";"2A 00 00 00"
"00:29:21.268";"1E7CBFED";"Ext";"";"00 3F 00 E1 00 27"
"00:29:21.268";"1E7CBFF0";"Ext";"";"00 FB 00 E7 98"
"00:29:21.269";"F4";"Std";"";"1A 90 00 00 00 00 0A BD"
"00:29:21.269";"FB";"Std";"";"00 18 1E D4 00 00 0A F4"
"00:29:21.269";"1E7CBFF2";"Ext";"";"00 00 00 00 00 0D 00 00"
"00:29:21.270";"FA";"Std";"";"80 20 00 00 28 08 00 E5"
"00:29:21.270";"2EC";"Std";"";"00 00 00 00 00 00 00 00"
"00:29:21.271";"FC";"Std";"";"0D 50 40 02 00 00 0A C2"
"00:29:21.272";"1EF";"Std";"";"88 00 00 00 00 00 08 91"
"00:29:21.273";"FF";"Std";"";"00 1E A4 32 7B 80 0A 51"
