ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:48:47
Stop time: 10:49:07
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:25:54.790";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:25:54.791";"3E5";"Std";"";"3A 10 00 00 00 00 00 00"
"00:25:54.792";"FD";"Std";"";"19 DD 1F 80 00 00 00 00"
"00:25:54.792";"1B00000C";"Ext";"";"0C 00 04 01 01 00 00 00"
"00:25:54.793";"6B4";"Std";"";"01 4C 56 36 41 55 33 48"
"00:25:54.794";"116";"Std";"";"68 0D 00 00 00 00 00 FF"
"00:25:54.798";"17332810";"Ext";"";"3A 02 03 00 28 00 04 03"
"00:25:54.798";"64E";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:54.798";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:25:54.799";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:25:54.799";"40";"Std";"";"CD 09 00 00 C0 00 00 00"
"00:25:54.799";"17331110";"Ext";"";"44 51 17 35 0D"
"00:25:54.799";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:54.800";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:25:54.800";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:25:54.801";"101";"Std";"";"82 0E 7F FB 81 26 00 00"
"00:25:54.802";"17F0000C";"Ext";"";"20 0C 00 00 00 00 00 00"
"00:25:54.804";"1B000032";"Ext";"";"32 00 04 01 01 00 00 00"
"00:25:54.808";"30B";"Std";"";"50 25 81 00 08 00 00 10"
"00:25:54.808";"65E";"Std";"";"00 00 04 02 00 00 00 00"
"00:25:54.808";"17F00014";"Ext";"";"20 14 00 00 00 00 00 00"
"00:25:54.810";"31E";"Std";"";"07 E1 3F 00 00 00 00 00"
"00:25:54.811";"FD";"Std";"";"E6 DE 1F 80 00 00 00 00"
"00:25:54.819";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:54.820";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:25:54.821";"101";"Std";"";"E6 0F 7F FB 81 26 00 00"
"00:25:54.824";"3DC";"Std";"";"E0 00 00 00 00 05 00 00"
"00:25:54.830";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:25:54.832";"FD";"Std";"";"71 DF 1F 80 00 00 00 00"
"00:25:54.832";"31B";"Std";"";"74 0F 00 00 00 00 00 00"
"00:25:54.834";"663";"Std";"";"60 28 01 0E 00 92 00 00"
"00:25:54.835";"17F00031";"Ext";"";"20 00 00 00 00 00 00 00"
"00:25:54.835";"32A";"Std";"";"E5 01 00 00 48 02 00 00"
"00:25:54.839";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:25:54.840";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:25:54.841";"101";"Std";"";"A4 00 7F FB 81 26 00 00"
"00:25:54.842";"3D4";"Std";"";"27 0A A0 06 00 04 00 00"
"00:25:54.844";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:25:54.848";"17331110";"Ext";"";"C0 00 00 00"
"00:25:54.849";"40";"Std";"";"61 0A 00 00 C0 00 00 00"
"00:25:54.850";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:25:54.850";"640";"Std";"";"02 95 8D BF 75 20 08 00"
"00:25:54.851";"3C7";"Std";"";"FD 00 00 00 00 40 A3 00"
"00:25:54.851";"FD";"Std";"";"0B D0 1F 80 00 00 00 00"
"00:25:54.852";"641";"Std";"";"E6 16 0A 50 14 0E 6E 14"
"00:25:54.853";"391";"Std";"";"00 88 2A 00 00 27 00 00"
