ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:33:47
Stop time: 10:36:11
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:12:49.282";"31E";"Std";"";"07 E1 3F 00 00 00 00 00"
"00:12:49.282";"17330E10";"Ext";"";"33 8D 10"
"00:12:49.282";"FD";"Std";"";"09 DB 1F 80 00 00 00 00"
"00:12:49.284";"1B00004A";"Ext";"";"4A 00 08 01 11 00 00 01"
"00:12:49.285";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:12:49.286";"1B000014";"Ext";"";"14 00 08 01 01 00 00 00"
"00:12:49.287";"486";"Std";"";"B3 45 68 B1 61 44 96 01"
"00:12:49.287";"484";"Std";"";"E8 A3 8F 3E FA E8 03 40"
"00:12:49.288";"485";"Std";"";"00 06 40 28 2A D5 74 58"
"00:12:49.291";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:12:49.292";"101";"Std";"";"9E 0C 80 FB 81 29 00 00"
"00:12:49.292";"17330C10";"Ext";"";"33 0D 00"
"00:12:49.293";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:12:49.295";"3DC";"Std";"";"E0 00 00 00 00 05 00 00"
"00:12:49.302";"17330D10";"Ext";"";"33 4D 10"
"00:12:49.302";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:12:49.302";"FD";"Std";"";"90 DC 1F 80 00 00 00 00"
"00:12:49.303";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:12:49.303";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:12:49.305";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:12:49.306";"30B";"Std";"";"50 28 81 00 08 00 00 10"
"00:12:49.306";"5F2";"Std";"";"00 00"
"00:12:49.307";"40";"Std";"";"9D 02 00 00 C1 00 00 00"
"00:12:49.308";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:12:49.311";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:12:49.312";"17330910";"Ext";"";"32 42 03 00 09 00 05 02"
"00:12:49.312";"101";"Std";"";"DE 0D 7F FB 81 25 00 00"
"00:12:49.313";"31B";"Std";"";"B0 0E 00 00 00 00 00 00"
"00:12:49.313";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:12:49.314";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:12:49.315";"3E5";"Std";"";"B7 19 00 00 00 00 00 00"
"00:12:49.318";"32A";"Std";"";"E5 01 00 00 48 02 00 00"
