ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:43:52
Stop time: 10:44:51
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:21:42.592";"FD";"Std";"";"E6 DE 1F 80 00 00 00 00"
"00:21:42.593";"31B";"Std";"";"51 05 00 00 00 00 00 00"
"00:21:42.593";"3DA";"Std";"";"22 08 00 00 00 88 03 00"
"00:21:42.593";"569";"Std";"";"00 00 00 3E F8 10 00 00"
"00:21:42.597";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:21:42.598";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:21:42.599";"32A";"Std";"";"92 07 00 00 48 02 00 00"
"00:21:42.600";"592";"Std";"";"00 20 00 00 00 00 00 00"
"00:21:42.602";"17F00031";"Ext";"";"20 00 00 00 00 00 00 00"
"00:21:42.602";"101";"Std";"";"F3 0F 7F FA 81 29 00 00"
"00:21:42.603";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:21:42.603";"1B00004A";"Ext";"";"4A 00 04 01 11 00 00 01"
"00:21:42.603";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:21:42.604";"1B000014";"Ext";"";"14 00 04 01 01 00 00 00"
"00:21:42.607";"486";"Std";"";"B3 45 68 B1 61 44 96 01"
"00:21:42.607";"484";"Std";"";"E8 A3 8F 3E FA E8 03 40"
"00:21:42.607";"485";"Std";"";"00 06 40 28 40 D7 74 58"
"00:21:42.608";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:21:42.610";"1B000010";"Ext";"";"10 00 44 01 19 10 00 00"
"00:21:42.612";"FD";"Std";"";"71 DF 1F 80 00 00 00 00"
"00:21:42.613";"3DC";"Std";"";"E0 00 00 00 00 05 00 00"
"00:21:42.613";"30B";"Std";"";"50 2C 81 00 08 00 00 10"
"00:21:42.613";"5F2";"Std";"";"00 00"
"00:21:42.617";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:21:42.618";"40";"Std";"";"17 0F 00 00 C1 00 00 00"
"00:21:42.618";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:21:42.622";"101";"Std";"";"00 00 7F FA 81 25 00 00"
"00:21:42.623";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:21:42.623";"3C0";"Std";"";"0E 07 03 00"
"00:21:42.623";"3D5";"Std";"";"41 0D 00 04 00 00 00 00"
"00:21:42.624";"3D6";"Std";"";"0D 00 00 00 00 00 00 00"
"00:21:42.627";"3BE";"Std";"";"00 20 E7 01 42 A0 0C 80"
"00:21:42.628";"640";"Std";"";"02 93 8F C1 75 20 08 00"
"00:21:42.628";"391";"Std";"";"00 8A 2A 00 00 27 00 00"
"00:21:42.629";"3C7";"Std";"";"14 00 00 00 00 40 A3 00"
"00:21:42.632";"FD";"Std";"";"0B D0 1F 80 00 00 00 00"
"00:21:42.633";"116";"Std";"";"E2 00 00 00 00 00 00 FF"
"00:21:42.633";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:21:42.637";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:21:42.637";"31E";"Std";"";"E5 E8 3F 00 00 00 00 00"
"00:21:42.638";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:21:42.642";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:21:42.642";"101";"Std";"";"44 01 80 FA 81 24 00 00"
"00:21:42.643";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:21:42.643";"31B";"Std";"";"31 06 00 00 00 00 00 00"
"00:21:42.646";"1B00000C";"Ext";"";"0C 00 04 01 01 00 00 00"
"00:21:42.648";"6B4";"Std";"";"02 4D 35 31 31 39 38 35"
"00:21:42.649";"32A";"Std";"";"D0 08 00 00 48 02 00 00"
"00:21:42.652";"FD";"Std";"";"01 D1 1F 80 00 00 00 00"
"00:21:42.657";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:21:42.658";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:21:42.658";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:21:42.660";"394";"Std";"";"8B 12 00 10 00 00 00 00"
"00:21:42.662";"101";"Std";"";"62 02 80 FA 81 20 00 00"
"00:21:42.663";"3DC";"Std";"";"E0 00 00 00 00 05 00 00"
"00:21:42.663";"30B";"Std";"";"50 2D 81 00 08 00 00 10"
