ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:30:28
Stop time: 10:31:09
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:07:38.087";"FD";"Std";"";"01 D1 1F 80 00 00 00 00"
"00:07:38.089";"32A";"Std";"";"B4 09 00 00 48 02 00 00"
"00:07:38.089";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:07:38.093";"40";"Std";"";"60 09 00 00 C1 00 00 00"
"00:07:38.094";"663";"Std";"";"60 28 01 0E 00 95 00 00"
"00:07:38.097";"101";"Std";"";"4C 02 80 FB 81 27 00 00"
"00:07:38.098";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:07:38.099";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:07:38.100";"6B4";"Std";"";"00 46 90 93 FC 33 56 57"
"00:07:38.104";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:07:38.104";"64E";"Std";"";"00 00 00 00 00 00 00 00"
"00:07:38.107";"FD";"Std";"";"CE D2 1F 80 00 00 00 00"
"00:07:38.109";"3C0";"Std";"";"FA 09 03 00"
"00:07:38.109";"3D5";"Std";"";"C8 00 00 04 00 00 00 00"
"00:07:38.109";"3D6";"Std";"";"00 00 00 00 00 00 00 00"
"00:07:38.109";"391";"Std";"";"00 8A 2A 00 00 27 00 00"
"00:07:38.110";"3C7";"Std";"";"FD 00 00 00 00 40 A3 00"
"00:07:38.114";"3DA";"Std";"";"22 08 00 00 00 A8 02 00"
"00:07:38.114";"569";"Std";"";"00 00 00 3E F8 10 00 00"
"00:07:38.114";"30B";"Std";"";"50 21 81 00 08 00 00 10"
"00:07:38.117";"31E";"Std";"";"EE EA 3F 00 00 00 00 00"
"00:07:38.118";"101";"Std";"";"A2 03 80 FB 81 23 00 00"
"00:07:38.118";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:07:38.119";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:07:38.124";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:07:38.124";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:07:38.127";"FD";"Std";"";"BB D3 1F 80 00 00 00 00"
"00:07:38.128";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:07:38.129";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:07:38.129";"31B";"Std";"";"D1 07 00 00 00 00 00 00"
"00:07:38.134";"3DC";"Std";"";"E0 00 00 00 00 05 00 00"
"00:07:38.137";"101";"Std";"";"CB 04 80 FB 81 24 00 00"
"00:07:38.139";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:07:38.139";"32A";"Std";"";"18 0A 00 00 48 02 00 00"
"00:07:38.140";"107";"Std";"";"00 00 FE 00 00 00 00 00"
"00:07:38.140";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:07:38.142";"1B000031";"Ext";"";"31 00 08 03 01 00 00 00"
