ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:25:23
Stop time: 10:25:45
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:02:37.378";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:02:37.379";"101";"Std";"";"75 01 7F FB 81 27 00 00"
"00:02:37.379";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:02:37.379";"663";"Std";"";"60 28 20 0E 15 B4 24 00"
"00:02:37.379";"31B";"Std";"";"31 06 00 00 00 00 00 00"
"00:02:37.382";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:37.382";"3BE";"Std";"";"00 10 E7 01 C8 80 0C 80"
"00:02:37.383";"394";"Std";"";"06 18 00 10 00 00 00 00"
"00:02:37.384";"107";"Std";"";"00 00 FE E9 80 13 95 F4"
"00:02:37.384";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:02:37.385";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:02:37.388";"FD";"Std";"";"01 D1 1F 80 00 00 00 00"
"00:02:37.389";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:02:37.392";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:02:37.398";"101";"Std";"";"DD 02 7F FB 81 2A 00 00"
"00:02:37.399";"3DA";"Std";"";"22 08 00 00 00 30 04 00"
"00:02:37.399";"569";"Std";"";"00 00 00 3E F8 10 00 00"
"00:02:37.402";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:02:37.402";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:02:37.403";"3C0";"Std";"";"4B 05 03 00"
"00:02:37.403";"3D5";"Std";"";"7F 0E 00 04 00 00 00 00"
"00:02:37.403";"3D6";"Std";"";"0E 00 00 00 00 00 00 00"
"00:02:37.404";"107";"Std";"";"00 00 FE E9 80 13 98 F4"
"00:02:37.404";"6B4";"Std";"";"02 4D 35 31 31 39 38 35"
"00:02:37.405";"1B00000C";"Ext";"";"0C 00 04 01 01 00 00 00"
