ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 11:16:55
Stop time: 11:17:56
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:06:21.477";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:06:21.477";"3DC";"Std";"";"E0 00 4E 0B 00 05 00 00"
"00:06:21.480";"40";"Std";"";"F9 03 00 00 C1 00 00 00"
"00:06:21.481";"3C0";"Std";"";"BF 0B 03 00"
"00:06:21.481";"3D5";"Std";"";"9F 01 00 04 00 00 00 00"
"00:06:21.481";"3D6";"Std";"";"01 00 00 00 00 00 00 00"
"00:06:21.481";"481";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:21.482";"1A5554A8";"Ext";"";"94 31 42 68 29 94 88 2C"
"00:06:21.485";"FD";"Std";"";"6A D9 1F 80 00 00 00 00"
"00:06:21.487";"663";"Std";"";"60 28 20 0E 12 B2 23 00"
"00:06:21.488";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:21.490";"107";"Std";"";"00 00 FE F3 80 11 CB CE"
"00:06:21.495";"101";"Std";"";"A6 0A 7F FA 81 20 00 00"
"00:06:21.496";"31B";"Std";"";"A6 00 00 00 00 26 12 00"
"00:06:21.497";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:06:21.499";"31E";"Std";"";"2D E5 3F 00 00 00 00 00"
"00:06:21.502";"30B";"Std";"";"10 26 81 00 08 00 00 10"
"00:06:21.505";"FD";"Std";"";"26 DA 1F 80 00 00 00 00"
"00:06:21.507";"3DA";"Std";"";"22 08 00 00 00 70 01 00"
"00:06:21.508";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:21.510";"107";"Std";"";"00 00 FE F3 80 11 CF CE"
"00:06:21.510";"670";"Std";"";"14 10 00 00 FE 00 00 80"
"00:06:21.513";"1B000032";"Ext";"";"32 00 04 01 01 00 00 00"
"00:06:21.515";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:06:21.515";"101";"Std";"";"87 0B 7F FA 81 22 00 00"
"00:06:21.515";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:06:21.517";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:06:21.519";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:06:21.523";"32A";"Std";"";"2D 03 00 00 48 02 00 00"
"00:06:21.525";"FD";"Std";"";"09 DB 1F 80 00 00 00 00"
"00:06:21.527";"3DC";"Std";"";"E0 00 5C 0B 00 05 00 00"
"00:06:21.528";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:21.530";"107";"Std";"";"00 00 FE F3 80 11 D3 CE"
"00:06:21.530";"40";"Std";"";"EA 04 00 00 C1 00 00 00"
"00:06:21.531";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:06:21.532";"520";"Std";"";"20 05 00 08 00 0A 00 00"
"00:06:21.532";"17331210";"Ext";"";"34 8F 00"
"00:06:21.535";"101";"Std";"";"D1 0C 7F FA 81 20 00 00"
"00:06:21.537";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:06:21.540";"640";"Std";"";"00 90 96 BF 75 20 08 08"
"00:06:21.541";"3C7";"Std";"";"FD 00 00 00 05 40 A0 00"
"00:06:21.541";"641";"Std";"";"D3 1F 0A 50 14 0E 6E 14"
"00:06:21.541";"391";"Std";"";"30 87 21 39 00 27 00 20"
"00:06:21.543";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:06:21.543";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:06:21.544";"1B000010";"Ext";"";"10 00 04 01 19 00 00 00"
"00:06:21.545";"1B00004B";"Ext";"";"4B 00 04 01 11 00 00 01"
"00:06:21.545";"FD";"Std";"";"90 DC 1F 80 00 00 00 00"
"00:06:21.545";"31B";"Std";"";"70 01 00 00 00 26 12 00"
"00:06:21.547";"116";"Std";"";"D8 0C EB 26 5E E3 B6 FF"
"00:06:21.548";"31E";"Std";"";"AA E6 3F 00 00 00 00 00"
"00:06:21.549";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:06:21.550";"107";"Std";"";"00 00 FE F3 80 11 D7 CE"
"00:06:21.552";"30B";"Std";"";"10 27 81 00 08 00 00 10"
"00:06:21.555";"101";"Std";"";"C1 0D 80 FB 81 21 00 00"
"00:06:21.561";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:06:21.562";"17331110";"Ext";"";"34 44 0A"
