ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:22:17
Stop time: 10:23:50
Overruns: 0  Errorframes: 0                                          
Baudrate: -"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:00:22.705";"30B";"Std";"";"10 24 81 00 08 00 00 10"
"00:00:22.705";"5F2";"Std";"";"00 00"
"00:00:22.706";"663";"Std";"";"60 28 20 0E 15 A4 1D 00"
"00:00:22.708";"FD";"Std";"";"90 DC 1F 80 00 00 00 00"
"00:00:22.710";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.711";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:00:22.712";"107";"Std";"";"00 00 FE F3 00 12 DE 40"
"00:00:22.715";"32A";"Std";"";"81 00 00 00 48 02 00 00"
"00:00:22.716";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:00:22.718";"101";"Std";"";"C1 0D 80 FB 81 21 00 00"
"00:00:22.718";"462";"Std";"";"00 00 38 00 00 01 00 00"
"00:00:22.719";"31B";"Std";"";"B0 0E 00 00 00 00 00 00"
"00:00:22.720";"31E";"Std";"";"07 E1 3F 00 00 00 00 00"
"00:00:22.724";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:00:22.724";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:00:22.726";"3DA";"Std";"";"22 08 00 00 00 C8 01 00"
"00:00:22.728";"FD";"Std";"";"19 DD 1F 80 00 00 00 00"
"00:00:22.730";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:00:22.730";"3BE";"Std";"";"00 10 E7 01 C8 80 0C 80"
"00:00:22.732";"107";"Std";"";"00 00 FE F3 00 12 E2 40"
"00:00:22.732";"670";"Std";"";"14 10 00 00 FE 00 00 80"
"00:00:22.734";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:00:22.734";"3C0";"Std";"";"C1 01 03 00"
"00:00:22.734";"3D5";"Std";"";"F5 0A 00 04 00 00 00 00"
"00:00:22.735";"3D6";"Std";"";"0A 00 00 00 00 00 00 00"
"00:00:22.736";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
