ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 15:00:35
Stop time: 15:01:03
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:03:42.997";"486";"Std";"";"B3 45 68 B1 61 44 96 01"
"00:03:42.997";"484";"Std";"";"E8 A3 8F 3E FA E8 03 40"
"00:03:42.997";"485";"Std";"";"00 0B 40 28 36 13 75 58"
"00:03:43.000";"663";"Std";"";"60 28 20 0E 12 AD 20 00"
"00:03:43.000";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:43.002";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:03:43.002";"107";"Std";"";"00 00 FE FD 80 10 D2 EA"
"00:03:43.003";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:03:43.003";"101";"Std";"";"DE 05 7F FB 81 1E 00 00"
"00:03:43.003";"530";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:43.003";"40";"Std";"";"22 06 00 00 C1 00 00 00"
"00:03:43.004";"5E9";"Std";"";"00 71 03 00 00 00 00 00"
"00:03:43.004";"31B";"Std";"";"05 0E 00 00 00 01 00 00"
"00:03:43.004";"668";"Std";"";"02 00 00 00 00 00 00 00"
"00:03:43.004";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:03:43.006";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:03:43.006";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:03:43.006";"17F0004B";"Ext";"";"20 4B 00 00 00 00 00 00"
"00:03:43.010";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:03:43.010";"1B000032";"Ext";"";"32 00 08 01 01 00 00 00"
"00:03:43.010";"592";"Std";"";"00 20 00 00 00 00 00 00"
"00:03:43.011";"3BE";"Std";"";"00 10 E7 01 C8 80 0C 80"
"00:03:43.012";"391";"Std";"";"2C 89 21 34 00 27 00 20"
"00:03:43.012";"3C7";"Std";"";"2A 00 00 00 00 40 A0 00"
"00:03:43.013";"FD";"Std";"";"B7 D5 1F 80 00 00 00 00"
"00:03:43.018";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:03:43.018";"3E5";"Std";"";"EB 16 00 00 00 00 00 00"
"00:03:43.019";"31E";"Std";"";"6B EC 3F 00 00 00 00 00"
"00:03:43.020";"3DA";"Std";"";"22 08 00 00 00 30 00 00"
"00:03:43.020";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:43.021";"32A";"Std";"";"81 00 00 00 48 02 00 00"
"00:03:43.022";"107";"Std";"";"00 00 FE FD 80 10 D6 EA"
"00:03:43.022";"101";"Std";"";"F8 06 7F FB 81 1A 00 00"
"00:03:43.028";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:03:43.029";"17333110";"Ext";"";"3C 54 00 00"
"00:03:43.030";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:03:43.032";"FD";"Std";"";"A5 D6 1F 80 00 00 00 00"
"00:03:43.033";"462";"Std";"";"00 00 38 00 00 01 00 00"
"00:03:43.036";"3C0";"Std";"";"84 03 03 00"
"00:03:43.036";"3D5";"Std";"";"F5 C9 40 00 00 00 00 00"
"00:03:43.037";"3D6";"Std";"";"09 00 00 00 00 00 00 00"
"00:03:43.037";"588";"Std";"";"00 00 00 1E 00 00 00 00"
"00:03:43.037";"5BB";"Std";"";"FE FE 00 00 00 00 00 00"
"00:03:43.037";"5F4";"Std";"";"30 30 64 00 80 00 40 00"
"00:03:43.038";"17F0000E";"Ext";"";"20 0E 00 00 00 00 00 80"
"00:03:43.038";"17330E10";"Ext";"";"33 8D 10"
"00:03:43.038";"6B0";"Std";"";"57 02 D4 02 92 61"
"00:03:43.040";"3DC";"Std";"";"E0 00 EE 0B 00 05 00 00"
"00:03:43.040";"30B";"Std";"";"10 21 81 00 08 00 00 10"
"00:03:43.040";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:43.041";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:03:43.042";"394";"Std";"";"45 1A 00 10 00 00 00 00"
"00:03:43.042";"107";"Std";"";"00 00 FE FD 80 10 D9 EA"
"00:03:43.042";"101";"Std";"";"A3 07 7F FB 81 1F 00 00"
"00:03:43.047";"17330D10";"Ext";"";"80 08 33 43 38 07 C1 00"
"00:03:43.050";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:03:43.052";"FD";"Std";"";"9F D7 1F 80 00 00 00 00"
"00:03:43.053";"40";"Std";"";"46 07 00 00 C1 00 00 00"
"00:03:43.053";"31B";"Std";"";"C1 0F 00 00 00 01 00 00"
"00:03:43.055";"6B4";"Std";"";"00 46 90 93 FC 33 56 57"
"00:03:43.056";"1B00004B";"Ext";"";"4B 00 08 01 11 00 00 01"
"00:03:43.057";"17330910";"Ext";"";"32 5D 01 01"
"00:03:43.060";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:43.062";"107";"Std";"";"00 00 FE FD 80 10 DD EA"
"00:03:43.062";"101";"Std";"";"3A 08 7F FB 81 20 00 00"
"00:03:43.067";"1B000010";"Ext";"";"10 00 08 01 19 00 00 00"
"00:03:43.067";"17330C10";"Ext";"";"33 0D 00"
"00:03:43.070";"5F5";"Std";"";"FE 07 F8 1F 00 FF DF FF"
"00:03:43.070";"31E";"Std";"";"C2 ED 3F 00 00 00 00 00"
"00:03:43.071";"32A";"Std";"";"E5 01 00 00 48 02 00 00"
"00:03:43.072";"FD";"Std";"";"58 D8 1F 80 00 00 00 00"
"00:03:43.080";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:03:43.080";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:43.082";"107";"Std";"";"00 00 FE FD 80 10 E0 EA"
"00:03:43.082";"101";"Std";"";"EB 09 7F FB 81 21 00 00"
"00:03:43.090";"3DC";"Std";"";"E0 00 E0 0B 00 05 00 00"
"00:03:43.090";"30B";"Std";"";"10 22 81 00 08 00 00 10"
"00:03:43.091";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:03:43.091";"17332810";"Ext";"";"3A 15 00"
"00:03:43.092";"FD";"Std";"";"6A D9 1F 80 00 00 00 00"
"00:03:43.097";"17330D10";"Ext";"";"C0 00 00 00 00"
"00:03:43.098";"1B00000C";"Ext";"";"0C 00 08 01 01 00 04 00"
"00:03:43.099";"17333111";"Ext";"";"A0 1F 4C 55 09 31 30 36"
"00:03:43.100";"663";"Std";"";"60 28 20 0E 12 AD 20 00"
"00:03:43.100";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:43.102";"107";"Std";"";"00 00 FE FD 80 10 E4 EA"
"00:03:43.102";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:03:43.102";"101";"Std";"";"47 0A 7F FB 81 21 00 00"
"00:03:43.103";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:03:43.103";"40";"Std";"";"04 08 00 00 C1 00 00 00"
"00:03:43.103";"31B";"Std";"";"CC 00 00 00 00 01 00 00"
"00:03:43.104";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:03:43.104";"520";"Std";"";"15 0C 00 08 00 0A 00 00"
"00:03:43.105";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:03:43.106";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:03:43.109";"17333111";"Ext";"";"E0 2E 33 20 EF A1 8A 00"
"00:03:43.110";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:03:43.110";"3BE";"Std";"";"00 10 E7 01 C8 80 0C 80"
"00:03:43.112";"391";"Std";"";"2C 89 21 34 00 27 00 20"
"00:03:43.112";"3C7";"Std";"";"FD 00 00 00 00 40 A0 00"
"00:03:43.113";"FD";"Std";"";"26 DA 1F 80 00 00 00 00"
"00:03:43.113";"17330710";"Ext";"";"31 CE 00 01"
"00:03:43.118";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:03:43.118";"3E5";"Std";"";"F7 17 00 00 00 00 00 00"
"00:03:43.119";"17333111";"Ext";"";"E1 00 00 08 4D 45 4C 48"
"00:03:43.120";"3DA";"Std";"";"22 08 00 00 00 28 00 00"
"00:03:43.120";"31E";"Std";"";"B7 EE 3F 00 00 00 00 00"
"00:03:43.120";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:03:43.121";"32A";"Std";"";"49 02 00 00 48 02 00 00"
"00:03:43.122";"107";"Std";"";"00 00 FE FD 80 10 E8 EA"
"00:03:43.122";"1B000031";"Ext";"";"31 00 08 03 01 00 00 00"
"00:03:43.123";"101";"Std";"";"D3 0B 7F FB 81 22 00 00"
"00:03:43.128";"1B00004A";"Ext";"";"4A 00 08 01 11 00 00 01"
"00:03:43.128";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:03:43.129";"17333111";"Ext";"";"E2 4F 52 20 4D 00 00 00"
"00:03:43.130";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:03:43.130";"1B000014";"Ext";"";"14 00 08 01 01 00 00 00"
"00:03:43.132";"FD";"Std";"";"09 DB 1F 80 00 00 00 00"
"00:03:43.136";"3C0";"Std";"";"FE 04 03 00"
"00:03:43.136";"3D5";"Std";"";"C6 CA 40 00 00 00 00 00"
"00:03:43.137";"3D6";"Std";"";"0A 00 00 00 00 00 00 00"
"00:03:43.137";"583";"Std";"";"00 10 80 00 00 48 40 00"
"00:03:43.137";"584";"Std";"";"E9 06 00 00 00 00"
"00:03:43.137";"5A0";"Std";"";"00 05 80 20 78"
"00:03:43.137";"5E1";"Std";"";"AC 2A 00 60 FE 00 00 00"
