ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 11:03:04
Stop time: 11:03:55
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:40:29.919";"17F0000C";"Ext";"";"20 0C 00 00 00 00 00 00"
"00:40:29.919";"101";"Std";"";"B7 07 7D 00 82 26 00 00"
"00:40:29.921";"3C0";"Std";"";"BF 0B 03 00"
"00:40:29.922";"3D5";"Std";"";"9F 01 00 04 00 00 00 00"
"00:40:29.922";"3D6";"Std";"";"01 08 00 00 00 00 00 00"
"00:40:29.922";"30B";"Std";"";"10 25 01 00 08 00 00 10"
"00:40:29.922";"65E";"Std";"";"00 00 04 02 00 00 00 00"
"00:40:29.923";"17F00014";"Ext";"";"20 14 00 00 00 00 00 00"
"00:40:29.924";"17332810";"Ext";"";"C0 FF FF FF FF FF FF FF"
"00:40:29.924";"3DA";"Std";"";"22 08 00 00 00 8C 04 03"
"00:40:29.929";"FD";"Std";"";"9F D7 1F 80 00 00 00 00"
"00:40:29.930";"31B";"Std";"";"73 0F 00 00 00 D1 13 00"
"00:40:29.932";"40";"Std";"";"DE 0E 00 00 C0 00 00 00"
"00:40:29.934";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:40:29.934";"3EB";"Std";"";"E0 00 00 FE 00 00 00 00"
"00:40:29.935";"3D8";"Std";"";"00 00 08 00 00 00 00 00"
"00:40:29.936";"107";"Std";"";"00 00 FE E9 00 15 D4 FA"
"00:40:29.939";"101";"Std";"";"F5 08 7D 00 82 26 00 00"
"00:40:29.944";"31E";"Std";"";"FF E3 3F 00 00 00 00 00"
"00:40:29.944";"3DC";"Std";"";"E0 00 CA 0A 00 08 00 00"
"00:40:29.945";"1B000032";"Ext";"";"32 00 04 01 01 00 00 00"
"00:40:29.945";"3BE";"Std";"";"00 20 E7 51 88 80 0C 80"
"00:40:29.949";"FD";"Std";"";"58 D8 1F 80 00 00 00 00"
"00:40:29.951";"1B000046";"Ext";"";"46 00 04 01 01 00 00 00"
"00:40:29.954";"17332810";"Ext";"";"C1 FF FF FF"
"00:40:29.954";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:40:29.954";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:40:29.955";"5AC";"Std";"";"00 00 FF FE FE F7 07 00"
"00:40:29.955";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:40:29.955";"17330A10";"Ext";"";"42 9F 00 10 86 41 3C 42"
"00:40:29.955";"530";"Std";"";"00 00 00 00 00 00 00 00"
"00:40:29.956";"107";"Std";"";"00 00 FE E9 00 15 D8 FA"
"00:40:29.956";"5E9";"Std";"";"00 3B 02 00 00 00 00 00"
"00:40:29.956";"668";"Std";"";"02 00 00 00 00 00 00 00"
"00:40:29.957";"394";"Std";"";"9F 4D 00 01 00 00 00 00"
"00:40:29.958";"3D4";"Std";"";"D7 0B A0 06 00 0A 00 00"
"00:40:29.959";"101";"Std";"";"A2 09 7E 00 82 26 00 00"
"00:40:29.964";"116";"Std";"";"73 08 7A 1C 23 01 18 FF"
"00:40:29.965";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:40:29.967";"32A";"Std";"";"49 02 00 00 48 02 00 00"
"00:40:29.968";"1B000031";"Ext";"";"31 00 04 03 01 00 00 00"
"00:40:29.969";"FD";"Std";"";"6A D9 1F 80 00 00 00 00"
"00:40:29.972";"30B";"Std";"";"10 26 01 00 08 00 00 10"
"00:40:29.972";"52A";"Std";"";"00 00 00 00 00 00 00 00"
"00:40:29.972";"6B6";"Std";"";"40 0B 01 00 07 31"
"00:40:29.973";"6B7";"Std";"";"20 00 50 32 00 02 40 98"
"00:40:29.973";"6B8";"Std";"";"A6 07 14 38 04 5F 00 00"
"00:40:29.974";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:40:29.975";"107";"Std";"";"00 00 FE E9 00 15 DD FA"
"00:40:29.979";"101";"Std";"";"4B 0A 7E 00 82 24 00 00"
"00:40:29.979";"31B";"Std";"";"7E 00 00 00 00 D1 13 00"
"00:40:29.982";"40";"Std";"";"BA 0F 00 00 C0 00 00 00"
"00:40:29.985";"3C7";"Std";"";"26 00 00 00 05 40 A0 00"
"00:40:29.986";"3CF";"Std";"";"00 00 00 00 84 00 00 01"
"00:40:29.986";"647";"Std";"";"B8 F2 FF 7F 00 00 00 0B"
"00:40:29.986";"3D1";"Std";"";"00 00 00 C1 80 00 00 00"
"00:40:29.986";"391";"Std";"";"3C 88 23 47 00 27 00 20"
"00:40:29.989";"FD";"Std";"";"26 DA 1F 80 00 00 00 00"
"00:40:29.994";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:40:29.994";"3DC";"Std";"";"E0 00 C6 0A 00 08 00 00"
"00:40:29.995";"31E";"Std";"";"52 E4 3F 00 00 00 00 00"
"00:40:29.995";"107";"Std";"";"00 00 FE E9 00 15 E1 FA"
"00:40:29.996";"3D0";"Std";"";"00 00 00 C1 80 00 00 00"
"00:40:29.996";"3E5";"Std";"";"F2 13 00 00 00 00 00 00"
"00:40:29.999";"101";"Std";"";"7E 0B 7E 00 82 1F 00 00"
"00:40:30.004";"663";"Std";"";"60 28 20 0E 16 B2 23 00"
"00:40:30.006";"3CE";"Std";"";"00 00 00 00 84 00 00 00"
"00:40:30.009";"FD";"Std";"";"09 DB 1F 80 00 00 00 00"
"00:40:30.014";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:40:30.014";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:40:30.015";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:40:30.016";"107";"Std";"";"00 00 FE E9 00 15 E6 FA"
"00:40:30.017";"32A";"Std";"";"2D 03 00 00 48 02 00 00"
"00:40:30.019";"101";"Std";"";"F3 0C 7E 00 82 22 00 00"
"00:40:30.021";"1B00000E";"Ext";"";"0E 00 04 01 09 08 0E 00"
"00:40:30.022";"3C0";"Std";"";"C5 0C 03 00"
"00:40:30.022";"3D5";"Std";"";"5E 02 00 04 00 00 00 00"
"00:40:30.022";"30B";"Std";"";"10 27 01 00 08 00 00 10"
"00:40:30.022";"3D6";"Std";"";"02 08 00 00 00 00 00 00"
"00:40:30.023";"583";"Std";"";"00 10 00 00 00 48 40 00"
"00:40:30.023";"584";"Std";"";"43 0F 00 00 00 00"
"00:40:30.023";"5A0";"Std";"";"00 0B 80 20 78"
"00:40:30.023";"5E1";"Std";"";"A7 2A 00 60 FE 00 00 00"
"00:40:30.023";"5F0";"Std";"";"64 00 64 00 00 64 00 00"
"00:40:30.024";"3DA";"Std";"";"22 08 00 00 00 64 04 03"
"00:40:30.025";"569";"Std";"";"00 00 00 3E F8 10 00 00"
"00:40:30.026";"1B00004A";"Ext";"";"4A 00 04 01 11 00 00 01"
