ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/01/2017
Start time: 10:58:47
Stop time: 10:59:28
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:35:57.539";"101";"Std";"";"DF 06 7E 00 82 23 00 00"
"00:35:57.543";"3B5";"Std";"";"00 FE 20 02 0C 00 20 00"
"00:35:57.543";"3E9";"Std";"";"FE F8 DF FF 00 00 00 00"
"00:35:57.543";"5EA";"Std";"";"00 00 00 36 F8 FE FB FF"
"00:35:57.543";"5EB";"Std";"";"00 00 FE FE FB 0F 80 FF"
"00:35:57.544";"17F00046";"Ext";"";"20 46 00 00 00 00 00 80"
"00:35:57.544";"1A55552B";"Ext";"";"00 00 00 00 00 00 00 00"
"00:35:57.544";"6B5";"Std";"";"FD 83 FD 03 FD 00 FD 07"
"00:35:57.545";"31E";"Std";"";"2D E5 3F 00 00 00 00 00"
"00:35:57.548";"30B";"Std";"";"10 28 01 00 08 00 00 10"
"00:35:57.548";"551";"Std";"";"F1 22 0C 00 00 00 00 00"
"00:35:57.548";"5F2";"Std";"";"00 00"
"00:35:57.549";"FD";"Std";"";"A5 D6 1F 80 00 00 00 00"
"00:35:57.552";"32A";"Std";"";"3E 04 00 00 48 02 00 00"
"00:35:57.552";"3DC";"Std";"";"E0 00 84 0B 00 08 00 00"
"00:35:57.555";"147";"Std";"";"00 00 00 00 00 00 00 00"
"00:35:57.556";"17332710";"Ext";"";"39 CD 00"
"00:35:57.556";"107";"Std";"";"00 00 FE F3 80 18 26 B4"
"00:35:57.559";"101";"Std";"";"70 07 7E 00 82 28 00 00"
"00:35:57.560";"31B";"Std";"";"3B 02 00 00 00 77 10 00"
"00:35:57.562";"663";"Std";"";"60 28 20 0E 14 B4 24 00"
"00:35:57.564";"592";"Std";"";"00 20 00 00 00 00 00 00"
"00:35:57.565";"32F";"Std";"";"00 7F 00 00 00 00 00 00"
"00:35:57.565";"3BE";"Std";"";"00 30 E7 51 88 80 0C 80"
"00:35:57.570";"FD";"Std";"";"9F D7 1F 80 00 00 00 00"
"00:35:57.572";"48B";"Std";"";"00 00 00 00 00 80 03 00"
"00:35:57.575";"147";"Std";"";"00 00 00 00 00 00 00 00"
