ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 10/08/2017
Start time: 09:31:00
Stop time: 09:31:13
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:20:54.474";"1A4";"Std";"";"00 66 00 00 00 00 00 1C"
"00:20:54.474";"1AC";"Std";"";"7F FF 00 00 00 00 00 3A"
"00:20:54.474";"1B0";"Std";"";"00 0F 00 00 00 01 1B"
"00:20:54.474";"1C2";"Std";"";"08 00 00 30 00 00 00 3B"
"00:20:54.475";"1D0";"Std";"";"00 00 00 00 00 00 00 0A"
"00:20:54.475";"1EA";"Std";"";"00 00 00 00 00 00 00 1E"
"00:20:54.475";"17C";"Std";"";"00 00 00 00 10 00 00 30"
"00:20:54.475";"31B";"Std";"";"00 00 00 00 00 00 00 18"
"00:20:54.476";"130";"Std";"";"FE 40 FE 40 00 00 00 3F"
"00:20:54.479";"14A";"Std";"";"00 25 00 00 07 00 25 04"
"00:20:54.479";"158";"Std";"";"00 00 00 00 00 00 00 37"
"00:20:54.480";"191";"Std";"";"01 00 00 A1 A1 21 01 3F"
"00:20:54.480";"94";"Std";"";"80 1F C8 0E 00 00 0C 7E"
"00:20:54.480";"1AB";"Std";"";"80 00 64"
"00:20:54.485";"17C";"Std";"";"00 00 00 00 10 00 00 03"
"00:20:54.485";"130";"Std";"";"FE 40 FE 40 00 00 00 02"
"00:20:54.486";"1DC";"Std";"";"00 00 00 00 00 00 2C"
"00:20:54.488";"221";"Std";"";"36 00 80 00 30 3C"
"00:20:54.488";"296";"Std";"";"00 00 00 34"
"00:20:54.489";"14A";"Std";"";"00 25 00 00 07 00 25 13"
"00:20:54.489";"158";"Std";"";"00 00 00 00 00 00 00 0A"
"00:20:54.490";"191";"Std";"";"01 00 00 A1 A1 21 01 02"
"00:20:54.490";"1A7";"Std";"";"00 06"
"00:20:54.490";"94";"Std";"";"80 1F C8 0E 00 00 0C 41"
"00:20:54.491";"39";"Std";"";"00 00 0C"
"00:20:54.494";"1A4";"Std";"";"00 66 00 00 00 00 00 2B"
"00:20:54.494";"1AC";"Std";"";"7F FF 00 00 00 00 00 0D"
"00:20:54.494";"1B0";"Std";"";"00 0F 00 00 00 01 2A"
"00:20:54.494";"1C2";"Std";"";"08 00 00 30 00 00 00 0E"
"00:20:54.495";"1D0";"Std";"";"00 00 00 00 00 00 00 0A"
"00:20:54.495";"1EA";"Std";"";"00 00 00 00 00 00 00 2D"
"00:20:54.495";"17C";"Std";"";"00 00 00 00 10 00 00 12"
"00:20:54.495";"130";"Std";"";"FE 40 FE 40 00 00 00 11"
"00:20:54.496";"255";"Std";"";"00 00 00 00 55 55 A9 AD"
"00:20:54.499";"14A";"Std";"";"00 25 00 00 07 00 25 22"
"00:20:54.499";"158";"Std";"";"00 00 00 00 00 00 00 19"
"00:20:54.500";"191";"Std";"";"01 00 00 A1 A1 21 01 11"
"00:20:54.500";"94";"Std";"";"80 1F C8 0E 00 00 0C 50"
"00:20:54.500";"1AB";"Std";"";"80 00 73"
"00:20:54.505";"17C";"Std";"";"00 00 00 00 10 00 00 21"
"00:20:54.505";"130";"Std";"";"FE 40 FE 40 00 00 00 20"
"00:20:54.506";"1DC";"Std";"";"00 00 00 00 00 00 3B"
"00:20:54.509";"14A";"Std";"";"00 25 00 00 07 00 25 31"
"00:20:54.509";"158";"Std";"";"00 00 00 00 00 00 00 28"
"00:20:54.510";"191";"Std";"";"01 00 00 A1 A1 21 01 20"
"00:20:54.510";"1A7";"Std";"";"00 15"
"00:20:54.510";"94";"Std";"";"80 1F C8 0E 00 00 0C 6F"
"00:20:54.514";"1A4";"Std";"";"00 66 00 00 00 00 00 3A"
"00:20:54.514";"1AC";"Std";"";"7F FF 00 00 00 00 00 1C"
"00:20:54.514";"1B0";"Std";"";"00 0F 00 00 00 01 39"
"00:20:54.514";"1C2";"Std";"";"08 00 00 30 00 00 00 1D"
"00:20:54.515";"1D0";"Std";"";"00 00 00 00 00 00 00 0A"
"00:20:54.515";"1EA";"Std";"";"00 00 00 00 00 00 00 3C"
"00:20:54.515";"17C";"Std";"";"00 00 00 00 10 00 00 30"
"00:20:54.515";"130";"Std";"";"FE 40 FE 40 00 00 00 3F"
"00:20:54.519";"14A";"Std";"";"00 25 00 00 07 00 25 04"
"00:20:54.519";"158";"Std";"";"00 00 00 00 00 00 00 37"
"00:20:54.520";"191";"Std";"";"01 00 00 A1 A1 21 01 3F"
"00:20:54.520";"94";"Std";"";"80 1F C8 0E 00 00 0C 7E"
"00:20:54.520";"1AB";"Std";"";"80 00 46"
"00:20:54.525";"17C";"Std";"";"00 00 00 00 10 00 00 03"
"00:20:54.525";"130";"Std";"";"FE 40 FE 40 00 00 00 02"
"00:20:54.526";"1DC";"Std";"";"00 00 00 00 00 00 0E"
"00:20:54.527";"221";"Std";"";"36 00 80 00 30 0F"
"00:20:54.528";"296";"Std";"";"00 00 00 07"
"00:20:54.529";"14A";"Std";"";"00 25 00 00 07 00 25 13"
"00:20:54.529";"158";"Std";"";"00 00 00 00 00 00 00 0A"
"00:20:54.530";"191";"Std";"";"01 00 00 A1 A1 21 01 02"
"00:20:54.530";"1A7";"Std";"";"00 24"
"00:20:54.530";"94";"Std";"";"80 1F C8 0E 00 00 0C 41"
"00:20:54.531";"39";"Std";"";"00 00 1B"
"00:20:54.534";"1A4";"Std";"";"00 66 00 00 00 00 00 0D"
"00:20:54.534";"1AC";"Std";"";"7F FF 00 00 00 00 00 2B"
"00:20:54.534";"1B0";"Std";"";"00 0F 00 00 00 01 0C"
"00:20:54.534";"1C2";"Std";"";"08 00 00 30 00 00 00 2C"
"00:20:54.535";"1D0";"Std";"";"00 00 00 00 00 00 00 0A"
"00:20:54.535";"1EA";"Std";"";"00 00 00 00 00 00 00 0F"
"00:20:54.535";"17C";"Std";"";"00 00 00 00 10 00 00 12"
"00:20:54.535";"130";"Std";"";"FE 40 FE 40 00 00 00 11"
"00:20:54.536";"255";"Std";"";"00 00 00 00 55 55 AA AC"
"00:20:54.537";"400";"Std";"";"00 00 02 00 20"
"00:20:54.537";"320";"Std";"";"00 00 00 00 00 00 00 03"
"00:20:54.537";"324";"Std";"";"5E 46 00 00 00 00 0A AE"
"00:20:54.537";"3D7";"Std";"";"B0 00 00 00 00 00 00 15"
"00:20:54.538";"40C";"Std";"";"0D 00 00 00 00 00 00 29"
"00:20:54.538";"454";"Std";"";"00 E3 00 00 00 00 80 20"
"00:20:54.538";"465";"Std";"";"00 00 00 00 00 00 01 26"
"00:20:54.539";"14A";"Std";"";"00 25 00 00 07 00 25 22"
"00:20:54.539";"158";"Std";"";"00 00 00 00 00 00 00 19"
"00:20:54.540";"191";"Std";"";"01 00 00 A1 A1 21 01 11"
"00:20:54.540";"94";"Std";"";"80 1F C8 0E 00 00 0C 50"
"00:20:54.540";"1AB";"Std";"";"80 00 55"
"00:20:54.545";"17C";"Std";"";"00 00 00 00 10 00 00 21"
"00:20:54.545";"130";"Std";"";"FE 40 FE 40 00 00 00 20"
"00:20:54.546";"1DC";"Std";"";"00 00 00 00 00 00 1D"
"00:20:54.549";"14A";"Std";"";"00 25 00 00 07 00 25 31"
"00:20:54.549";"158";"Std";"";"00 00 00 00 00 00 00 28"
"00:20:54.550";"191";"Std";"";"01 00 00 A1 A1 21 01 20"
"00:20:54.550";"1A7";"Std";"";"00 33"
"00:20:54.550";"94";"Std";"";"7F DF C8 0E 00 00 0C 65"
"00:20:54.552";"305";"Std";"";"80 14 00 00 00 00 30"
"00:20:54.554";"1A4";"Std";"";"00 66 00 00 00 00 00 1C"
"00:20:54.554";"1AC";"Std";"";"7F FF 00 00 00 00 00 3A"
"00:20:54.554";"1B0";"Std";"";"00 0F 00 00 00 01 1B"
"00:20:54.554";"1C2";"Std";"";"08 00 00 30 00 00 00 3B"
"00:20:54.555";"1D0";"Std";"";"00 00 00 00 00 00 00 0A"
"00:20:54.555";"1EA";"Std";"";"00 00 00 00 00 00 00 1E"
"00:20:54.556";"17C";"Std";"";"00 00 00 00 10 00 00 30"
"00:20:54.556";"130";"Std";"";"FE 40 FE 40 00 00 00 3F"
"00:20:54.558";"14A";"Std";"";"00 25 00 00 07 00 25 04"
"00:20:54.559";"158";"Std";"";"00 00 00 00 00 00 00 37"
"00:20:54.560";"191";"Std";"";"01 00 00 A1 A1 21 01 3F"
"00:20:54.560";"94";"Std";"";"80 1F C8 0E 00 00 0C 7E"
"00:20:54.560";"1AB";"Std";"";"80 00 64"
"00:20:54.565";"17C";"Std";"";"00 00 00 00 10 00 00 03"
"00:20:54.565";"130";"Std";"";"FE 40 FE 40 00 00 00 02"
"00:20:54.566";"1DC";"Std";"";"00 00 00 00 00 00 2C"
"00:20:54.568";"221";"Std";"";"36 00 80 00 30 1E"
"00:20:54.568";"296";"Std";"";"00 00 00 16"
"00:20:54.568";"309";"Std";"";"00 00 00 00 00 00 40 26"
"00:20:54.568";"326";"Std";"";"23 70 00 20 00 00 00 2D"
"00:20:54.568";"371";"Std";"";"00 00 00 00 00 00 00 2B"
"00:20:54.569";"14A";"Std";"";"00 25 00 00 07 00 25 13"
"00:20:54.569";"372";"Std";"";"20 00 00 28"
"00:20:54.569";"374";"Std";"";"3F 40 00 00 00 00 00 22"
"00:20:54.569";"158";"Std";"";"00 00 00 00 00 00 00 0A"
"00:20:54.570";"191";"Std";"";"01 00 00 A1 A1 21 01 02"
"00:20:54.570";"1A7";"Std";"";"00 06"
"00:20:54.570";"94";"Std";"";"80 1F C8 0E 00 00 0C 41"
"00:20:54.570";"378";"Std";"";"00 00 00 00 18 C0 00 2F"
"00:20:54.570";"37B";"Std";"";"00 00 00 20 00 00 00 2F"
"00:20:54.571";"396";"Std";"";"00 00 00 3F 00 00 22"
"00:20:54.571";"39";"Std";"";"00 00 2A"
"00:20:54.571";"3A1";"Std";"";"3F C0 00 00 00 00 00 1B"
"00:20:54.571";"405";"Std";"";"00 00 00 00 00 00 00 2D"
"00:20:54.572";"428";"Std";"";"00 00 00 00 00 00 28"
"00:20:54.572";"510";"Std";"";"00 00 00 00 00 00 00 20"
"00:20:54.572";"516";"Std";"";"00 3E A2 00 00 00 00 2D"
"00:20:54.574";"1A4";"Std";"";"00 66 00 00 00 00 00 2B"
"00:20:54.574";"1AC";"Std";"";"7F FF 00 00 00 00 00 0D"
"00:20:54.574";"1B0";"Std";"";"00 0F 00 00 00 01 2A"
"00:20:54.575";"1C2";"Std";"";"08 00 00 30 00 00 00 0E"
"00:20:54.575";"1D0";"Std";"";"00 00 00 00 00 00 00 0A"
