ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 13:02:23
Stop time: 13:02:46
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:11:26.164";"412";"Std";"";"18 00 00 01 00 3B 18 00"
"00:11:26.165";"3CD";"Std";"";"FF FD 00 00 0B 22 60 7D"
"00:11:26.166";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:11:26.166";"208";"Std";"";"00 00 32 00 0C 32 3C 3C"
"00:11:26.166";"228";"Std";"";"32 00 00 88 00 A4 00 00"
"00:11:26.166";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:11:26.171";"305";"Std";"";"FF C3 00 07 C4 00 20"
"00:11:26.171";"468";"Std";"";"00 05 40 00 00 01 00 C0"
"00:11:26.174";"4F2";"Std";"";"2F 00 9B D0 9D 44 C0 14"
"00:11:26.175";"3CD";"Std";"";"FF FD 00 00 0B 22 60 6E"
"00:11:26.175";"532";"Std";"";"7F 26 34 00 00"
"00:11:26.176";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:11:26.176";"208";"Std";"";"00 00 32 00 0C 32 3C 3C"
"00:11:26.176";"228";"Std";"";"32 00 00 97 00 A4 00 00"
"00:11:26.176";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:11:26.177";"72";"Std";"";"02 00 00 00 00"
"00:11:26.177";"34D";"Std";"";"00 23 FA FA 00 07 00 1E"
"00:11:26.178";"40D";"Std";"";"00 00 00 00 00 00 00 07"
"00:11:26.181";"305";"Std";"";"FF C3 00 07 D5 00 20"
"00:11:26.181";"3C8";"Std";"";"08 00"
"00:11:26.181";"408";"Std";"";"00 00 00 00 00 00"
"00:11:26.185";"3CD";"Std";"";"FF FD 00 00 0B 22 60 5F"
"00:11:26.185";"5ED";"Std";"";"FC FC E0"
"00:11:26.186";"32D";"Std";"";"7F C0 01 00 80 00 00 00"
"00:11:26.186";"208";"Std";"";"00 00 32 00 0C 32 3C 3C"
"00:11:26.186";"228";"Std";"";"32 00 00 A6 00 A4 00 00"
"00:11:26.186";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:11:26.187";"2ED";"Std";"";"E4 00 00 00 00 00 00"
"00:11:26.188";"38D";"Std";"";"00 00 00 00 AF 40 46 00"
"00:11:26.189";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:11:26.191";"305";"Std";"";"FF C3 00 07 E6 00 20"
"00:11:26.191";"3B8";"Std";"";"FF FF CD FF CD C3 30 04"
"00:11:26.194";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:11:26.195";"432";"Std";"";"81 15 40 00 00 0C 3D 02"
"00:11:26.195";"3CD";"Std";"";"FF FD 00 00 0B 22 60 40"
"00:11:26.195";"612";"Std";"";"00 20 01 06 01 23 00 10"
"00:11:26.196";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:11:26.196";"208";"Std";"";"00 00 32 00 0C 32 3C 3C"
"00:11:26.196";"228";"Std";"";"32 00 00 B5 00 A4 00 00"
"00:11:26.196";"348";"Std";"";"00 32 29 32 C1 01 44 00"
"00:11:26.197";"588";"Std";"";"FE 00 00 27 00 3D 20 06"
"00:11:26.197";"34D";"Std";"";"00 23 FA FA 00 08 00 1E"
"00:11:26.198";"40D";"Std";"";"00 00 00 00 00 00 00 08"
"00:11:26.200";"305";"Std";"";"FF C3 00 07 F7 00 20"
"00:11:26.201";"3C8";"Std";"";"08 00"
"00:11:26.201";"438";"Std";"";"3C 32 24 00 00 00 00 00"
"00:11:26.201";"488";"Std";"";"3C 27 65 00 00 3B 00 00"
"00:11:26.201";"578";"Std";"";"00 00 00 00 00 00"
"00:11:26.204";"452";"Std";"";"00 00 00 03 00 00"
