ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 27/03/2024
Start time: 13:11:22
Stop time: 13:12:24
Overruns: 0  Errorframes: 22                                         
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:20:23.019";"208";"Std";"";"18 48 30 00 4C 32 30 30"
"00:20:23.019";"228";"Std";"";"30 30 00 61 BB A4 20 00"
"00:20:23.019";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:20:23.019";"412";"Std";"";"18 00 00 01 00 52 00 00"
"00:20:23.021";"305";"Std";"";"FF 99 00 07 AD 00 20"
"00:20:23.023";"3B8";"Std";"";"E7 B7 CF FF CD CF E0 04"
"00:20:23.026";"3CD";"Std";"";"FF FF 00 00 0B 22 60 8A"
"00:20:23.027";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:23.028";"34D";"Std";"";"00 23 FA FA 00 0D 00 21"
"00:20:23.029";"208";"Std";"";"18 40 31 00 4C 32 31 31"
"00:20:23.029";"228";"Std";"";"31 30 00 70 BA A4 20 00"
"00:20:23.029";"348";"Std";"";"00 24 2C 3F 09 03 60 40"
"00:20:23.029";"40D";"Std";"";"22 F2 47 68 8A 79 1C 8D"
"00:20:23.030";"4F2";"Std";"";"37 80 61 10 9D 44 C0 14"
"00:20:23.030";"532";"Std";"";"7E 66 34 00 00"
"00:20:23.030";"588";"Std";"";"FE 00 00 0D 00 3D 20 06"
"00:20:23.031";"305";"Std";"";"FF 99 00 07 9E 00 20"
"00:20:23.033";"3C8";"Std";"";"04 00"
"00:20:23.033";"438";"Std";"";"30 32 1D 80 00 00 00 00"
"00:20:23.034";"488";"Std";"";"5A 0D 61 00 00 52 00 00"
"00:20:23.034";"578";"Std";"";"00 00 00 00 00 00"
"00:20:23.036";"3CD";"Std";"";"FF FF 00 00 0B 22 60 7B"
"00:20:23.037";"32D";"Std";"";"80 80 01 00 80 00 00 00"
"00:20:23.038";"2ED";"Std";"";"6F 2F 33 B4 29 F3 91"
"00:20:23.039";"208";"Std";"";"18 40 31 00 4C 32 31 31"
"00:20:23.039";"228";"Std";"";"31 30 00 8F BA A4 20 00"
"00:20:23.039";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:20:23.039";"38D";"Std";"";"00 00 07 C3 AF FF 46 00"
"00:20:23.040";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:23.041";"305";"Std";"";"FF 99 00 07 8F 00 20"
"00:20:23.043";"468";"Std";"";"20 09 40 02 D0 07 00 00"
"00:20:23.046";"3CD";"Std";"";"FF FF 00 00 0B 22 60 6C"
"00:20:23.047";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:23.048";"34D";"Std";"";"00 23 FA FA 00 0E 00 21"
"00:20:23.049";"40D";"Std";"";"22 F2 47 68 8A 79 1C 8E"
"00:20:23.049";"208";"Std";"";"18 58 31 00 4C 32 31 31"
"00:20:23.049";"228";"Std";"";"31 30 00 9E BA A4 20 00"
"00:20:23.049";"348";"Std";"";"00 24 2C 3F 09 03 60 40"
"00:20:23.050";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:23.050";"432";"Std";"";"81 11 40 00 00 0C 3D 52"
"00:20:23.050";"612";"Std";"";"80 20 01 06 02 52 00 10"
"00:20:23.051";"305";"Std";"";"FF 99 00 07 70 00 20"
"00:20:23.053";"3C8";"Std";"";"04 00"
"00:20:23.053";"408";"Std";"";"00 00 00 00 00 00"
"00:20:23.056";"3CD";"Std";"";"FF FF 00 00 0B 22 60 5D"
"00:20:23.056";"42D";"Std";"";"21 00 C0 FE"
"00:20:23.057";"32D";"Std";"";"80 70 01 00 80 00 00 00"
"00:20:23.059";"208";"Std";"";"18 58 31 00 4C 32 31 31"
"00:20:23.059";"228";"Std";"";"31 30 00 AD BA A4 20 00"
"00:20:23.059";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:20:23.059";"452";"Std";"";"00 00 00 03 00 00"
"00:20:23.060";"792";"Std";"";"00 00 00 00 00 40 00 01"
"00:20:23.061";"305";"Std";"";"FF 99 00 07 61 00 20"
"00:20:23.063";"3B8";"Std";"";"E7 A7 CE FF CD CE F0 04"
"00:20:23.066";"3CD";"Std";"";"FF FF 00 00 0B 22 60 4E"
"00:20:23.067";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:23.068";"34D";"Std";"";"00 23 FA FA 00 0F 00 20"
"00:20:23.069";"208";"Std";"";"18 58 31 00 4C 32 31 31"
"00:20:23.069";"228";"Std";"";"31 30 00 BC BA A4 20 00"
"00:20:23.069";"348";"Std";"";"00 24 2C 3F 09 03 60 40"
"00:20:23.069";"40D";"Std";"";"22 F2 47 68 8A 79 1C 8F"
"00:20:23.070";"412";"Std";"";"18 00 00 01 00 52 00 00"
"00:20:23.070";"56E";"Std";"";"F0 20 00 00 00 00"
"00:20:23.071";"305";"Std";"";"FF 99 00 87 D2 00 20"
"00:20:23.073";"3C8";"Std";"";"04 00"
"00:20:23.074";"48E";"Std";"";"00 00 00 00"
"00:20:23.076";"3CD";"Std";"";"FF FF 00 00 0B 22 60 3F"
"00:20:23.077";"32D";"Std";"";"80 50 01 00 80 00 00 00"
"00:20:23.078";"2ED";"Std";"";"50 2F 33 B4 29 F3 91"
"00:20:23.079";"208";"Std";"";"18 58 31 00 4C 32 31 31"
"00:20:23.079";"228";"Std";"";"31 30 00 CB BA A4 20 00"
"00:20:23.079";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:20:23.079";"38D";"Std";"";"00 00 07 C3 AF 0E 46 00"
"00:20:23.080";"50E";"Std";"";"00 00 00 12 00 00 FF 2F"
"00:20:23.080";"44D";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:23.080";"572";"Std";"";"58 80 73 80 00 00 00 00"
"00:20:23.081";"305";"Std";"";"FF 99 00 07 43 00 20"
"00:20:23.082";"495";"Std";"";"7F 00 20 7F"
"00:20:23.083";"468";"Std";"";"20 09 40 02 D0 07 00 00"
"00:20:23.084";"438";"Std";"";"31 32 1E 00 00 00 00 00"
"00:20:23.086";"3CD";"Std";"";"FF FF 00 00 0B 22 60 20"
"00:20:23.087";"30D";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:23.088";"34D";"Std";"";"00 23 FA FA 00 00 00 20"
"00:20:23.089";"208";"Std";"";"18 48 31 00 4C 32 31 31"
"00:20:23.089";"228";"Std";"";"31 30 00 DA BA A4 20 00"
"00:20:23.089";"348";"Std";"";"00 24 2C 3F 09 03 60 40"
"00:20:23.089";"40D";"Std";"";"22 F2 47 68 8A 79 1C 80"
"00:20:23.091";"305";"Std";"";"FF 99 00 07 34 00 20"
"00:20:23.093";"3C8";"Std";"";"04 00"
"00:20:23.093";"408";"Std";"";"00 00 00 00 00 00"
"00:20:23.096";"3CD";"Std";"";"FF FF 00 00 0B 22 60 11"
"00:20:23.096";"50D";"Std";"";"00 11 4F 11 C8 9D 8C 16"
"00:20:23.097";"32D";"Std";"";"80 50 01 00 80 00 00 00"
"00:20:23.099";"208";"Std";"";"18 48 31 00 4C 32 31 31"
"00:20:23.099";"228";"Std";"";"31 30 00 E9 BA A4 20 00"
"00:20:23.099";"2E8";"Std";"";"32 00 F0 00 00 00 00 00"
"00:20:23.099";"3F2";"Std";"";"00 00 00 00 00 00 00 00"
"00:20:23.100";"432";"Std";"";"81 12 40 00 00 0C 3D 52"
