ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 05/06/2017
Start time: 15:09:27
Stop time: 15:10:01
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:15:03.600";"175";"Std";"";"02 00 00 0F 00 00 20 5F"
"00:15:03.600";"357";"Std";"";"03 00 F7 FF FF FF FF FF"
"00:15:03.603";"3";"Std";"";"10 11 10 00 04 FF B0 24"
"00:15:03.603";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:03.604";"3C5";"Std";"";"FF 30 03 00 F1 00 30 01"
"00:15:03.607";"73";"Std";"";"28 00 FF FF FF 00 FF 34"
"00:15:03.608";"14B";"Std";"";"07 F9 0A 42 07 F8 70 7F"
"00:15:03.608";"6D";"Std";"";"40 E6 C0 47"
"00:15:03.608";"1CD";"Std";"";"27 F8 67 F8 27 F8 00 28"
"00:15:03.609";"349";"Std";"";"01 C8 FF 02 62 64 B0 60"
"00:15:03.609";"2F7";"Std";"";"7F FE 00 78 41 18"
"00:15:03.609";"204";"Std";"";"00 57 44 43 47 47 38 42"
"00:15:03.609";"3A3";"Std";"";"00 FF 02"
"00:15:03.609";"39D";"Std";"";"FF 00 FF FF 00 88 70 27"
"00:15:03.610";"375";"Std";"";"03 17 34 3F 3F 07 00 00"
"00:15:03.610";"5";"Std";"";"00 00 00 00 01 00 2C 9E"
"00:15:03.610";"5F";"Std";"";"00 00 F8 00 00 00 10 23"
"00:15:03.611";"D5";"Std";"";"00 00 40 00 00 00 20 12"
"00:15:03.611";"101";"Std";"";"00 00 A0 00 00 00 10 25"
"00:15:03.611";"104";"Std";"";"00 00 03 00 FF 00 20 3D"
"00:15:03.612";"201";"Std";"";"00 00 00 00 00 00 20 8D"
"00:15:03.612";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:15:03.612";"245";"Std";"";"FF FF FF FF FF FF 10 FF"
"00:15:03.613";"402";"Std";"";"FD 04 04 0F 10 00 00 07"
"00:15:03.613";"3";"Std";"";"10 11 10 00 04 FF C0 7D"
"00:15:03.613";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:03.615";"34E";"Std";"";"FF FF FF FF FF FF 37 FF"
"00:15:03.617";"73";"Std";"";"28 00 FF FF FF 00 0F 4B"
"00:15:03.618";"12D";"Std";"";"0F 0F 00 00 40 26 4E D2"
"00:15:03.618";"105";"Std";"";"00 00 7F 00 00 3F 90 4F"
"00:15:03.618";"45";"Std";"";"00 FF 00 00 00 00 E0 B1"
"00:15:03.618";"6D";"Std";"";"40 E6 D0 8A"
"00:15:03.619";"1CD";"Std";"";"27 F8 67 F8 27 F8 10 E5"
"00:15:03.619";"285";"Std";"";"07 00 FF C0 FF FF FF FF"
"00:15:03.619";"353";"Std";"";"40 00 00 00 00 00 00 00"
"00:15:03.620";"175";"Std";"";"02 00 00 0F 00 00 30 92"
"00:15:03.623";"1";"Std";"";"02 C0 DF AC AA 03 10 25"
"00:15:03.623";"3";"Std";"";"10 11 10 00 04 FF D0 B0"
"00:15:03.623";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:03.624";"283";"Std";"";"95 05 C0 13 C0 6A 15 7D"
"00:15:03.624";"336";"Std";"";"7D 42 00 00 00 00 00 00"
"00:15:03.627";"73";"Std";"";"28 00 FF FF FF 00 1F 86"
"00:15:03.628";"6D";"Std";"";"40 E6 E0 C0"
"00:15:03.628";"14B";"Std";"";"07 F9 0A 42 07 F8 80 00"
"00:15:03.628";"1CD";"Std";"";"27 F8 67 F8 27 F8 20 AF"
"00:15:03.629";"204";"Std";"";"01 42 38 43 46 36 37 30"
"00:15:03.629";"15";"Std";"";"64 64 00 00"
"00:15:03.630";"5";"Std";"";"00 00 00 00 01 00 3C 53"
"00:15:03.630";"5F";"Std";"";"00 00 F8 00 00 00 20 69"
"00:15:03.631";"D5";"Std";"";"00 00 40 00 00 00 30 DF"
"00:15:03.631";"101";"Std";"";"00 00 A0 00 00 00 20 6F"
"00:15:03.631";"104";"Std";"";"00 00 03 00 FF 00 30 F0"
"00:15:03.632";"201";"Std";"";"00 00 00 00 00 00 30 40"
"00:15:03.632";"F9";"Std";"";"10 00 00 7D 00 00 40 14"
"00:15:03.632";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:15:03.632";"245";"Std";"";"FF FF FF FF FF FF 20 FF"
"00:15:03.633";"3";"Std";"";"10 11 10 00 04 FF E0 FA"
"00:15:03.633";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:03.637";"73";"Std";"";"28 00 FF FF FF 00 2F CC"
"00:15:03.638";"45";"Std";"";"00 FF 00 00 00 00 F0 7C"
"00:15:03.638";"6D";"Std";"";"40 E6 F0 0D"
"00:15:03.638";"105";"Std";"";"00 00 7F 00 00 3F A0 05"
"00:15:03.639";"1CD";"Std";"";"27 F8 67 F8 27 F8 30 62"
"00:15:03.639";"30D";"Std";"";"5E 4D 5A FF FF 00 00 81"
"00:15:03.640";"175";"Std";"";"02 00 00 0F 00 00 40 CB"
