ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 05/06/2017
Start time: 15:16:39
Stop time: 15:17:14
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:22:06.433";"5";"Std";"";"00 10 00 00 01 00 EC BF"
"00:22:06.433";"5F";"Std";"";"00 00 F8 00 00 00 D0 16"
"00:22:06.433";"D5";"Std";"";"00 00 40 00 00 00 E0 27"
"00:22:06.434";"101";"Std";"";"00 00 A0 00 00 00 D0 10"
"00:22:06.434";"104";"Std";"";"00 00 03 00 FF 00 E0 08"
"00:22:06.434";"201";"Std";"";"00 00 00 00 00 00 E0 B8"
"00:22:06.434";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:22:06.435";"245";"Std";"";"80 28 80 81 80 80 D0 85"
"00:22:06.436";"F3";"Std";"";"DD FF 00 00 00 8A 50 F6"
"00:22:06.437";"205";"Std";"";"02 8C 0C 0F 0F 00 00 C0"
"00:22:06.437";"45";"Std";"";"00 FF 00 00 00 00 B0 6F"
"00:22:06.437";"6D";"Std";"";"40 E6 70 2B"
"00:22:06.438";"105";"Std";"";"02 61 7F 00 00 98 83 64"
"00:22:06.438";"1CD";"Std";"";"27 EE 67 EE 27 EE E0 4A"
"00:22:06.438";"73";"Std";"";"28 00 FF FF FF 00 6F DF"
"00:22:06.442";"3";"Std";"";"10 11 10 00 04 FF 70 11"
"00:22:06.442";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:22:06.443";"175";"Std";"";"02 01 00 0F 00 00 F0 E1"
"00:22:06.444";"2F1";"Std";"";"5B 24 01 00 00 00 FF FF"
"00:22:06.447";"6D";"Std";"";"40 E6 80 54"
"00:22:06.447";"14B";"Std";"";"07 ED 0A 3F 07 EE 60 16"
"00:22:06.447";"1CD";"Std";"";"27 EE 67 EE 27 EE F0 87"
"00:22:06.448";"73";"Std";"";"28 00 FF FF FF 00 7F 12"
"00:22:06.452";"3";"Std";"";"10 11 10 00 04 FF 80 6E"
"00:22:06.452";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:22:06.453";"357";"Std";"";"03 00 F7 FF FF FF FF FF"
"00:22:06.453";"5";"Std";"";"00 10 00 00 01 00 FC 72"
"00:22:06.453";"5F";"Std";"";"00 00 F8 00 00 00 E0 5C"
"00:22:06.454";"D5";"Std";"";"00 00 40 00 00 00 F0 EA"
"00:22:06.454";"101";"Std";"";"00 00 A0 00 00 00 E0 5A"
"00:22:06.454";"104";"Std";"";"00 00 03 00 FF 00 F0 C5"
"00:22:06.454";"201";"Std";"";"00 00 00 00 00 00 F0 75"
"00:22:06.455";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:22:06.455";"245";"Std";"";"80 2A 80 81 7F 80 E0 85"
"00:22:06.456";"F3";"Std";"";"DD FF 00 00 00 8A 60 BC"
"00:22:06.457";"45";"Std";"";"00 FF 00 00 00 00 C0 36"
"00:22:06.457";"6D";"Std";"";"40 E6 90 99"
"00:22:06.457";"105";"Std";"";"02 60 7F 00 00 98 93 EF"
"00:22:06.458";"1CD";"Std";"";"27 EE 67 EE 27 EE 00 F8"
"00:22:06.458";"73";"Std";"";"28 00 FF FF FF 00 8F 6D"
"00:22:06.458";"39D";"Std";"";"21 00 01 26 00 88 70 6F"
"00:22:06.462";"3";"Std";"";"10 11 10 00 04 FF 90 A3"
"00:22:06.462";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:22:06.462";"2F7";"Std";"";"80 21 00 96 41 18"
"00:22:06.463";"349";"Std";"";"00 C8 FF 42 62 64 F0 60"
"00:22:06.463";"175";"Std";"";"02 01 00 0F 00 00 00 9E"
"00:22:06.463";"375";"Std";"";"03 07 35 3F 3F 07 00 00"
"00:22:06.463";"34E";"Std";"";"FF FF FF FF FF FF 37 FF"
"00:22:06.464";"2F1";"Std";"";"5B 24 01 00 00 00 FF FF"
"00:22:06.467";"6D";"Std";"";"40 E6 A0 D3"
"00:22:06.467";"FE";"Std";"";"00 96 24 03 02 31 00 FF"
"00:22:06.467";"14B";"Std";"";"07 ED 0A 3F 07 EE 70 DB"
"00:22:06.468";"73";"Std";"";"28 00 FF FF FF 00 9F A0"
"00:22:06.468";"1CD";"Std";"";"27 EE 67 EE 27 EE 10 35"
"00:22:06.469";"F9";"Std";"";"18 00 00 7D 00 00 F0 AA"
"00:22:06.472";"3";"Std";"";"10 11 10 00 04 FF A0 E9"
"00:22:06.472";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:22:06.473";"5";"Std";"";"00 10 00 00 01 00 0C 0D"
