ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 05/06/2017
Start time: 15:10:19
Stop time: 15:10:42
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:15:45.883";"73";"Std";"";"28 00 FF FF FF 00 7F 12"
"00:15:45.884";"5";"Std";"";"00 00 00 00 01 00 6C 8D"
"00:15:45.885";"5F";"Std";"";"00 00 F8 00 00 00 50 30"
"00:15:45.885";"3";"Std";"";"10 11 10 00 04 FF 40 5B"
"00:15:45.885";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:45.885";"D5";"Std";"";"00 00 40 00 00 00 60 01"
"00:15:45.886";"101";"Std";"";"00 00 A0 00 00 00 50 36"
"00:15:45.886";"104";"Std";"";"00 00 03 00 FF 00 60 2E"
"00:15:45.886";"201";"Std";"";"00 00 00 00 00 00 60 9E"
"00:15:45.886";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:15:45.887";"245";"Std";"";"FF FF FF FF FF FF 50 FF"
"00:15:45.888";"14B";"Std";"";"07 F9 0A 42 07 F8 60 B2"
"00:15:45.889";"1CD";"Std";"";"27 F8 67 F8 27 F8 E0 9A"
"00:15:45.889";"37D";"Std";"";"00 00 E3 93 63 00 FF FF"
"00:15:45.890";"45";"Std";"";"00 FF 00 00 00 00 20 84"
"00:15:45.890";"6D";"Std";"";"40 E6 50 AC"
"00:15:45.893";"73";"Std";"";"28 00 FF FF FF 00 8F 6D"
"00:15:45.894";"175";"Std";"";"02 01 00 0F 00 00 70 C7"
"00:15:45.895";"3";"Std";"";"10 11 10 00 04 FF 50 96"
"00:15:45.895";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:45.898";"105";"Std";"";"00 00 7F 00 00 3F 80 82"
"00:15:45.898";"1CD";"Std";"";"27 F8 67 F8 27 F8 F0 57"
"00:15:45.899";"30D";"Std";"";"5E 4D 5B FF FF 00 00 81"
"00:15:45.900";"6D";"Std";"";"40 E6 60 E6"
"00:15:45.903";"73";"Std";"";"28 00 FF FF FF 00 9F A0"
"00:15:45.904";"5";"Std";"";"00 00 00 00 01 00 7C 40"
"00:15:45.905";"5F";"Std";"";"00 00 F8 00 00 00 60 7A"
"00:15:45.905";"3";"Std";"";"10 11 10 00 04 FF 60 DC"
"00:15:45.905";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:45.905";"D5";"Std";"";"00 00 40 00 00 00 70 CC"
"00:15:45.906";"101";"Std";"";"00 00 A0 00 00 00 60 7C"
"00:15:45.906";"306";"Std";"";"FF 03 FF FF FF FE 1F FF"
"00:15:45.906";"104";"Std";"";"00 00 03 00 FF 00 70 E3"
"00:15:45.906";"201";"Std";"";"00 00 00 00 00 00 70 53"
"00:15:45.907";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:15:45.907";"245";"Std";"";"FF FF FF FF FF FF 60 FF"
"00:15:45.908";"14B";"Std";"";"07 F9 0A 42 07 F8 70 7F"
"00:15:45.908";"1CD";"Std";"";"27 F8 67 F8 27 F8 00 28"
"00:15:45.910";"45";"Std";"";"00 FF 00 00 00 00 30 49"
"00:15:45.910";"6D";"Std";"";"40 E6 70 2B"
"00:15:45.913";"73";"Std";"";"28 00 FF FF FF 00 AF EA"
"00:15:45.914";"175";"Std";"";"02 01 00 0F 00 00 80 B8"
"00:15:45.915";"3";"Std";"";"10 11 10 00 04 FF 70 11"
"00:15:45.915";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:45.918";"105";"Std";"";"00 00 7F 00 00 3F 90 4F"
"00:15:45.918";"1CD";"Std";"";"27 F8 67 F8 27 F8 10 E5"
"00:15:45.919";"33D";"Std";"";"00 06 00 3F"
"00:15:45.920";"6D";"Std";"";"40 E6 80 54"
"00:15:45.923";"73";"Std";"";"28 00 FF FF FF 00 BF 27"
"00:15:45.924";"5";"Std";"";"00 00 00 00 01 00 8C 3F"
"00:15:45.925";"5F";"Std";"";"00 00 F8 00 00 00 70 B7"
"00:15:45.925";"3";"Std";"";"10 11 10 00 04 FF 80 6E"
"00:15:45.925";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:15:45.925";"D5";"Std";"";"00 00 40 00 00 00 80 B3"
"00:15:45.926";"101";"Std";"";"00 00 A0 00 00 00 70 B1"
"00:15:45.926";"104";"Std";"";"00 00 03 00 FF 00 80 9C"
"00:15:45.926";"201";"Std";"";"00 00 00 00 00 00 80 2C"
"00:15:45.926";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:15:45.927";"245";"Std";"";"FF FF FF FF FF FF 70 FF"
"00:15:45.927";"247";"Std";"";"00 00 00 00 00 00 00 03"
"00:15:45.928";"14B";"Std";"";"07 F9 0A 42 07 F8 80 00"
"00:15:45.929";"1CD";"Std";"";"27 F8 67 F8 27 F8 20 AF"
"00:15:45.929";"202";"Std";"";"04 00 00 F7"
