ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 05/06/2017
Start time: 15:12:46
Stop time: 15:13:39
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:18:35.272";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:18:35.273";"2F8";"Std";"";"00 00 00"
"00:18:35.274";"105";"Std";"";"3F FF FF FF FF 3F E7 4D"
"00:18:35.274";"1CD";"Std";"";"3F FF 3F FF 3F FF B0 FF"
"00:18:35.274";"30D";"Std";"";"FF FF FF FF FF FF FF FF"
"00:18:35.276";"357";"Std";"";"03 00 F7 FF FF FF FF FF"
"00:18:35.277";"207";"Std";"";"00 03 29 AD 04 DB 1D 7F"
"00:18:35.277";"73";"Std";"";"28 00 FF FF FF 00 4F 58"
"00:18:35.277";"45";"Std";"";"00 FF 00 00 00 00 10 CE"
"00:18:35.277";"6D";"Std";"";"40 E6 30 38"
"00:18:35.278";"37A";"Std";"";"40 26 4E D2 07 83 98"
"00:18:35.281";"5";"Std";"";"00 00 00 00 01 00 5C C7"
"00:18:35.281";"5F";"Std";"";"00 00 F8 00 00 00 40 FD"
"00:18:35.281";"D5";"Std";"";"00 00 40 00 00 00 50 4B"
"00:18:35.282";"206";"Std";"";"00 00 02 22 20 04 FA 03"
"00:18:35.282";"101";"Std";"";"00 00 A0 00 00 00 40 FB"
"00:18:35.282";"104";"Std";"";"00 00 03 00 FF 00 50 64"
"00:18:35.282";"3";"Std";"";"10 11 10 00 04 FF 30 02"
"00:18:35.283";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:18:35.283";"201";"Std";"";"00 00 00 00 00 00 50 D4"
"00:18:35.283";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:18:35.283";"245";"Std";"";"FF FF FF FF FF FF 40 FF"
"00:18:35.284";"39D";"Std";"";"FF 00 FF FF 00 88 70 5F"
"00:18:35.284";"14B";"Std";"";"1F FF 1F FF 1F FF D0 F5"
"00:18:35.284";"1CD";"Std";"";"3F FF 3F FF 3F FF C0 A6"
"00:18:35.285";"FE";"Std";"";"00 96 84 00 01 D6 00 FF"
"00:18:35.286";"375";"Std";"";"03 17 35 3F 3F 07 00 00"
"00:18:35.287";"73";"Std";"";"28 00 FF FF FF 00 5F 95"
"00:18:35.287";"6D";"Std";"";"40 E6 40 61"
"00:18:35.289";"34E";"Std";"";"FF FF FF FF FF FF 37 FF"
"00:18:35.290";"175";"Std";"";"02 01 00 0F 00 00 60 0A"
"00:18:35.292";"3";"Std";"";"10 11 10 00 04 FF 40 5B"
"00:18:35.292";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:18:35.294";"105";"Std";"";"3F FF FF FF FF 3F F7 80"
"00:18:35.294";"1CD";"Std";"";"3F FF 3F FF 3F FF D0 6B"
"00:18:35.294";"33D";"Std";"";"00 36 00 3F"
"00:18:35.295";"FF";"Std";"";"00 96 04 00 04 00 07 FF"
"00:18:35.297";"73";"Std";"";"28 00 FF FF FF 00 6F DF"
"00:18:35.297";"45";"Std";"";"00 FF 00 00 00 00 20 84"
"00:18:35.297";"69";"Std";"";"44 40"
"00:18:35.298";"6D";"Std";"";"40 E6 50 AC"
"00:18:35.301";"F9";"Std";"";"10 00 00 7D 00 00 C0 32"
"00:18:35.301";"5";"Std";"";"00 00 00 00 01 00 6C 8D"
"00:18:35.301";"5F";"Std";"";"00 00 F8 00 00 00 50 30"
"00:18:35.301";"D5";"Std";"";"00 00 40 00 00 00 60 01"
"00:18:35.302";"101";"Std";"";"00 00 A0 00 00 00 50 36"
"00:18:35.302";"104";"Std";"";"00 00 03 00 FF 00 60 2E"
"00:18:35.302";"201";"Std";"";"00 00 00 00 00 00 60 9E"
"00:18:35.302";"3";"Std";"";"10 11 10 00 04 FF 50 96"
"00:18:35.303";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:18:35.303";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:18:35.303";"245";"Std";"";"FF FF FF FF FF FF 50 FF"
"00:18:35.304";"14B";"Std";"";"1F FF 1F FF 1F FF E0 BF"
"00:18:35.304";"1CD";"Std";"";"3F FF 3F FF 3F FF E0 21"
"00:18:35.304";"DE";"Std";"";"30 96 14 00 00 7E 30 34"
"00:18:35.307";"73";"Std";"";"28 00 FF FF FF 00 7F 12"
"00:18:35.307";"6D";"Std";"";"40 E6 60 E6"
"00:18:35.308";"1C1";"Std";"";"00 00 00 00"
"00:18:35.310";"175";"Std";"";"02 01 00 0F 00 00 70 C7"
"00:18:35.312";"3";"Std";"";"10 11 10 00 04 FF 60 DC"
"00:18:35.312";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:18:35.314";"105";"Std";"";"3F FF FF FF FF 3F 07 FF"
"00:18:35.314";"1CD";"Std";"";"3F FF 3F FF 3F FF F0 EC"
