ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 05/06/2017
Start time: 15:23:02
Stop time: 15:23:25
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:28:27.220";"208";"Std";"";"00 00 00 00 00 00 00 0A"
"00:28:27.221";"5";"Std";"";"00 10 00 00 01 00 2C 8A"
"00:28:27.221";"105";"Std";"";"02 61 7F 00 00 9A 63 4E"
"00:28:27.221";"5F";"Std";"";"00 00 F8 00 00 00 10 23"
"00:28:27.221";"1CD";"Std";"";"27 ED 67 ED 27 ED A0 FD"
"00:28:27.222";"D5";"Std";"";"00 00 40 00 00 00 20 12"
"00:28:27.222";"37E";"Std";"";"64 64 64 FF FF FF 00 FF"
"00:28:27.222";"101";"Std";"";"00 00 A0 00 00 00 10 25"
"00:28:27.222";"73";"Std";"";"28 00 FF FF FF 00 CF 7E"
"00:28:27.223";"104";"Std";"";"00 00 03 00 FF 00 20 3D"
"00:28:27.223";"201";"Std";"";"00 00 00 00 00 00 20 8D"
"00:28:27.223";"2F1";"Std";"";"5E 24 01 00 00 00 FF FF"
"00:28:27.223";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:28:27.224";"45";"Std";"";"00 FF 00 00 00 00 00 03"
"00:28:27.224";"6D";"Std";"";"40 E6 10 BF"
"00:28:27.224";"245";"Std";"";"80 2F 80 81 7F 80 10 85"
"00:28:27.229";"3";"Std";"";"10 11 10 00 04 FF 10 85"
"00:28:27.229";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:28:27.230";"175";"Std";"";"02 01 00 0F 00 00 30 D4"
"00:28:27.231";"14B";"Std";"";"07 EC 0A 43 07 ED 40 2A"
"00:28:27.231";"1CD";"Std";"";"27 ED 67 ED 27 ED B0 30"
"00:28:27.232";"207";"Std";"";"00 03 29 AD 04 DB 1D 7F"
"00:28:27.232";"73";"Std";"";"28 00 FF FF FF 00 DF B3"
"00:28:27.233";"6D";"Std";"";"40 E6 20 F5"
"00:28:27.234";"F3";"Std";"";"DD FF 00 00 00 8A 80 0E"
"00:28:27.235";"69";"Std";"";"4C 44"
"00:28:27.236";"206";"Std";"";"00 00 02 22 20 04 FA 03"
"00:28:27.239";"3";"Std";"";"10 11 10 00 04 FF 20 CF"
"00:28:27.239";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:28:27.240";"5";"Std";"";"00 10 00 00 01 00 3C 47"
"00:28:27.241";"5F";"Std";"";"00 00 F8 00 00 00 20 69"
