ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 05/06/2017
Start time: 15:24:02
Stop time: 15:24:52
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:29:30.362";"6D";"Std";"";"40 E6 20 F5"
"00:29:30.362";"175";"Std";"";"02 01 00 0F 00 00 B0 F2"
"00:29:30.366";"429";"Std";"";"FD 00 04 0F 10 00 00 07"
"00:29:30.366";"73";"Std";"";"28 00 FF FF FF 00 DF B3"
"00:29:30.367";"3";"Std";"";"10 11 10 00 04 FF 20 CF"
"00:29:30.367";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:29:30.370";"14B";"Std";"";"07 E5 0A 47 07 E6 A0 14"
"00:29:30.370";"1CD";"Std";"";"27 E6 67 E6 27 E6 70 6D"
"00:29:30.371";"F3";"Std";"";"DD FF 00 00 00 8A 00 28"
"00:29:30.372";"45";"Std";"";"00 FF 00 00 00 00 90 E8"
"00:29:30.372";"6D";"Std";"";"40 E6 30 38"
"00:29:30.372";"5";"Std";"";"00 10 00 00 01 00 BC 61"
"00:29:30.373";"5F";"Std";"";"00 00 F8 00 00 00 A0 4F"
"00:29:30.373";"D5";"Std";"";"00 00 40 00 00 00 B0 F9"
"00:29:30.373";"101";"Std";"";"00 00 A0 00 00 00 A0 49"
"00:29:30.373";"104";"Std";"";"00 00 03 00 FF 00 B0 D6"
"00:29:30.374";"201";"Std";"";"00 00 00 00 00 00 B0 66"
"00:29:30.374";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:29:30.374";"245";"Std";"";"80 2F 80 81 80 80 A0 85"
"00:29:30.374";"12D";"Std";"";"0F 0F 00 00 40 26 4E D2"
"00:29:30.375";"69";"Std";"";"4C 44"
"00:29:30.376";"73";"Std";"";"28 00 FF FF FF 00 EF F9"
"00:29:30.377";"3";"Std";"";"10 11 10 00 04 FF 30 02"
"00:29:30.377";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:29:30.378";"205";"Std";"";"02 93 0C 0F 00 00 00 C0"
"00:29:30.379";"2F1";"Std";"";"5F 24 01 00 00 00 FF FF"
"00:29:30.379";"1";"Std";"";"0C C0 DF AC AA 03 40 FA"
"00:29:30.380";"105";"Std";"";"02 61 7F 00 00 98 D3 BA"
"00:29:30.381";"1CD";"Std";"";"27 E7 67 E7 27 E7 80 85"
"00:29:30.382";"6D";"Std";"";"40 E6 40 61"
"00:29:30.382";"175";"Std";"";"02 01 00 0F 00 00 C0 AB"
"00:29:30.383";"357";"Std";"";"03 00 F7 FF FF FF FF FF"
"00:29:30.384";"39D";"Std";"";"21 00 01 08 00 88 70 4F"
"00:29:30.386";"73";"Std";"";"28 00 FF FF FF 00 FF 34"
"00:29:30.387";"3";"Std";"";"10 11 10 00 04 FF 40 5B"
"00:29:30.387";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:29:30.390";"34E";"Std";"";"FF FF FF FF FF FF 37 FF"
"00:29:30.390";"14B";"Std";"";"07 E5 0A 47 07 E7 B0 95"
"00:29:30.390";"1CD";"Std";"";"27 E7 67 E7 27 E7 90 48"
"00:29:30.391";"F3";"Std";"";"DD FF 00 00 00 8A 10 E5"
"00:29:30.392";"45";"Std";"";"00 FF 00 00 00 00 A0 A2"
"00:29:30.392";"6D";"Std";"";"40 E6 50 AC"
"00:29:30.392";"5";"Std";"";"00 10 00 00 01 00 CC 38"
"00:29:30.392";"5F";"Std";"";"00 00 F8 00 00 00 B0 82"
"00:29:30.393";"D5";"Std";"";"00 00 40 00 00 00 C0 A0"
"00:29:30.393";"101";"Std";"";"00 00 A0 00 00 00 B0 84"
"00:29:30.393";"375";"Std";"";"03 07 35 3F 3F 07 00 00"
"00:29:30.394";"104";"Std";"";"00 00 03 00 FF 00 C0 8F"
"00:29:30.394";"201";"Std";"";"00 00 00 00 00 00 C0 3F"
"00:29:30.394";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:29:30.394";"245";"Std";"";"80 2F 80 81 80 80 B0 85"
"00:29:30.396";"73";"Std";"";"28 00 FF FF FF 00 0F 4B"
"00:29:30.397";"3";"Std";"";"10 11 10 00 04 FF 50 96"
"00:29:30.397";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:29:30.399";"2F1";"Std";"";"5F 24 01 00 00 00 FF FF"
"00:29:30.400";"105";"Std";"";"02 61 7F 00 00 98 E3 F0"
"00:29:30.400";"1CD";"Std";"";"27 E8 67 E8 27 E8 A0 0C"
"00:29:30.402";"6D";"Std";"";"40 E6 60 E6"
"00:29:30.402";"175";"Std";"";"02 01 00 0F 00 00 D0 66"
"00:29:30.402";"306";"Std";"";"FF 03 FF FF FF FE 1F FF"
"00:29:30.405";"349";"Std";"";"00 C8 FF 42 62 64 F0 60"
"00:29:30.407";"73";"Std";"";"28 00 FF FF FF 00 1F 86"
"00:29:30.407";"3";"Std";"";"10 11 10 00 04 FF 60 DC"
"00:29:30.407";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:29:30.408";"FE";"Std";"";"00 96 04 03 02 4D 00 FF"
"00:29:30.410";"14B";"Std";"";"07 E5 0A 47 07 E8 C0 6F"
"00:29:30.411";"1CD";"Std";"";"27 E8 67 E8 27 E8 B0 C1"
"00:29:30.411";"F3";"Std";"";"DD FF 00 00 00 8A 20 AF"
"00:29:30.412";"45";"Std";"";"00 FF 00 00 00 00 B0 6F"
"00:29:30.412";"6D";"Std";"";"40 E6 70 2B"
"00:29:30.412";"5";"Std";"";"00 10 00 00 01 00 DC F5"
"00:29:30.412";"5F";"Std";"";"00 00 F8 00 00 00 C0 DB"
"00:29:30.413";"D5";"Std";"";"00 00 40 00 00 00 D0 6D"
"00:29:30.413";"101";"Std";"";"00 00 A0 00 00 00 C0 DD"
"00:29:30.413";"104";"Std";"";"00 00 03 00 FF 00 D0 42"
"00:29:30.414";"201";"Std";"";"00 00 00 00 00 00 D0 F2"
"00:29:30.414";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:29:30.414";"245";"Std";"";"80 2F 80 81 80 80 C0 85"
"00:29:30.416";"73";"Std";"";"28 00 FF FF FF 00 2F CC"
"00:29:30.417";"3";"Std";"";"10 11 10 00 04 FF 70 11"
"00:29:30.417";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:29:30.418";"FF";"Std";"";"00 96 04 03 04 00 07 FF"
"00:29:30.419";"2F1";"Std";"";"5F 24 01 00 00 00 FF FF"
"00:29:30.420";"3D4";"Std";"";"00 00 00 00 00 00 00 00"
"00:29:30.420";"105";"Std";"";"02 5E 7F 00 00 98 F3 C4"
"00:29:30.420";"1CD";"Std";"";"27 E8 67 E8 27 E8 C0 98"
"00:29:30.421";"30D";"Std";"";"7C 52 76 FF FF 01 91 81"
"00:29:30.422";"6D";"Std";"";"40 E6 80 54"
"00:29:30.422";"175";"Std";"";"02 01 00 0F 00 00 E0 2C"
"00:29:30.425";"3C5";"Std";"";"FF 30 03 00 F1 00 30 01"
"00:29:30.426";"73";"Std";"";"28 00 FF FF FF 00 3F 01"
"00:29:30.427";"3";"Std";"";"10 11 10 00 04 FF 80 6E"
"00:29:30.427";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:29:30.428";"DE";"Std";"";"00 96 14 03 00 7E 30 58"
"00:29:30.430";"3A3";"Std";"";"00 FF 02"
"00:29:30.430";"14B";"Std";"";"07 E5 0A 47 07 E8 D0 A2"
"00:29:30.430";"1CD";"Std";"";"27 E8 67 E8 27 E8 D0 55"
"00:29:30.431";"F3";"Std";"";"DD FF 00 00 00 8A 30 62"
"00:29:30.432";"45";"Std";"";"00 FF 00 00 00 00 C0 36"
