ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 05/06/2017
Start time: 15:38:51
Stop time: 15:39:54
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:44:48.711";"3";"Std";"";"10 44 10 00 04 FF 50 91"
"00:44:48.711";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.712";"357";"Std";"";"03 00 F7 FF FF FF FF FF"
"00:44:48.712";"175";"Std";"";"02 00 00 0F 00 00 A0 79"
"00:44:48.712";"73";"Std";"";"05 00 FF FF FF 00 7F 9B"
"00:44:48.713";"378";"Std";"";"00 00 00 00 51 00 00 00"
"00:44:48.714";"14B";"Std";"";"07 FA 0A 35 07 F9 30 E5"
"00:44:48.714";"1CD";"Std";"";"27 F9 67 F9 27 F9 90 54"
"00:44:48.714";"353";"Std";"";"40 00 00 00 00 00 00 00"
"00:44:48.716";"F3";"Std";"";"22 FF 08 5C 10 8A 00 D1"
"00:44:48.716";"6D";"Std";"";"40 E6 60 E6"
"00:44:48.719";"336";"Std";"";"7F 42 00 00 00 00 00 00"
"00:44:48.721";"3";"Std";"";"10 44 10 00 04 FF 60 DB"
"00:44:48.721";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.722";"375";"Std";"";"03 07 35 3F 3F 07 00 00"
"00:44:48.722";"73";"Std";"";"05 00 FF FF FF 00 8F E4"
"00:44:48.723";"5";"Std";"";"11 10 02 DB 01 00 AC 3E"
"00:44:48.723";"5F";"Std";"";"02 D9 F7 FA 00 00 90 1E"
"00:44:48.723";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.723";"D5";"Std";"";"00 00 40 00 00 00 A0 34"
"00:44:48.724";"101";"Std";"";"00 00 A0 00 00 00 90 03"
"00:44:48.724";"105";"Std";"";"02 13 7F 00 00 95 63 0D"
"00:44:48.724";"104";"Std";"";"00 00 03 00 FF 00 A0 1B"
"00:44:48.724";"1CD";"Std";"";"27 FB 67 FB 27 FB A0 2D"
"00:44:48.725";"15";"Std";"";"64 64 00 00"
"00:44:48.725";"201";"Std";"";"7A D3 3B A7 00 00 A0 88"
"00:44:48.725";"37E";"Std";"";"63 64 64 FF FF FF 00 FF"
"00:44:48.725";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.726";"3D4";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.726";"245";"Std";"";"80 2F 85 81 80 80 90 85"
"00:44:48.726";"45";"Std";"";"00 FF 00 00 00 00 B0 6F"
"00:44:48.726";"6D";"Std";"";"40 E6 70 2B"
"00:44:48.729";"3C5";"Std";"";"FF 30 03 00 F1 00 30 01"
"00:44:48.731";"205";"Std";"";"02 87 0C 0F 00 00 00 C0"
"00:44:48.731";"3";"Std";"";"10 44 10 00 04 FF 70 16"
"00:44:48.732";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.732";"175";"Std";"";"02 00 00 0F 00 00 B0 B4"
"00:44:48.732";"73";"Std";"";"05 00 FF FF FF 00 9F 29"
"00:44:48.734";"3A3";"Std";"";"00 FF 02"
"00:44:48.734";"14B";"Std";"";"07 FA 0A 35 07 FB 40 24"
"00:44:48.734";"1CD";"Std";"";"27 FB 67 FB 27 FB B0 E0"
"00:44:48.736";"F3";"Std";"";"22 FF 08 5C 10 8A 10 1C"
"00:44:48.736";"6D";"Std";"";"40 E6 80 54"
"00:44:48.741";"3";"Std";"";"10 44 10 00 04 FF 80 69"
"00:44:48.741";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.742";"73";"Std";"";"05 00 FF FF FF 00 AF 63"
"00:44:48.743";"5";"Std";"";"11 10 02 D3 01 00 BC 6F"
"00:44:48.743";"30E";"Std";"";"00 00 00 00 02 0F 00 00"
"00:44:48.743";"5F";"Std";"";"02 D2 F7 F9 00 00 A0 2E"
"00:44:48.743";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.744";"D5";"Std";"";"00 00 40 00 00 00 B0 F9"
"00:44:48.744";"101";"Std";"";"00 00 A0 00 00 00 A0 49"
"00:44:48.744";"105";"Std";"";"02 13 7F 00 00 95 73 C0"
"00:44:48.744";"104";"Std";"";"00 00 03 00 FF 00 B0 D6"
"00:44:48.745";"1CD";"Std";"";"27 FB 67 FB 27 FB C0 B9"
"00:44:48.745";"201";"Std";"";"7A D3 3B A7 00 00 B0 45"
"00:44:48.745";"285";"Std";"";"07 00 FF C0 FF FF FF FF"
"00:44:48.745";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.746";"245";"Std";"";"80 2D 85 81 80 80 A0 85"
"00:44:48.746";"247";"Std";"";"00 00 00 00 00 00 00 03"
"00:44:48.746";"45";"Std";"";"00 FF 00 00 00 00 C0 36"
"00:44:48.746";"6D";"Std";"";"40 E6 90 99"
"00:44:48.749";"283";"Std";"";"55 05 C0 0B 01 6C 15 88"
"00:44:48.751";"3";"Std";"";"10 44 10 00 04 FF 90 A4"
"00:44:48.751";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.752";"F9";"Std";"";"18 00 00 7D 00 00 C0 E0"
"00:44:48.752";"175";"Std";"";"02 00 00 0F 00 00 C0 ED"
"00:44:48.753";"73";"Std";"";"05 00 FF FF FF 00 BF AE"
"00:44:48.754";"14B";"Std";"";"07 FA 0A 34 07 FB 50 74"
"00:44:48.754";"1CD";"Std";"";"27 FB 67 FB 27 FB D0 74"
"00:44:48.755";"208";"Std";"";"00 00 00 00 00 00 00 0A"
"00:44:48.756";"F3";"Std";"";"22 FF 08 5C 10 8A 20 56"
"00:44:48.756";"6D";"Std";"";"40 E6 A0 D3"
"00:44:48.761";"3";"Std";"";"10 44 10 00 04 FF A0 EE"
"00:44:48.761";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.762";"73";"Std";"";"05 00 FF FF FF 00 CF F7"
"00:44:48.763";"5";"Std";"";"11 10 02 CC 01 00 CC 7B"
"00:44:48.763";"5F";"Std";"";"02 CA F7 F9 00 00 B0 FD"
"00:44:48.763";"D5";"Std";"";"00 00 40 00 00 00 C0 A0"
"00:44:48.763";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.764";"101";"Std";"";"00 00 A0 00 00 00 B0 84"
"00:44:48.764";"104";"Std";"";"00 00 03 00 FF 00 C0 8F"
"00:44:48.764";"105";"Std";"";"02 13 7F 00 00 95 83 BF"
"00:44:48.764";"1CD";"Std";"";"27 FA 67 FA 27 FA E0 A9"
"00:44:48.765";"201";"Std";"";"7A D3 3B A7 00 00 C0 1C"
"00:44:48.765";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.765";"245";"Std";"";"80 2F 85 81 80 80 B0 85"
"00:44:48.766";"207";"Std";"";"00 03 29 AD 04 DB 1D 7F"
"00:44:48.766";"45";"Std";"";"00 FF 00 00 00 00 D0 FB"
"00:44:48.766";"6D";"Std";"";"40 E6 B0 1E"
"00:44:48.768";"12D";"Std";"";"0F 0F 00 00 40 26 4E D2"
"00:44:48.769";"349";"Std";"";"00 C8 FF 42 1C 64 F0 60"
"00:44:48.769";"2F7";"Std";"";"80 22 00 8B 32 18"
"00:44:48.771";"206";"Std";"";"00 00 02 22 20 04 FA 03"
"00:44:48.771";"3";"Std";"";"10 44 10 00 04 FF B0 23"
"00:44:48.771";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.772";"175";"Std";"";"02 00 00 0F 00 00 D0 20"
"00:44:48.772";"73";"Std";"";"05 00 FF FF FF 00 DF 3A"
"00:44:48.773";"1";"Std";"";"0C C0 DF 9C 55 03 71 CC"
"00:44:48.775";"14B";"Std";"";"07 FB 0A 33 07 FA 60 C0"
"00:44:48.775";"1CD";"Std";"";"27 FA 67 FA 27 FA F0 64"
"00:44:48.776";"F3";"Std";"";"22 FF 08 5C 10 8A 30 9B"
"00:44:48.776";"6D";"Std";"";"40 E6 C0 47"
"00:44:48.781";"3";"Std";"";"10 44 10 00 04 FF C0 7A"
"00:44:48.781";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.782";"73";"Std";"";"05 00 FF FF FF 00 EF 70"
"00:44:48.783";"5";"Std";"";"11 10 02 C4 01 00 DC 2A"
"00:44:48.783";"5F";"Std";"";"02 C2 F7 F9 00 00 C0 AE"
"00:44:48.783";"D5";"Std";"";"00 00 40 00 00 00 D0 6D"
"00:44:48.783";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.784";"101";"Std";"";"00 00 A0 00 00 00 C0 DD"
"00:44:48.784";"104";"Std";"";"00 00 03 00 FF 00 D0 42"
"00:44:48.784";"105";"Std";"";"02 13 7F 00 00 95 93 72"
"00:44:48.784";"1CD";"Std";"";"27 FA 67 FA 27 FA 00 1B"
"00:44:48.785";"201";"Std";"";"7A D3 3B A7 00 00 D0 D1"
"00:44:48.785";"30D";"Std";"";"84 5F 85 FF FF 01 9B 81"
"00:44:48.785";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.785";"401";"Std";"";"FD 02 04 0F 10 00 00 07"
"00:44:48.785";"245";"Std";"";"80 2F 85 81 80 80 C0 85"
"00:44:48.786";"45";"Std";"";"00 FF 00 00 00 00 E0 B1"
"00:44:48.786";"6D";"Std";"";"40 E6 D0 8A"
"00:44:48.791";"306";"Std";"";"FF 03 FF FF FF FE 1F FF"
"00:44:48.791";"3";"Std";"";"10 44 10 00 04 FF D0 B7"
"00:44:48.791";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.792";"175";"Std";"";"02 00 00 0F 00 00 E0 6A"
"00:44:48.792";"73";"Std";"";"05 00 FF FF FF 00 FF BD"
"00:44:48.794";"14B";"Std";"";"07 FB 0A 33 07 FA 70 0D"
"00:44:48.794";"1CD";"Std";"";"27 FA 67 FA 27 FA 10 D6"
"00:44:48.796";"F3";"Std";"";"22 FF 08 5C 10 8A 40 C2"
"00:44:48.796";"6D";"Std";"";"40 E6 E0 C0"
"00:44:48.801";"3";"Std";"";"10 44 10 00 04 FF E0 FD"
"00:44:48.801";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.802";"69";"Std";"";"4C 44"
"00:44:48.802";"73";"Std";"";"05 00 FF FF FF 00 0F C2"
"00:44:48.803";"5";"Std";"";"11 10 02 C0 01 00 EC 2E"
"00:44:48.803";"5F";"Std";"";"02 BC F7 F3 00 00 D0 37"
"00:44:48.803";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.803";"D5";"Std";"";"00 00 40 00 00 00 E0 27"
"00:44:48.804";"101";"Std";"";"00 00 A0 00 00 00 D0 10"
"00:44:48.804";"105";"Std";"";"02 13 7F 00 00 95 A3 38"
"00:44:48.804";"104";"Std";"";"00 00 03 00 FF 00 E0 08"
"00:44:48.804";"1CD";"Std";"";"27 FB 67 FB 27 FB 20 0B"
"00:44:48.805";"201";"Std";"";"7A D3 3B A7 00 00 E0 9B"
"00:44:48.805";"33D";"Std";"";"00 46 00 3F"
"00:44:48.805";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.805";"39D";"Std";"";"20 00 00 F0 00 88 70 1F"
"00:44:48.805";"245";"Std";"";"80 2F 85 81 80 80 D0 85"
"00:44:48.806";"45";"Std";"";"00 FF 00 00 00 00 F0 7C"
"00:44:48.806";"6D";"Std";"";"40 E6 F0 0D"
"00:44:48.809";"34E";"Std";"";"FF FF FF FF FF FF 37 FF"
"00:44:48.811";"3";"Std";"";"10 44 10 00 04 FF F0 30"
"00:44:48.811";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.812";"357";"Std";"";"03 00 F7 FF FF FF FF FF"
"00:44:48.812";"175";"Std";"";"02 00 00 0F 00 00 F0 A7"
"00:44:48.812";"73";"Std";"";"05 00 FF FF FF 00 1F 0F"
"00:44:48.814";"14B";"Std";"";"07 FC 0A 33 07 FB 80 F1"
"00:44:48.814";"1CD";"Std";"";"27 FB 67 FB 27 FB 30 C6"
"00:44:48.814";"202";"Std";"";"04 00 00 F7"
"00:44:48.815";"F3";"Std";"";"22 FF 08 5C 10 8A 50 0F"
"00:44:48.816";"6D";"Std";"";"40 E6 00 72"
"00:44:48.821";"3";"Std";"";"10 44 10 00 04 FF 00 4F"
"00:44:48.821";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.822";"375";"Std";"";"03 07 35 3F 3F 07 00 00"
"00:44:48.822";"73";"Std";"";"05 00 FF FF FF 00 2F 45"
"00:44:48.823";"5";"Std";"";"11 10 02 BA 01 00 FC A3"
"00:44:48.823";"5F";"Std";"";"02 B9 F7 FE 00 00 E0 71"
"00:44:48.823";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.823";"D5";"Std";"";"00 00 40 00 00 00 F0 EA"
"00:44:48.824";"101";"Std";"";"00 00 A0 00 00 00 E0 5A"
"00:44:48.824";"2F3";"Std";"";"44 45 00 00 00 32 00 FF"
"00:44:48.824";"104";"Std";"";"00 00 03 00 FF 00 F0 C5"
"00:44:48.824";"105";"Std";"";"02 13 7F 00 00 95 B3 F5"
"00:44:48.825";"1CD";"Std";"";"27 FB 67 FB 27 FB 40 9F"
"00:44:48.825";"201";"Std";"";"7A D3 3B A7 00 00 F0 56"
"00:44:48.825";"37E";"Std";"";"63 64 64 FF FF FF 00 FF"
"00:44:48.825";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.825";"245";"Std";"";"80 37 85 81 80 80 E0 85"
"00:44:48.826";"45";"Std";"";"00 FF 00 00 00 00 00 03"
"00:44:48.826";"6D";"Std";"";"40 E6 10 BF"
"00:44:48.827";"3D4";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.830";"205";"Std";"";"02 88 0C 0F 00 00 00 C0"
"00:44:48.831";"3";"Std";"";"10 44 10 00 04 FF 10 82"
"00:44:48.831";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.832";"3C5";"Std";"";"FF 30 03 00 F1 00 30 01"
"00:44:48.832";"175";"Std";"";"02 01 00 0F 00 00 00 9E"
"00:44:48.832";"73";"Std";"";"05 00 FF FF FF 00 3F 88"
"00:44:48.834";"14B";"Std";"";"07 FC 0A 33 07 FB 90 3C"
"00:44:48.834";"1CD";"Std";"";"27 FB 67 FB 27 FB 50 52"
"00:44:48.835";"F3";"Std";"";"22 FF 08 5C 10 8A 60 45"
"00:44:48.836";"6D";"Std";"";"40 E6 20 F5"
"00:44:48.837";"3A3";"Std";"";"00 FF 02"
"00:44:48.841";"3";"Std";"";"10 44 10 00 04 FF 20 C8"
"00:44:48.841";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.842";"73";"Std";"";"05 00 FF FF FF 00 4F D1"
"00:44:48.843";"5";"Std";"";"11 10 02 B4 01 00 0C 29"
"00:44:48.843";"5F";"Std";"";"02 B7 F8 05 00 00 F0 AB"
"00:44:48.843";"D5";"Std";"";"00 00 40 00 00 00 00 95"
"00:44:48.843";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.844";"101";"Std";"";"00 00 A0 00 00 00 F0 97"
"00:44:48.844";"104";"Std";"";"00 00 03 00 FF 00 00 BA"
"00:44:48.844";"201";"Std";"";"7A D3 3B A7 00 00 00 29"
"00:44:48.844";"105";"Std";"";"02 16 7F 00 00 95 C3 EF"
"00:44:48.844";"1CD";"Std";"";"27 F9 67 F9 27 F9 60 2B"
"00:44:48.845";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.845";"245";"Std";"";"80 32 85 81 80 80 F0 85"
"00:44:48.845";"247";"Std";"";"00 00 00 00 00 00 00 03"
"00:44:48.846";"45";"Std";"";"00 FF 00 00 00 00 10 CE"
"00:44:48.846";"6D";"Std";"";"40 E6 30 38"
"00:44:48.847";"285";"Std";"";"07 00 FF C0 FF FF FF FF"
"00:44:48.851";"F9";"Std";"";"18 00 00 7D 00 00 D0 2D"
"00:44:48.851";"3";"Std";"";"10 44 10 00 04 FF 30 05"
"00:44:48.851";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.852";"283";"Std";"";"55 05 C0 0B 01 6C 15 88"
"00:44:48.852";"175";"Std";"";"02 01 00 0F 00 00 10 53"
"00:44:48.852";"73";"Std";"";"05 00 FF FF FF 00 5F 1C"
"00:44:48.854";"14B";"Std";"";"07 FC 0A 34 07 F9 A0 1A"
"00:44:48.854";"1CD";"Std";"";"27 F9 67 F9 27 F9 70 E6"
"00:44:48.855";"F3";"Std";"";"22 FF 08 5C 10 8A 70 88"
"00:44:48.856";"6D";"Std";"";"40 E6 40 61"
"00:44:48.860";"FE";"Std";"";"00 96 04 03 02 21 00 FF"
"00:44:48.861";"3";"Std";"";"10 44 10 00 04 FF 40 5C"
"00:44:48.861";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.862";"73";"Std";"";"05 00 FF FF FF 00 6F 56"
"00:44:48.863";"5";"Std";"";"11 10 02 B7 01 00 1C 5E"
"00:44:48.863";"5F";"Std";"";"02 B2 F7 FC 00 00 00 24"
"00:44:48.863";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.863";"D5";"Std";"";"00 00 40 00 00 00 10 58"
"00:44:48.864";"101";"Std";"";"00 00 A0 00 00 00 00 E8"
"00:44:48.864";"104";"Std";"";"00 00 03 00 FF 00 10 77"
"00:44:48.864";"105";"Std";"";"02 16 7F 00 00 95 D3 22"
"00:44:48.864";"1CD";"Std";"";"27 F9 67 F9 27 F9 80 99"
"00:44:48.865";"201";"Std";"";"7A D3 3B A7 00 00 10 E4"
"00:44:48.865";"203";"Std";"";"00 00 00 00 00 00 00 00"
"00:44:48.865";"245";"Std";"";"80 2B 85 81 80 80 00 85"
"00:44:48.866";"45";"Std";"";"00 FF 00 00 00 00 20 84"
"00:44:48.866";"6D";"Std";"";"40 E6 50 AC"
"00:44:48.868";"12D";"Std";"";"0F 0F 00 00 40 26 4E D2"
"00:44:48.868";"349";"Std";"";"00 C8 FF 42 1C 64 F0 60"
"00:44:48.870";"FF";"Std";"";"00 96 04 03 04 00 07 FF"
"00:44:48.871";"3";"Std";"";"10 44 10 00 04 FF 50 91"
"00:44:48.871";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.872";"175";"Std";"";"02 01 00 0F 00 00 20 19"
"00:44:48.872";"73";"Std";"";"05 00 FF FF FF 00 7F 9B"
"00:44:48.873";"1";"Std";"";"0C C0 DF 9C 55 03 81 B3"
"00:44:48.874";"14B";"Std";"";"07 FA 0A 34 07 F9 B0 5E"
"00:44:48.874";"1CD";"Std";"";"27 F9 67 F9 27 F9 90 54"
"00:44:48.875";"F3";"Std";"";"22 FF 08 5C 10 8A 80 F7"
"00:44:48.876";"4";"Std";"";"01 00 84 4B 0F"
"00:44:48.876";"6D";"Std";"";"40 E6 60 E6"
"00:44:48.880";"DE";"Std";"";"00 8B 14 03 00 7E 80 69"
"00:44:48.881";"3";"Std";"";"10 44 10 00 04 FF 60 DB"
"00:44:48.881";"E";"Std";"";"3F FF 3F FF 0F FF 00 FF"
"00:44:48.882";"73";"Std";"";"05 00 FF FF FF 00 8F E4"
"00:44:48.882";"5";"Std";"";"11 10 02 B0 01 00 2C E0"
"00:44:48.883";"5F";"Std";"";"02 B1 F8 00 00 00 10 43"
"00:44:48.883";"2F1";"Std";"";"74 24 41 00 00 EB FF FF"
"00:44:48.883";"D5";"Std";"";"00 00 40 00 00 00 20 12"
"00:44:48.883";"402";"Std";"";"FD 04 04 0F 10 00 00 07"
