ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 21/11/2016
Start time: 10:47:13
Stop time: 10:47:38
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:16:46.800";"C9";"Std";"";"84 0E 38 0D 00 00 08"
"00:16:46.800";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:16:46.800";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.800";"F1";"Std";"";"B4 00 00 40"
"00:16:46.800";"1C1";"Std";"";"03 08 02 FF"
"00:16:46.810";"F1";"Std";"";"80 00 00 40"
"00:16:46.811";"130";"Std";"";"00"
"00:16:46.811";"160";"Std";"";"00 00 00 00 00"
"00:16:46.811";"1E1";"Std";"";"40 BD 03"
"00:16:46.812";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:16:46.812";"361";"Std";"";"02 18 00 00 12 80 00"
"00:16:46.812";"3F1";"Std";"";"00 99 FF 08 11 FF"
"00:16:46.812";"C9";"Std";"";"84 0E 3B 00 00 00 08"
"00:16:46.812";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.813";"2C5";"Std";"";"04 6D 03 20 03 20"
"00:16:46.813";"3D1";"Std";"";"01 13 80 00 00 24 00 00"
"00:16:46.813";"3E9";"Std";"";"00 00 00 00 00 00 00 00"
"00:16:46.813";"440";"Std";"";"00 00 3C 4C 40"
"00:16:46.814";"460";"Std";"";"51 C1 80 B0 86"
"00:16:46.814";"4E1";"Std";"";"42 42 32 37 30 38 32 31"
"00:16:46.814";"4E9";"Std";"";"01 20 00 00 00 00"
"00:16:46.814";"514";"Std";"";"42 47 43 41 38 30 58 30"
"00:16:46.818";"1C1";"Std";"";"03 07 02 FF"
"00:16:46.819";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:16:46.820";"F1";"Std";"";"9C 00 00 40"
"00:16:46.825";"C9";"Std";"";"84 0E 3E 07 00 00 08"
"00:16:46.825";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.830";"F1";"Std";"";"A8 00 00 40"
"00:16:46.837";"C9";"Std";"";"84 0E 45 0A 00 00 08"
"00:16:46.837";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:16:46.838";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.838";"1C1";"Std";"";"03 06 02 FF"
"00:16:46.840";"F1";"Std";"";"B4 00 00 40"
"00:16:46.840";"1E1";"Std";"";"40 C0 00"
"00:16:46.850";"C9";"Std";"";"84 0E 4B 0D 00 00 08"
"00:16:46.850";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.850";"F1";"Std";"";"80 00 00 40"
"00:16:46.856";"1C1";"Std";"";"03 06 02 FF"
"00:16:46.856";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:16:46.860";"F1";"Std";"";"9C 00 00 40"
"00:16:46.862";"C9";"Std";"";"84 0E 54 00 00 00 08"
"00:16:46.862";"3F9";"Std";"";"00 0F 63 00 FF 30 00 00"
"00:16:46.863";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.863";"2C5";"Std";"";"04 6D 03 20 03 20"
"00:16:46.870";"F1";"Std";"";"A8 00 00 40"
"00:16:46.871";"1E1";"Std";"";"40 BF 01"
"00:16:46.875";"C9";"Std";"";"84 0E 5D 07 00 00 08"
"00:16:46.875";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:16:46.875";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.875";"1C1";"Std";"";"03 05 02 FF"
"00:16:46.880";"F1";"Std";"";"B4 00 00 40"
"00:16:46.887";"C9";"Std";"";"84 0E 6B 0A 00 00 08"
"00:16:46.887";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.890";"F1";"Std";"";"80 00 00 40"
"00:16:46.893";"1C1";"Std";"";"03 05 02 FF"
"00:16:46.893";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:16:46.900";"C9";"Std";"";"84 0E 6C 0D 00 00 08"
"00:16:46.900";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:16:46.900";"F1";"Std";"";"9C 00 00 40"
"00:16:46.900";"1E1";"Std";"";"40 BE 02"
"00:16:46.910";"F1";"Std";"";"A8 00 00 40"
"00:16:46.911";"160";"Std";"";"00 00 00 00 00"
"00:16:46.911";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:16:46.911";"361";"Std";"";"02 18 00 00 12 80 00"
"00:16:46.912";"460";"Std";"";"51 C1 80 B0 86"
"00:16:46.912";"C9";"Std";"";"84 0E 71 00 00 00 08"
"00:16:46.912";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:16:46.912";"1BC";"Std";"";"08 00 00 00 00 00 00"
