ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 21/11/2016
Start time: 10:44:37
Stop time: 10:45:04
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:14:08.076";"160";"Std";"";"00 00 00 00 00"
"00:14:08.076";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:14:08.076";"361";"Std";"";"02 14 00 00 12 80 00"
"00:14:08.076";"460";"Std";"";"51 C1 80 B0 85"
"00:14:08.085";"F1";"Std";"";"B4 00 00 40"
"00:14:08.085";"C9";"Std";"";"84 0E 6F 0A 00 00 08"
"00:14:08.086";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.091";"1C1";"Std";"";"03 05 03 04"
"00:14:08.092";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:14:08.095";"F1";"Std";"";"80 00 00 40"
"00:14:08.096";"1E1";"Std";"";"40 BD 03"
"00:14:08.098";"C9";"Std";"";"84 0E 7A 0D 00 00 08"
"00:14:08.098";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.105";"F1";"Std";"";"9C 00 00 40"
"00:14:08.110";"C9";"Std";"";"84 0E 85 00 00 00 08"
"00:14:08.110";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:14:08.111";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.111";"1C1";"Std";"";"03 03 03 03"
"00:14:08.111";"2C5";"Std";"";"04 70 03 20 03 20"
"00:14:08.111";"3D1";"Std";"";"01 14 80 00 00 28 00 00"
"00:14:08.112";"3E9";"Std";"";"00 00 00 00 00 00 00 00"
"00:14:08.115";"F1";"Std";"";"A8 00 00 40"
"00:14:08.123";"C9";"Std";"";"84 0E 91 07 00 00 08"
"00:14:08.123";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.125";"F1";"Std";"";"B4 00 00 40"
"00:14:08.125";"1E1";"Std";"";"40 C0 00"
"00:14:08.129";"1C1";"Std";"";"03 03 03 03"
"00:14:08.129";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:14:08.135";"F1";"Std";"";"80 00 00 40"
"00:14:08.135";"C9";"Std";"";"84 0E 8F 0A 00 00 08"
"00:14:08.135";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.145";"F1";"Std";"";"9C 00 00 40"
"00:14:08.148";"C9";"Std";"";"84 0E 8A 0D 00 00 08"
"00:14:08.148";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:14:08.148";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.148";"1C1";"Std";"";"03 00 03 01"
"00:14:08.155";"F1";"Std";"";"A8 00 00 40"
"00:14:08.156";"1E1";"Std";"";"40 BF 01"
"00:14:08.160";"C9";"Std";"";"84 0E 90 00 00 00 08"
"00:14:08.160";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.161";"2C5";"Std";"";"04 71 03 20 03 20"
"00:14:08.165";"F1";"Std";"";"B4 00 00 40"
"00:14:08.166";"1C1";"Std";"";"03 00 02 FE"
"00:14:08.167";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:14:08.173";"C9";"Std";"";"84 0E 93 07 00 00 08"
"00:14:08.173";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.175";"F1";"Std";"";"80 00 00 40"
"00:14:08.176";"160";"Std";"";"00 00 00 00 00"
"00:14:08.176";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:14:08.176";"361";"Std";"";"02 14 00 00 12 80 00"
"00:14:08.176";"460";"Std";"";"51 C1 80 B0 85"
"00:14:08.185";"F1";"Std";"";"9C 00 00 40"
"00:14:08.185";"C9";"Std";"";"84 0E 99 0A 00 00 08"
"00:14:08.185";"1E1";"Std";"";"40 BE 02"
"00:14:08.186";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:14:08.186";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:14:08.186";"1C1";"Std";"";"02 FD 02 FE"
"00:14:08.195";"F1";"Std";"";"A8 00 00 40"
"00:14:08.198";"C9";"Std";"";"84 0E 9F 0D 00 00 08"
"00:14:08.198";"1BC";"Std";"";"08 00 00 00 00 00 00"
