ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 21/11/2016
Start time: 10:45:36
Stop time: 10:45:57
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:15:06.824";"F1";"Std";"";"B4 00 00 40"
"00:15:06.824";"C9";"Std";"";"84 0E 3D 0D 00 00 08"
"00:15:06.825";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:06.834";"F1";"Std";"";"80 00 00 40"
"00:15:06.835";"1E1";"Std";"";"40 BD 03"
"00:15:06.837";"C9";"Std";"";"84 0E 44 00 00 00 08"
"00:15:06.837";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:15:06.837";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:06.838";"1C1";"Std";"";"03 07 03 01"
"00:15:06.838";"2C5";"Std";"";"04 6E 03 20 03 20"
"00:15:06.838";"3D1";"Std";"";"01 14 80 00 00 26 00 00"
"00:15:06.838";"3E9";"Std";"";"00 00 00 00 00 00 00 00"
"00:15:06.844";"F1";"Std";"";"9C 00 00 40"
"00:15:06.849";"C9";"Std";"";"84 0E 4C 07 00 00 08"
"00:15:06.850";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:06.854";"F1";"Std";"";"A8 00 00 40"
"00:15:06.856";"1C1";"Std";"";"03 08 03 01"
"00:15:06.856";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:15:06.862";"C9";"Std";"";"84 0E 51 0A 00 00 08"
"00:15:06.862";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:06.864";"F1";"Std";"";"B4 00 00 40"
"00:15:06.864";"1E1";"Std";"";"40 C0 00"
"00:15:06.874";"F1";"Std";"";"80 00 00 40"
"00:15:06.875";"C9";"Std";"";"84 0E 61 0D 00 00 08"
"00:15:06.875";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:15:06.875";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:06.875";"1C1";"Std";"";"03 08 03 02"
"00:15:06.884";"F1";"Std";"";"9C 00 00 40"
"00:15:06.887";"C9";"Std";"";"84 0E 75 00 00 00 08"
"00:15:06.887";"1BC";"Std";"";"08 00 00 00 00 00 00"
