ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 21/11/2016
Start time: 10:46:17
Stop time: 10:46:36
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:15:47.561";"C9";"Std";"";"84 0E 70 0A 00 00 08"
"00:15:47.561";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:47.562";"F1";"Std";"";"9C 00 00 40"
"00:15:47.562";"1E1";"Std";"";"40 BE 02"
"00:15:47.567";"1C1";"Std";"";"03 00 03 02"
"00:15:47.568";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:15:47.572";"F1";"Std";"";"A8 00 00 40"
"00:15:47.572";"160";"Std";"";"00 00 00 00 00"
"00:15:47.573";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:15:47.573";"361";"Std";"";"02 17 00 00 12 80 00"
"00:15:47.573";"460";"Std";"";"51 C1 80 B0 86"
"00:15:47.574";"C9";"Std";"";"84 0E 75 0D 00 00 08"
"00:15:47.574";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:47.582";"F1";"Std";"";"B4 00 00 40"
"00:15:47.586";"C9";"Std";"";"84 0E 77 00 00 00 08"
"00:15:47.586";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:15:47.587";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:47.587";"1C1";"Std";"";"03 03 03 02"
"00:15:47.587";"2C5";"Std";"";"04 6F 03 20 03 20"
"00:15:47.587";"3D1";"Std";"";"01 14 80 00 00 27 00 00"
"00:15:47.587";"3E9";"Std";"";"00 00 00 00 00 00 00 00"
"00:15:47.592";"F1";"Std";"";"80 00 00 40"
"00:15:47.592";"1E1";"Std";"";"40 BD 03"
"00:15:47.599";"C9";"Std";"";"84 0E 82 07 00 00 08"
"00:15:47.599";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:47.602";"F1";"Std";"";"9C 00 00 40"
"00:15:47.605";"1C1";"Std";"";"03 03 03 01"
"00:15:47.605";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:15:47.611";"C9";"Std";"";"84 0E 7C 0A 00 00 08"
"00:15:47.611";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:15:47.612";"F1";"Std";"";"A8 00 00 40"
"00:15:47.622";"F1";"Std";"";"B4 00 00 40"
"00:15:47.622";"1E1";"Std";"";"40 C0 00"
"00:15:47.622";"3F1";"Std";"";"00 99 FF 08 11 FF"
"00:15:47.624";"C9";"Std";"";"84 0E 7A 0D 00 00 08"
"00:15:47.624";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:15:47.624";"1BC";"Std";"";"08 00 00 00 00 00 00"
