ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 21/11/2016
Start time: 10:43:14
Stop time: 10:43:33
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:12:45.501";"C9";"Std";"";"84 0E 90 0D 00 00 08"
"00:12:45.501";"F1";"Std";"";"80 00 00 40"
"00:12:45.501";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:12:45.501";"1E1";"Std";"";"40 BD 03"
"00:12:45.507";"1C1";"Std";"";"03 02 02 FF"
"00:12:45.507";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:12:45.511";"F1";"Std";"";"9C 00 00 40"
"00:12:45.513";"C9";"Std";"";"84 0E 89 00 00 00 08"
"00:12:45.513";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:12:45.514";"2C5";"Std";"";"04 70 03 20 03 20"
"00:12:45.514";"3D1";"Std";"";"01 14 80 00 00 27 00 00"
"00:12:45.514";"3E9";"Std";"";"00 00 00 00 00 00 00 00"
"00:12:45.521";"F1";"Std";"";"A8 00 00 40"
"00:12:45.526";"C9";"Std";"";"84 0E 7B 07 00 00 08"
"00:12:45.526";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:12:45.526";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:12:45.526";"1C1";"Std";"";"02 FF 02 FF"
"00:12:45.531";"F1";"Std";"";"B4 00 00 40"
"00:12:45.531";"1E1";"Std";"";"40 C0 00"
"00:12:45.538";"C9";"Std";"";"84 0E 78 0A 00 00 08"
"00:12:45.538";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:12:45.541";"F1";"Std";"";"80 00 00 40"
"00:12:45.544";"1C1";"Std";"";"02 FE 02 FE"
"00:12:45.545";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:12:45.551";"C9";"Std";"";"84 0E 7A 0D 00 00 08"
"00:12:45.551";"F1";"Std";"";"9C 00 00 40"
"00:12:45.551";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:12:45.561";"F1";"Std";"";"A8 00 00 40"
"00:12:45.561";"160";"Std";"";"00 00 00 00 00"
"00:12:45.562";"1E1";"Std";"";"40 BF 01"
"00:12:45.562";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:12:45.562";"361";"Std";"";"02 16 00 00 12 80 00"
"00:12:45.562";"3F1";"Std";"";"00 99 FF 08 11 FF"
"00:12:45.563";"460";"Std";"";"51 C1 80 B0 86"
"00:12:45.563";"C9";"Std";"";"84 0E 79 00 00 00 08"
"00:12:45.564";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:12:45.564";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:12:45.564";"1C1";"Std";"";"02 FE 03 00"
"00:12:45.564";"2C5";"Std";"";"04 70 03 20 03 20"
"00:12:45.571";"F1";"Std";"";"B4 00 00 40"
"00:12:45.576";"C9";"Std";"";"84 0E 7E 07 00 00 08"
"00:12:45.576";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:12:45.581";"F1";"Std";"";"80 00 00 40"
"00:12:45.582";"1C1";"Std";"";"03 00 03 00"
"00:12:45.582";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:12:45.588";"C9";"Std";"";"84 0E 83 0A 00 00 08"
"00:12:45.588";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:12:45.591";"F1";"Std";"";"9C 00 00 40"
"00:12:45.591";"1E1";"Std";"";"40 BE 02"
"00:12:45.601";"C9";"Std";"";"84 0E 83 0D 00 00 08"
"00:12:45.601";"F1";"Std";"";"A8 00 00 40"
"00:12:45.601";"1BC";"Std";"";"08 00 00 00 00 00 00"
