ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 21/11/2016
Start time: 10:42:06
Stop time: 10:42:55
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:11:55.723";"F1";"Std";"";"9C 00 00 40"
"00:11:55.723";"1E1";"Std";"";"40 BE 02"
"00:11:55.725";"C9";"Std";"";"84 0E B4 00 00 00 08"
"00:11:55.726";"3F9";"Std";"";"00 03 D1 00 FF 30 00 00"
"00:11:55.726";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.726";"2C5";"Std";"";"04 73 03 20 03 20"
"00:11:55.731";"1C1";"Std";"";"03 00 03 00"
"00:11:55.732";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.733";"F1";"Std";"";"A8 00 00 40"
"00:11:55.738";"C9";"Std";"";"84 0E AB 07 00 00 08"
"00:11:55.738";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.743";"F1";"Std";"";"B4 00 00 40"
"00:11:55.750";"C9";"Std";"";"84 0E AD 0A 00 00 08"
"00:11:55.750";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.751";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.751";"1C1";"Std";"";"02 FF 03 02"
"00:11:55.753";"F1";"Std";"";"80 00 00 40"
"00:11:55.753";"1E1";"Std";"";"40 BD 03"
"00:11:55.762";"F1";"Std";"";"9C 00 00 40"
"00:11:55.763";"C9";"Std";"";"84 0E AC 0D 00 00 08"
"00:11:55.763";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.769";"1C1";"Std";"";"03 02 03 02"
"00:11:55.769";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.772";"F1";"Std";"";"A8 00 00 40"
"00:11:55.775";"C9";"Std";"";"84 0E AB 00 00 00 08"
"00:11:55.775";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.776";"2C5";"Std";"";"04 72 03 20 03 20"
"00:11:55.776";"3D1";"Std";"";"01 15 80 00 00 35 00 00"
"00:11:55.776";"3E9";"Std";"";"00 00 00 00 00 00 00 00"
"00:11:55.782";"F1";"Std";"";"B4 00 00 40"
"00:11:55.783";"1E1";"Std";"";"40 C0 00"
"00:11:55.788";"C9";"Std";"";"84 0E A7 07 00 00 08"
"00:11:55.788";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.788";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.788";"1C1";"Std";"";"03 04 03 04"
"00:11:55.792";"F1";"Std";"";"80 00 00 40"
"00:11:55.800";"C9";"Std";"";"84 0E A2 0A 00 00 08"
"00:11:55.800";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.802";"F1";"Std";"";"9C 00 00 40"
"00:11:55.806";"1C1";"Std";"";"03 04 03 04"
"00:11:55.807";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.812";"F1";"Std";"";"A8 00 00 40"
"00:11:55.813";"C9";"Std";"";"84 0E AC 0D 00 00 08"
"00:11:55.813";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.813";"160";"Std";"";"00 00 00 00 00"
"00:11:55.813";"1E1";"Std";"";"40 BF 01"
"00:11:55.814";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:11:55.814";"361";"Std";"";"02 15 00 00 12 80 00"
"00:11:55.814";"460";"Std";"";"51 C1 80 B0 85"
"00:11:55.822";"F1";"Std";"";"B4 00 00 40"
"00:11:55.825";"C9";"Std";"";"84 0E B8 00 00 00 08"
"00:11:55.825";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.826";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.826";"1C1";"Std";"";"03 04 03 04"
"00:11:55.826";"2C5";"Std";"";"04 72 03 20 03 20"
"00:11:55.832";"F1";"Std";"";"80 00 00 40"
"00:11:55.838";"C9";"Std";"";"84 0E C5 07 00 00 08"
"00:11:55.838";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.842";"F1";"Std";"";"9C 00 00 40"
"00:11:55.843";"1E1";"Std";"";"40 BE 02"
"00:11:55.844";"1C1";"Std";"";"03 05 03 04"
"00:11:55.844";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.850";"C9";"Std";"";"84 0E B9 0A 00 00 08"
"00:11:55.850";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.852";"F1";"Std";"";"A8 00 00 40"
"00:11:55.862";"F1";"Std";"";"B4 00 00 40"
"00:11:55.863";"3F1";"Std";"";"00 99 FF 08 11 FF"
"00:11:55.863";"C9";"Std";"";"84 0E A8 0D 00 00 08"
"00:11:55.863";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.863";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.863";"1C1";"Std";"";"03 03 03 04"
"00:11:55.872";"F1";"Std";"";"80 00 00 40"
"00:11:55.873";"1E1";"Std";"";"40 BD 03"
"00:11:55.875";"C9";"Std";"";"84 0E A2 00 00 00 08"
"00:11:55.875";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.876";"2C5";"Std";"";"04 72 03 20 03 20"
"00:11:55.876";"3D1";"Std";"";"01 15 80 00 00 28 00 00"
"00:11:55.876";"3E9";"Std";"";"00 00 00 00 00 00 00 00"
"00:11:55.881";"1C1";"Std";"";"03 03 03 02"
"00:11:55.882";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.882";"F1";"Std";"";"9C 00 00 40"
"00:11:55.888";"C9";"Std";"";"84 0E A1 07 00 00 08"
"00:11:55.888";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.892";"F1";"Std";"";"A8 00 00 40"
"00:11:55.900";"C9";"Std";"";"84 0E A5 0A 00 00 08"
"00:11:55.900";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.901";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.901";"1C1";"Std";"";"03 02 03 02"
"00:11:55.902";"F1";"Std";"";"B4 00 00 40"
"00:11:55.903";"1E1";"Std";"";"40 C0 00"
"00:11:55.912";"F1";"Std";"";"80 00 00 40"
"00:11:55.913";"C9";"Std";"";"84 0E A9 0D 00 00 08"
"00:11:55.913";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.913";"160";"Std";"";"00 00 00 00 00"
"00:11:55.913";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:11:55.914";"361";"Std";"";"02 15 00 00 12 80 00"
"00:11:55.914";"460";"Std";"";"51 C1 80 B0 85"
"00:11:55.919";"1C1";"Std";"";"03 04 03 04"
"00:11:55.919";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.922";"F1";"Std";"";"9C 00 00 40"
"00:11:55.925";"C9";"Std";"";"84 0E A9 00 00 00 08"
"00:11:55.926";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.926";"2C5";"Std";"";"04 72 03 20 03 20"
"00:11:55.932";"F1";"Std";"";"A8 00 00 40"
"00:11:55.933";"1E1";"Std";"";"40 BF 01"
"00:11:55.938";"C9";"Std";"";"84 0E AD 07 00 00 08"
"00:11:55.938";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.938";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.938";"1C1";"Std";"";"03 05 03 05"
"00:11:55.942";"F1";"Std";"";"B4 00 00 40"
"00:11:55.950";"C9";"Std";"";"84 0E A5 0A 00 00 08"
"00:11:55.950";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.952";"F1";"Std";"";"80 00 00 40"
"00:11:55.956";"1C1";"Std";"";"03 05 03 05"
"00:11:55.956";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.962";"F1";"Std";"";"9C 00 00 40"
"00:11:55.963";"C9";"Std";"";"84 0E 9F 0D 00 00 08"
"00:11:55.963";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.963";"1E1";"Std";"";"40 BE 02"
"00:11:55.972";"F1";"Std";"";"A8 00 00 40"
"00:11:55.975";"C9";"Std";"";"84 0E 87 00 00 00 08"
"00:11:55.975";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:55.975";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.976";"3F9";"Std";"";"00 03 D4 00 FF 30 00 00"
"00:11:55.976";"1C1";"Std";"";"03 05 03 05"
"00:11:55.976";"4C1";"Std";"";"00 C7 5A 48 29"
"00:11:55.976";"2C5";"Std";"";"04 72 03 20 03 20"
"00:11:55.976";"4D1";"Std";"";"08 00 00 01 C0 AE 00 C4"
"00:11:55.977";"3D1";"Std";"";"01 15 80 00 00 28 00 00"
"00:11:55.977";"772";"Std";"";"00 00 00 00 00 00 00"
"00:11:55.977";"3E9";"Std";"";"00 00 00 00 00 00 00 00"
"00:11:55.982";"F1";"Std";"";"B4 00 00 40"
"00:11:55.987";"C9";"Std";"";"84 0E 89 07 00 00 08"
"00:11:55.988";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:55.992";"F1";"Std";"";"80 00 00 40"
"00:11:55.993";"1E1";"Std";"";"40 BD 03"
"00:11:55.994";"1C1";"Std";"";"03 04 03 05"
"00:11:55.994";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:56.000";"C9";"Std";"";"84 0E 80 0A 00 00 08"
"00:11:56.000";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:56.002";"F1";"Std";"";"9C 00 00 40"
"00:11:56.012";"F1";"Std";"";"A8 00 00 40"
"00:11:56.012";"C9";"Std";"";"84 0E 87 0D 00 00 08"
"00:11:56.013";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:56.013";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:56.013";"160";"Std";"";"00 00 00 00 00"
"00:11:56.013";"1C1";"Std";"";"03 07 03 07"
"00:11:56.013";"1F1";"Std";"";"06 08 00 00 18 00 93 02"
"00:11:56.014";"361";"Std";"";"02 15 00 00 12 80 00"
"00:11:56.014";"460";"Std";"";"51 C1 80 B0 85"
"00:11:56.022";"F1";"Std";"";"B4 00 00 40"
"00:11:56.022";"1E1";"Std";"";"40 C0 00"
"00:11:56.025";"C9";"Std";"";"84 0E 90 00 00 00 08"
"00:11:56.025";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:56.025";"2C5";"Std";"";"04 72 03 20 03 20"
"00:11:56.031";"1C1";"Std";"";"03 07 03 07"
"00:11:56.031";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:56.032";"F1";"Std";"";"80 00 00 40"
"00:11:56.037";"C9";"Std";"";"84 0E 8B 07 00 00 08"
"00:11:56.038";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:56.042";"F1";"Std";"";"9C 00 00 40"
"00:11:56.050";"C9";"Std";"";"84 0E 91 0A 00 00 08"
"00:11:56.050";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:56.050";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:56.051";"1C1";"Std";"";"03 08 03 06"
"00:11:56.052";"F1";"Std";"";"A8 00 00 40"
"00:11:56.053";"1E1";"Std";"";"40 BF 01"
"00:11:56.062";"F1";"Std";"";"B4 00 00 40"
"00:11:56.062";"C9";"Std";"";"84 0E 92 0D 00 00 08"
"00:11:56.063";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:56.069";"1C1";"Std";"";"03 09 03 07"
"00:11:56.069";"1F5";"Std";"";"ED 00 00 0F 18 00"
"00:11:56.072";"F1";"Std";"";"80 00 00 40"
"00:11:56.075";"C9";"Std";"";"84 0E 99 00 00 00 08"
"00:11:56.075";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:11:56.075";"2C5";"Std";"";"04 72 03 20 03 20"
"00:11:56.076";"3D1";"Std";"";"01 15 80 00 00 28 00 00"
