ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 21/11/2016
Start time: 10:49:44
Stop time: 10:50:23
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:19:20.608";"C9";"Std";"";"84 0E 69 0D 00 00 08"
"00:19:20.608";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.611";"F1";"Std";"";"88 00 00 40"
"00:19:20.611";"1E1";"Std";"";"40 BD 03"
"00:19:20.611";"460";"Std";"";"51 C0 80 B0 85"
"00:19:20.620";"C9";"Std";"";"84 0E 70 00 00 00 08"
"00:19:20.620";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.621";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.621";"F1";"Std";"";"9C 00 00 40"
"00:19:20.621";"1C1";"Std";"";"03 03 03 02"
"00:19:20.621";"2C5";"Std";"";"04 6C 03 20 03 20"
"00:19:20.621";"3D1";"Std";"";"01 13 80 00 00 25 00 00"
"00:19:20.622";"3E9";"Std";"";"00 00 0A A7 00 00 00 00"
"00:19:20.631";"F1";"Std";"";"A8 00 00 40"
"00:19:20.633";"C9";"Std";"";"84 0E 6D 07 00 00 08"
"00:19:20.633";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.639";"1C1";"Std";"";"03 02 03 01"
"00:19:20.639";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.640";"F1";"Std";"";"B4 00 00 40"
"00:19:20.641";"1E1";"Std";"";"40 C0 00"
"00:19:20.645";"C9";"Std";"";"84 0E 69 0A 00 00 08"
"00:19:20.645";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.650";"F1";"Std";"";"80 00 00 40"
"00:19:20.651";"130";"Std";"";"00"
"00:19:20.651";"160";"Std";"";"00 00 00 00 00"
"00:19:20.652";"1F1";"Std";"";"06 08 00 00 08 00 93 02"
"00:19:20.652";"361";"Std";"";"02 15 00 00 12 80 00"
"00:19:20.652";"3F1";"Std";"";"00 99 FF 08 11 FF"
"00:19:20.652";"440";"Std";"";"00 00 3C 4C 80"
"00:19:20.653";"460";"Std";"";"51 C0 80 B0 85"
"00:19:20.653";"4E1";"Std";"";"42 42 32 37 30 38 32 31"
"00:19:20.653";"4E9";"Std";"";"01 20 00 00 00 00"
"00:19:20.653";"514";"Std";"";"42 47 43 41 38 30 58 30"
"00:19:20.658";"C9";"Std";"";"84 0E 60 0D 00 00 08"
"00:19:20.658";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.658";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.658";"1C1";"Std";"";"03 00 03 01"
"00:19:20.661";"F1";"Std";"";"9C 00 00 40"
"00:19:20.670";"C9";"Std";"";"84 0E 70 00 00 00 08"
"00:19:20.670";"3F9";"Std";"";"00 1A 48 00 FF 30 00 00"
"00:19:20.671";"F1";"Std";"";"A8 00 00 40"
"00:19:20.671";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.671";"2C5";"Std";"";"04 6C 03 20 03 20"
"00:19:20.671";"1E1";"Std";"";"40 BF 01"
"00:19:20.676";"1C1";"Std";"";"03 00 03 00"
"00:19:20.677";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.680";"F1";"Std";"";"B4 00 00 40"
"00:19:20.683";"C9";"Std";"";"84 0E 85 07 00 00 08"
"00:19:20.683";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.690";"F1";"Std";"";"80 00 00 40"
"00:19:20.695";"C9";"Std";"";"84 0E 97 0A 00 00 08"
"00:19:20.695";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.696";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.696";"1C1";"Std";"";"03 01 02 FF"
"00:19:20.700";"F1";"Std";"";"9C 00 00 40"
"00:19:20.701";"1E1";"Std";"";"40 BE 02"
"00:19:20.708";"C9";"Std";"";"84 0E 9D 0D 00 00 08"
"00:19:20.708";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.710";"F1";"Std";"";"A8 00 00 40"
"00:19:20.714";"1C1";"Std";"";"02 FF 02 FF"
"00:19:20.714";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.720";"C9";"Std";"";"84 0E A3 00 00 00 08"
"00:19:20.720";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.720";"F1";"Std";"";"B4 00 00 40"
"00:19:20.721";"2C5";"Std";"";"04 6C 03 20 03 20"
"00:19:20.721";"3D1";"Std";"";"01 13 80 00 00 25 00 00"
"00:19:20.721";"3E9";"Std";"";"00 00 0A A7 00 00 00 00"
"00:19:20.730";"F1";"Std";"";"80 00 00 40"
"00:19:20.731";"1E1";"Std";"";"40 BD 03"
"00:19:20.733";"C9";"Std";"";"84 0E AE 07 00 00 08"
"00:19:20.733";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.733";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.733";"1C1";"Std";"";"02 FF 02 FB"
"00:19:20.740";"F1";"Std";"";"9C 00 00 40"
"00:19:20.745";"C9";"Std";"";"84 0E B0 0A 00 00 08"
"00:19:20.745";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.750";"F1";"Std";"";"A8 00 00 40"
"00:19:20.751";"160";"Std";"";"00 00 00 00 00"
"00:19:20.751";"1C1";"Std";"";"02 FB 02 FB"
"00:19:20.751";"1F1";"Std";"";"06 08 00 00 08 00 93 02"
"00:19:20.752";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.752";"361";"Std";"";"02 15 00 00 12 80 00"
"00:19:20.752";"460";"Std";"";"51 C0 80 B0 85"
"00:19:20.758";"C9";"Std";"";"84 0E B1 0D 00 00 08"
"00:19:20.758";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.760";"F1";"Std";"";"B4 00 00 40"
"00:19:20.761";"1E1";"Std";"";"40 C0 00"
"00:19:20.770";"C9";"Std";"";"84 0E B2 00 00 00 08"
"00:19:20.770";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.770";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:19:20.771";"F1";"Std";"";"80 00 00 40"
"00:19:20.771";"1C1";"Std";"";"02 F8 02 F8"
"00:19:20.771";"2C5";"Std";"";"04 6C 03 20 03 20"
"00:19:20.780";"F1";"Std";"";"9C 00 00 40"
"00:19:20.782";"C9";"Std";"";"80 0E B4 07 04 00 08"
"00:19:20.783";"1BC";"Std";"";"08 00 04 10 00 00 00"
"00:19:20.789";"1C1";"Std";"";"02 F7 03 12"
"00:19:20.789";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.790";"F1";"Std";"";"A8 00 00 40"
"00:19:20.791";"1E1";"Std";"";"40 BF 01"
"00:19:20.795";"C9";"Std";"";"80 0E BD 0A 0E 00 08"
"00:19:20.795";"1BC";"Std";"";"08 00 0E 28 00 00 00"
"00:19:20.800";"F1";"Std";"";"B4 00 00 40"
"00:19:20.807";"C9";"Std";"";"80 0E B8 0D 16 00 08"
"00:19:20.808";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.808";"1BC";"Std";"";"08 00 16 1F 00 00 00"
"00:19:20.808";"1C1";"Std";"";"03 1A 03 87"
"00:19:20.810";"F1";"Std";"";"80 00 00 40"
"00:19:20.820";"C9";"Std";"";"80 0E BF 00 1D 00 08"
"00:19:20.820";"1BC";"Std";"";"08 00 1D 1B 00 00 00"
"00:19:20.820";"2C5";"Std";"";"04 6C 03 20 03 20"
"00:19:20.820";"F1";"Std";"";"9C 00 00 40"
"00:19:20.821";"3D1";"Std";"";"01 16 80 00 00 32 00 00"
"00:19:20.821";"1E1";"Std";"";"40 BE 02"
"00:19:20.821";"3E9";"Std";"";"00 00 0A A7 00 00 00 00"
"00:19:20.826";"1C1";"Std";"";"03 1C 03 BB"
"00:19:20.826";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.830";"F1";"Std";"";"A8 00 00 40"
"00:19:20.832";"C9";"Std";"";"80 0E D6 07 23 00 08"
"00:19:20.833";"1BC";"Std";"";"08 00 23 1B 00 00 00"
"00:19:20.840";"F1";"Std";"";"B4 00 00 40"
"00:19:20.845";"C9";"Std";"";"80 0E EC 0A 2A 00 08"
"00:19:20.845";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.845";"1BC";"Std";"";"08 00 2A 19 00 00 00"
"00:19:20.845";"1C1";"Std";"";"03 20 04 1B"
"00:19:20.850";"F1";"Std";"";"80 00 00 40"
"00:19:20.851";"160";"Std";"";"00 00 00 00 00"
"00:19:20.851";"1E1";"Std";"";"40 BD 03"
"00:19:20.851";"1F1";"Std";"";"06 08 00 00 08 00 93 02"
"00:19:20.852";"361";"Std";"";"02 15 00 00 12 80 00"
"00:19:20.852";"460";"Std";"";"51 C0 80 B0 85"
"00:19:20.857";"C9";"Std";"";"80 0F 0D 0D 30 00 08"
"00:19:20.858";"1BC";"Std";"";"08 00 30 19 00 00 00"
"00:19:20.860";"F1";"Std";"";"9C 00 00 40"
"00:19:20.864";"1C1";"Std";"";"03 20 04 3B"
"00:19:20.864";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.870";"C9";"Std";"";"80 0F 2C 00 36 00 08"
"00:19:20.870";"1BC";"Std";"";"08 00 36 18 00 00 00"
"00:19:20.870";"2C5";"Std";"";"04 71 03 20 03 20"
"00:19:20.870";"F1";"Std";"";"A8 00 00 40"
"00:19:20.880";"F1";"Std";"";"B4 00 00 40"
"00:19:20.880";"1E1";"Std";"";"40 C0 00"
"00:19:20.882";"C9";"Std";"";"80 0F 4A 07 3C 00 08"
"00:19:20.883";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.883";"1BC";"Std";"";"08 00 3B 14 00 00 00"
"00:19:20.883";"1C1";"Std";"";"03 2E 04 67"
"00:19:20.890";"F1";"Std";"";"80 00 00 40"
"00:19:20.895";"C9";"Std";"";"80 0F 62 0A 40 00 08"
"00:19:20.895";"1BC";"Std";"";"08 00 40 11 00 00 00"
"00:19:20.900";"F1";"Std";"";"9C 00 00 40"
"00:19:20.900";"3F1";"Std";"";"00 99 FF 08 11 FF"
"00:19:20.901";"1C1";"Std";"";"03 2A 04 78"
"00:19:20.901";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.907";"C9";"Std";"";"80 0F 79 0D 44 00 08"
"00:19:20.908";"1BC";"Std";"";"08 00 44 0E 00 00 00"
"00:19:20.910";"F1";"Std";"";"A8 00 00 40"
"00:19:20.911";"1E1";"Std";"";"40 BF 01"
"00:19:20.920";"C9";"Std";"";"80 0F 96 00 47 00 08"
"00:19:20.920";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.920";"1BC";"Std";"";"08 00 47 0D 00 00 00"
"00:19:20.920";"F1";"Std";"";"B4 00 00 40"
"00:19:20.921";"1C1";"Std";"";"03 3C 04 92"
"00:19:20.921";"3F9";"Std";"";"00 1A 4A 00 FF 30 00 00"
"00:19:20.921";"2C5";"Std";"";"04 79 03 20 03 20"
"00:19:20.921";"4C1";"Std";"";"01 C8 7B 4E 29"
"00:19:20.921";"3D1";"Std";"";"01 30 80 00 00 25 00 00"
"00:19:20.922";"4D1";"Std";"";"08 00 00 01 C0 AB 00 C4"
"00:19:20.922";"3E9";"Std";"";"00 00 0A A7 00 00 00 00"
"00:19:20.930";"F1";"Std";"";"80 00 00 40"
"00:19:20.932";"C9";"Std";"";"80 0F AB 07 49 00 08"
"00:19:20.933";"1BC";"Std";"";"08 00 49 09 00 00 00"
"00:19:20.938";"1C1";"Std";"";"03 5B 04 9A"
"00:19:20.939";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:19:20.940";"F1";"Std";"";"9C 00 00 40"
"00:19:20.940";"1E1";"Std";"";"40 BE 02"
"00:19:20.945";"C9";"Std";"";"80 0F C6 0A 4B 00 08"
"00:19:20.945";"1BC";"Std";"";"08 00 4B 06 00 00 00"
"00:19:20.950";"F1";"Std";"";"A8 00 00 40"
"00:19:20.951";"160";"Std";"";"00 00 00 00 00"
"00:19:20.951";"1F1";"Std";"";"06 08 00 00 08 00 93 02"
"00:19:20.951";"361";"Std";"";"02 15 00 00 12 80 00"
"00:19:20.952";"460";"Std";"";"51 C0 80 B0 85"
"00:19:20.957";"C9";"Std";"";"80 0F E5 0D 4C 00 08"
"00:19:20.957";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:20.958";"1BC";"Std";"";"08 00 4C 03 00 00 00"
"00:19:20.958";"1C1";"Std";"";"03 52 04 A3"
"00:19:20.960";"F1";"Std";"";"B4 00 00 40"
"00:19:20.970";"C9";"Std";"";"80 10 00 00 4C 00 08"
"00:19:20.970";"1BC";"Std";"";"08 00 4C 02 00 00 00"
"00:19:20.970";"F1";"Std";"";"80 00 00 40"
"00:19:20.970";"2C5";"Std";"";"04 84 03 20 03 20"
"00:19:20.971";"1E1";"Std";"";"40 BD 03"
"00:19:20.976";"1C1";"Std";"";"03 74 04 A3"
"00:19:20.976";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:20.980";"F1";"Std";"";"9C 00 00 40"
"00:19:20.982";"C9";"Std";"";"80 10 23 07 4D 00 08"
"00:19:20.982";"1BC";"Std";"";"08 00 4D 02 00 00 00"
"00:19:20.990";"F1";"Std";"";"A8 00 00 40"
"00:19:20.995";"C9";"Std";"";"80 10 48 0A 4D 00 08"
"00:19:20.995";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:20.995";"1BC";"Std";"";"08 00 4D 00 00 00 00"
"00:19:20.995";"1C1";"Std";"";"03 99 04 A3"
"00:19:21.000";"F1";"Std";"";"B4 00 00 40"
"00:19:21.000";"1E1";"Std";"";"40 C0 00"
"00:19:21.007";"C9";"Std";"";"80 10 68 0D 4D 00 08"
"00:19:21.007";"1BC";"Std";"";"08 00 4D 00 00 00 00"
"00:19:21.010";"F1";"Std";"";"80 00 00 40"
"00:19:21.013";"1C1";"Std";"";"03 99 04 A3"
"00:19:21.014";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:21.020";"C9";"Std";"";"80 10 97 00 4D 00 08"
"00:19:21.020";"1BC";"Std";"";"08 00 4D 00 00 00 00"
"00:19:21.020";"2C5";"Std";"";"04 84 03 20 03 20"
"00:19:21.020";"F1";"Std";"";"9C 00 00 40"
"00:19:21.021";"3D1";"Std";"";"01 4F 80 00 00 31 00 00"
"00:19:21.021";"3E9";"Std";"";"00 00 0A A7 00 00 00 00"
"00:19:21.030";"F1";"Std";"";"A8 00 00 40"
"00:19:21.031";"1E1";"Std";"";"40 BF 01"
"00:19:21.032";"C9";"Std";"";"80 10 B9 07 4D 00 08"
"00:19:21.032";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:21.033";"1BC";"Std";"";"08 00 4D 00 00 00 00"
"00:19:21.033";"1C1";"Std";"";"03 D2 04 A0"
"00:19:21.040";"F1";"Std";"";"B4 00 00 40"
"00:19:21.045";"C9";"Std";"";"80 10 F4 0A 4D 00 08"
"00:19:21.045";"1BC";"Std";"";"08 00 4D 00 00 00 00"
"00:19:21.050";"F1";"Std";"";"80 00 00 40"
"00:19:21.051";"160";"Std";"";"00 00 00 00 00"
"00:19:21.051";"1C1";"Std";"";"03 A9 04 A0"
"00:19:21.051";"1F1";"Std";"";"06 08 00 00 08 00 93 02"
"00:19:21.051";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:21.052";"361";"Std";"";"02 15 00 00 12 80 00"
"00:19:21.052";"460";"Std";"";"51 C0 80 B0 85"
"00:19:21.057";"C9";"Std";"";"80 11 2F 0D 4B 00 08"
"00:19:21.057";"1BC";"Std";"";"08 00 4B F9 00 00 00"
"00:19:21.060";"F1";"Std";"";"9C 00 00 40"
"00:19:21.060";"1E1";"Std";"";"40 BE 02"
"00:19:21.070";"C9";"Std";"";"80 11 75 00 40 00 08"
"00:19:21.070";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:21.070";"1BC";"Std";"";"08 00 40 D3 00 00 00"
"00:19:21.070";"F1";"Std";"";"A8 00 00 40"
"00:19:21.070";"1C1";"Std";"";"04 03 04 69"
"00:19:21.071";"2C5";"Std";"";"04 6D 03 20 03 20"
"00:19:21.080";"F1";"Std";"";"B4 00 00 40"
"00:19:21.082";"C9";"Std";"";"80 11 BD 07 33 00 08"
"00:19:21.082";"1BC";"Std";"";"08 00 33 CE 00 00 00"
"00:19:21.088";"1C1";"Std";"";"04 2C 04 32"
"00:19:21.089";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:21.090";"F1";"Std";"";"80 00 00 40"
"00:19:21.091";"1E1";"Std";"";"40 BD 03"
"00:19:21.095";"C9";"Std";"";"80 12 57 0A 28 00 08"
"00:19:21.095";"1BC";"Std";"";"08 00 28 D4 00 00 00"
"00:19:21.100";"F1";"Std";"";"9C 00 00 40"
"00:19:21.107";"C9";"Std";"";"80 12 F8 0D 1E 00 08"
"00:19:21.107";"1F5";"Std";"";"ED 40 00 0F 18 00"
"00:19:21.108";"1BC";"Std";"";"08 00 1E D8 00 00 00"
"00:19:21.108";"1C1";"Std";"";"04 39 03 B7"
"00:19:21.110";"F1";"Std";"";"A8 00 00 40"
