ASCII Trace IXXAT MiniMon V3  Version: 1.1.4.4543
Date: 21/11/2016
Start time: 10:48:04
Stop time: 10:48:57
Overruns: 0  Errorframes: 0                                          
Baudrate: 500 kbit/s
"Time";"Identifier (hex)";"Format";"Flags";"Data (hex)"
"00:17:43.304";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.312";"F1";"Std";"";"8A 00 00 C0"
"00:17:43.317";"C9";"Std";"";"84 0E AF 0A 00 01 08"
"00:17:43.317";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:17:43.317";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.317";"1C1";"Std";"";"02 FB 02 FB"
"00:17:43.322";"F1";"Std";"";"96 00 00 C0"
"00:17:43.329";"C9";"Std";"";"84 0E AB 0D 00 01 08"
"00:17:43.329";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.332";"F1";"Std";"";"A2 00 00 C0"
"00:17:43.332";"1E1";"Std";"";"40 BF 01"
"00:17:43.335";"1C1";"Std";"";"02 FB 02 FC"
"00:17:43.336";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:17:43.342";"C9";"Std";"";"84 0E A3 00 00 01 08"
"00:17:43.342";"F1";"Std";"";"BE 00 00 C0"
"00:17:43.342";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.342";"2C5";"Std";"";"04 70 03 20 03 20"
"00:17:43.342";"3D1";"Std";"";"01 14 80 00 00 27 00 00"
"00:17:43.343";"3E9";"Std";"";"00 00 04 A5 00 00 00 00"
"00:17:43.352";"F1";"Std";"";"8A 00 00 C0"
"00:17:43.352";"160";"Std";"";"00 00 00 00 00"
"00:17:43.352";"1F1";"Std";"";"06 08 00 00 08 00 93 02"
"00:17:43.353";"361";"Std";"";"02 15 00 00 12 80 00"
"00:17:43.353";"460";"Std";"";"51 C4 80 B0 85"
"00:17:43.354";"C9";"Std";"";"84 0E 9B 07 00 01 08"
"00:17:43.354";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:17:43.355";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.355";"1C1";"Std";"";"02 FB 02 FB"
"00:17:43.362";"F1";"Std";"";"96 00 00 C0"
"00:17:43.362";"1E1";"Std";"";"40 BE 02"
"00:17:43.367";"C9";"Std";"";"84 0E 99 0A 00 01 08"
"00:17:43.367";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.372";"F1";"Std";"";"A2 00 00 C0"
"00:17:43.373";"1C1";"Std";"";"02 FB 02 FD"
"00:17:43.373";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:17:43.379";"C9";"Std";"";"84 0E 8D 0D 00 01 08"
"00:17:43.379";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.381";"F1";"Std";"";"BE 00 00 C0"
"00:17:43.392";"C9";"Std";"";"84 0E 83 00 00 01 08"
"00:17:43.392";"F1";"Std";"";"8A 00 00 C0"
"00:17:43.392";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.392";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:17:43.392";"1C1";"Std";"";"02 FC 02 FD"
"00:17:43.392";"1E1";"Std";"";"40 BD 03"
"00:17:43.393";"2C5";"Std";"";"04 70 03 20 03 20"
"00:17:43.401";"F1";"Std";"";"96 00 00 C0"
"00:17:43.404";"C9";"Std";"";"84 0E 7E 07 00 01 08"
"00:17:43.404";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.410";"1C1";"Std";"";"02 FF 02 FF"
"00:17:43.410";"1F5";"Std";"";"ED 40 00 0F 38 00"
"00:17:43.411";"F1";"Std";"";"A2 00 00 C0"
"00:17:43.417";"C9";"Std";"";"84 0E 79 0A 00 01 08"
"00:17:43.417";"1BC";"Std";"";"08 00 00 00 00 00 00"
"00:17:43.421";"F1";"Std";"";"BE 00 00 C0"
