pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
610,0,0,0,0,105,0,0,0
705,8,0,0,0,50,223,0,228
178,0,0,0,0,0,13,0,0
176,0,0,0,0,0,13,0,0
180,0,0,0,0,0,0,0,188
708,3,141,0,36,0,0,98,228
608,8,0,5,0,0,0,0,119
710,0,0,0,0,0,0,0,208
896,0,32,0,0,0,0,44,0
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,14,0,0
178,0,0,0,0,0,14,0,0
547,0,0,0,127,224,0,0,140
725,0,0,0,0,0,0,0,0
610,0,0,0,0,105,0,0,0
178,0,0,0,0,0,15,0,0
176,0,0,0,0,0,15,0,0
180,0,0,0,0,0,0,0,188
608,8,0,5,0,0,0,0,119
708,3,144,0,36,0,0,98,231
705,8,0,0,0,51,223,0,229
178,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0
610,0,0,0,0,105,0,0,0
725,0,0,0,0,0,0,0,0
710,0,0,0,0,0,0,0,208
929,0,0,0,0,0,144,0,0
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,1,0,0
180,0,0,0,0,0,0,0,188
178,0,0,0,0,0,1,0,0
547,0,0,0,127,224,0,0,140
608,8,0,6,0,0,0,0,120
708,3,147,0,36,0,0,98,234
178,0,0,0,0,0,2,0,0
176,0,0,0,0,0,2,0,0
610,0,0,0,0,105,0,0,0
705,8,0,0,0,54,223,0,232
725,0,0,0,0,0,0,0,0
1090,64,2,0,0,2,0,0,0
178,0,0,0,0,0,3,0,0
176,0,0,0,0,0,3,0,0
180,0,0,0,0,0,0,0,188
608,8,0,5,0,0,0,0,119
710,0,0,0,0,0,0,0,208
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,4,0,0
178,0,0,0,0,0,4,0,0
547,0,0,0,127,224,0,0,140
708,3,148,0,36,0,0,98,235
610,0,0,0,0,105,0,0,0
928,0,176,0,0,7,0,0,63
178,0,0,0,0,0,5,0,0
176,0,0,0,0,0,5,0,0
180,0,0,0,0,0,0,0,188
725,0,0,0,0,0,0,0,0
608,8,0,7,0,0,0,0,121
705,8,0,0,0,58,223,0,236
178,0,0,0,0,0,6,0,0
176,0,0,0,0,0,6,0,0
610,0,0,0,0,105,0,0,0
708,3,149,0,36,0,0,98,236
710,0,0,0,0,0,0,0,208
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,7,0,0
180,0,0,0,0,0,0,0,188
178,0,0,0,0,0,7,0,0
547,0,0,0,127,224,0,0,140
608,8,0,6,0,0,0,0,120
947,3,149,40,0,0,0,0,0
725,0,0,0,0,0,0,0,0
178,0,0,0,0,0,8,0,0
176,0,0,0,0,0,8,0,0
610,0,0,0,0,105,0,0,0
708,3,150,0,36,0,0,98,237
178,0,0,0,0,0,9,0,0
176,0,0,0,0,0,9,0,0
180,0,0,0,0,0,0,0,188
705,8,0,0,0,58,223,0,236
608,8,0,6,0,0,0,0,120
725,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,10,0,0
178,0,0,0,0,0,10,0,0
547,0,0,0,127,224,0,0,140
710,0,0,0,0,0,0,0,208
610,0,0,0,0,105,0,0,0
178,0,0,0,0,0,11,0,0
176,0,0,0,0,0,11,0,0
180,0,0,0,0,0,0,0,188
708,3,150,0,36,0,0,98,237
608,8,0,6,0,0,0,0,120
951,0,0,0,0,0,0,0,0
176,0,0,0,0,0,12,0,0
178,0,0,0,0,0,12,0,0
610,0,0,0,0,105,0,0,0
705,8,0,0,0,58,223,0,236
725,0,0,0,0,0,0,0,0
1088,66,2,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,13,0,0
180,0,0,0,0,0,0,0,188
178,0,0,0,0,0,13,0,0
547,0,0,0,127,224,0,0,140
608,8,0,7,0,0,0,0,121
710,0,0,0,0,0,0,0,208
708,3,149,0,36,0,0,98,236
1568,16,0,0,0,48,96,0,80
178,0,0,0,0,0,14,0,0
176,0,0,0,0,0,14,0,0
610,0,0,0,0,105,0,0,0
928,0,176,0,0,7,0,0,63
725,0,0,0,0,0,0,0,0
178,0,0,0,0,0,15,0,0
176,0,0,0,0,0,15,0,0
180,0,0,0,0,0,0,0,188
608,8,0,5,0,0,0,0,119
705,8,0,0,0,58,223,0,236
708,3,150,0,36,0,0,98,237
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0
547,0,0,0,127,224,0,0,140
610,0,0,0,0,105,0,0,0
710,0,0,0,0,0,0,0,208
178,0,0,0,0,0,1,0,0
176,0,0,0,0,0,1,0,0
180,0,0,0,0,0,0,0,188
725,0,0,0,0,0,0,0,0
608,8,0,5,0,0,0,0,119
178,0,0,0,0,0,2,0,0
176,0,0,0,0,0,2,0,0
708,3,152,0,36,0,0,98,239
610,0,0,0,0,105,0,0,0
705,8,0,0,0,59,223,0,237
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,3,0,0
180,0,0,0,0,0,0,0,188
178,0,0,0,0,0,3,0,0
547,0,0,0,127,224,0,0,140
608,8,0,5,0,0,0,0,119
725,0,0,0,0,0,0,0,0
710,0,0,0,0,0,0,0,208
916,0,0,0,0,0,0,0,0
178,0,0,0,0,0,4,0,0
176,0,0,0,0,0,4,0,0
610,0,0,0,0,105,0,0,0
708,3,152,0,36,0,0,98,239
178,0,0,0,0,0,5,0,0
176,0,0,0,0,0,5,0,0
180,0,0,0,0,0,0,0,188
608,8,0,6,0,0,0,0,120
725,0,0,0,0,0,0,0,0
705,8,0,0,0,60,223,0,238
1090,64,2,0,0,2,0,0,0
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,6,0,0
178,0,0,0,0,0,6,0,0
547,0,0,0,127,224,0,0,140
610,0,0,0,0,105,0,0,0
710,0,0,0,0,0,0,0,208
708,3,152,0,36,0,0,98,239
178,0,0,0,0,0,7,0,0
176,0,0,0,0,0,7,0,0
180,0,0,0,0,0,0,0,188
608,8,0,6,0,0,0,0,120
178,0,0,0,0,0,8,0,0
176,0,0,0,0,0,8,0,0
725,0,0,0,0,0,0,0,0
610,0,0,0,0,105,0,0,0
928,0,176,0,0,7,0,0,63
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,9,0,0
180,0,0,0,0,0,0,0,188
178,0,0,0,0,0,9,0,0
547,0,0,0,127,224,0,0,140
705,8,0,0,0,59,223,0,237
906,8,4,0,0,0,0,0,0
608,8,0,7,0,0,0,0,121
708,3,146,0,36,0,0,98,233
178,0,0,0,0,0,10,0,0
176,0,0,0,0,0,10,0,0
710,0,0,0,0,0,0,0,208
610,0,0,0,0,105,0,0,0
725,0,0,0,0,0,0,0,0
178,0,0,0,0,0,11,0,0
176,0,0,0,0,0,11,0,0
180,0,0,0,0,0,0,0,188
608,8,0,6,0,0,0,0,120
708,3,144,0,36,0,0,98,231
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,12,0,0
178,0,0,0,0,0,12,0,0
547,0,0,0,127,224,0,0,140
705,8,0,0,0,58,223,0,236
610,0,0,0,0,105,0,0,0
725,0,0,0,0,0,0,0,0
178,0,0,0,0,0,13,0,0
176,0,0,0,0,0,13,0,0
180,0,0,0,0,0,0,0,188
710,0,0,0,0,0,0,0,208
608,8,0,7,0,0,0,0,121
178,0,0,0,0,0,14,0,0
176,0,0,0,0,0,14,0,0
708,3,141,0,36,0,0,98,228
610,0,0,0,0,105,0,0,0
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,15,0,0
180,0,0,0,0,0,0,0,188
178,0,0,0,0,0,15,0,0
547,0,0,0,127,224,0,0,140
1245,30,0,0,5,0,0,0,0
725,0,0,0,0,0,0,0,0
608,8,0,7,0,0,0,0,121
705,8,0,0,0,56,223,0,234
1088,66,2,0,0,0,0,0,0
178,0,0,0,0,0,0,0,0
176,0,0,0,0,0,0,0,0
610,0,0,0,0,105,0,0,0
708,3,140,0,36,0,0,98,227
710,0,0,0,0,0,0,0,208
178,0,0,0,0,0,1,0,0
176,0,0,0,0,0,1,0,0
180,0,0,0,0,0,0,0,188
608,8,0,6,0,0,0,0,120
725,0,0,0,0,0,0,0,0
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,2,0,0
178,0,0,0,0,0,2,0,0
547,0,0,0,127,224,0,0,140
610,0,0,0,0,105,0,0,0
705,8,0,0,0,57,223,0,235
928,0,176,0,0,7,0,0,63
708,3,141,0,36,0,0,98,228
178,0,0,0,0,0,3,0,0
176,0,0,0,0,0,3,0,0
180,0,0,0,0,0,0,0,188
608,8,0,7,0,0,0,0,121
710,0,0,0,0,0,0,0,208
725,0,0,0,0,0,0,0,0
178,0,0,0,0,0,4,0,0
176,0,0,0,0,0,4,0,0
610,0,0,0,0,105,0,0,0
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,5,0,0
180,0,0,0,0,0,0,0,188
178,0,0,0,0,0,5,0,0
547,0,0,0,127,224,0,0,140
708,3,143,0,36,0,0,98,230
608,8,0,6,0,0,0,0,120
705,8,0,0,0,59,223,0,237
178,0,0,0,0,0,6,0,0
176,0,0,0,0,0,6,0,0
725,0,0,0,0,0,0,0,0
610,0,0,0,0,105,0,0,0
710,0,0,0,0,0,0,0,208
178,0,0,0,0,0,7,0,0
176,0,0,0,0,0,7,0,0
180,0,0,0,0,0,0,0,188
608,8,0,6,0,0,0,0,120
708,3,144,0,36,0,0,98,231
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,8,0,0
178,0,0,0,0,0,8,0,0
547,0,0,0,127,224,0,0,140
610,0,0,0,0,105,0,0,0
725,0,0,0,0,0,0,0,0
705,8,0,0,0,58,223,0,236
178,0,0,0,0,0,9,0,0
176,0,0,0,0,0,9,0,0
180,0,0,0,0,0,0,0,188
608,8,0,5,0,0,0,0,119
708,3,148,0,36,0,0,98,235
710,0,0,0,0,0,0,0,208
1090,64,2,0,0,2,0,0,0
951,0,0,0,0,0,0,0,0
176,0,0,0,0,0,10,0,0
