pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
705,8,0,0,16,45,192,0,208
610,0,0,0,0,105,0,0,0
178,0,0,0,0,0,3,0,0
176,0,0,0,0,0,3,0,0
180,0,0,0,0,0,0,0,188
725,0,0,0,0,0,0,0,0
710,0,0,0,0,0,0,0,208
608,14,0,0,0,0,0,0,120
928,0,175,0,0,7,0,0,60
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,4,0,0
178,0,0,0,0,0,4,0,0
547,0,0,0,127,224,0,0,140
708,0,0,0,37,0,0,98,85
610,0,0,0,0,105,0,0,0
178,0,0,0,0,0,5,0,0
176,0,0,0,0,0,5,0,0
180,0,0,0,0,0,0,0,188
725,0,0,0,0,0,0,0,0
608,14,0,0,0,0,0,0,120
705,8,0,0,16,45,192,0,208
178,0,0,0,0,0,6,0,0
176,0,0,0,0,0,6,0,0
610,0,0,0,0,105,0,0,0
708,0,0,0,37,0,0,98,85
710,0,0,0,0,0,0,0,208
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,7,0,0
180,0,0,0,0,0,0,0,188
178,0,0,0,0,0,7,0,0
547,0,0,0,127,224,0,0,140
608,14,0,0,0,0,0,0,120
725,0,0,0,0,0,0,0,0
178,0,0,0,0,0,8,0,0
176,0,0,0,0,0,8,0,0
610,0,0,0,0,105,0,0,0
705,8,0,0,16,45,192,0,208
178,0,0,0,0,0,9,0,0
176,0,0,0,0,0,9,0,0
180,0,0,0,0,0,0,0,188
708,0,0,0,37,0,0,98,85
1090,64,2,0,0,2,0,0,0
608,14,0,0,0,0,0,0,120
710,0,0,0,0,0,0,0,208
548,0,0,0,0,0,0,0,0
176,0,0,0,0,0,10,0,0
178,0,0,0,0,0,10,0,0
547,0,0,0,127,224,0,0,140
725,0,0,0,0,0,0,0,0
610,0,0,0,0,105,0,0,0
178,0,0,0,0,0,11,0,0
176,0,0,0,0,0,11,0,0
180,0,0,0,0,0,0,0,188
1552,32,0,0,100,0,0,0,0
708,0,0,0,37,0,0,98,85
608,14,0,0,0,0,0,0,120
705,8,0,0,16,45,192,0,208
178,0,0,0,0,0,12,0,0
176,0,0,0,0,0,12,0,0
725,0,0,0,0,0,0,0,0
