pgn,byte_1,byte_2,byte_3,byte_4,byte_5,byte_6,byte_7,byte_8
259,12,0,3,232,0,0,3,95
260,0,0,0,6,0,0,9,150
278,0,0,0,0,0,0,3,45
501,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,4,126
503,0,0,0,216,0,0,0,0
506,0,0,0,0,0,0,0,0
250,64,32,0,0,40,8,0,154
511492081,3,68,0,2,0,0,0,5
511492082,255,244,0,0,0,20,0,0
511492084,40,0,0,0,0,0,0,0
255,0,29,115,174,117,192,4,69
511492080,0,0,0,6,24,0,0,0
511492077,0,0,0,0,0,0,0,0
511492083,0,0,147,205,0,0,0,0
256,78,185,215,58,224,0,4,108
222,27,56,151,208,9,244,0,0
1051,34,0,0,0,1,48,0,0
238,0,0,0,0,0,0,5,99
240,255,192,0,81,95,248,10,183
251,0,14,29,116,0,0,5,19
244,26,144,0,0,0,0,5,6
254,128,8,9,128,0,50,4,164
257,0,0,0,0,31,192,4,195
259,12,0,3,232,0,0,4,12
260,0,0,0,6,0,0,10,177
278,0,0,0,0,0,0,4,126
497,255,0,0,0,0,0,0,0
252,0,0,0,0,0,0,5,99
496,0,31,224,0,0,0,0,0
250,64,32,0,0,48,8,0,142
498,0,64,0,0,0,0,10,136
748,0,0,0,0,0,0,0,0
504,64,255,128,0,0,0,6,176
1048,0,0,8,25,0,0,0,0
1199,0,0,0,0,0,0,0,0
255,0,29,115,174,117,192,5,88
511492083,0,0,147,205,0,0,0,0
511492081,3,68,0,2,0,0,0,5
511492084,40,0,0,0,0,0,0,0
511492077,0,0,0,0,0,0,0,0
511492080,0,0,0,6,24,0,0,0
511492082,255,247,0,0,0,20,0,0
2000,0,0,0,0,0,0,0,0
256,78,185,215,58,224,0,5,113
222,27,56,151,208,10,211,0,0
762,0,0,190,0,0,0,0,0
1846,8,50,25,0,0,0,0,0
495,136,0,0,0,0,0,9,140
500,64,0,3,192,0,0,3,236
751,15,112,0,0,0,0,0,0
238,0,0,0,0,0,0,6,68
251,0,14,29,116,0,0,6,52
240,255,192,0,81,95,248,11,170
244,26,144,0,0,0,0,6,33
254,128,8,9,128,0,50,5,185
257,0,0,0,0,31,192,5,222
259,12,0,3,232,0,0,5,17
260,0,0,0,6,0,0,11,172
278,0,0,0,0,0,0,5,99
501,0,0,0,0,0,0,0,0
252,0,0,0,0,0,0,6,68
503,0,0,0,216,0,0,0,0
250,64,32,0,0,56,8,0,130
506,0,0,0,0,0,0,0,0
511492081,3,68,0,2,0,0,0,5
511492082,255,244,0,0,0,20,0,0
255,0,29,115,174,117,192,6,127
511492084,40,0,0,0,0,0,0,0
511492077,0,0,0,0,0,0,0,0
511492080,0,0,0,6,24,0,0,0
400,0,16,0,0,0,0,8,246
511492083,0,0,147,205,0,0,0,0
256,78,185,215,58,224,0,6,86
222,27,56,151,208,11,206,0,0
1050,2,100,0,168,0,0,0,0
238,0,0,0,0,0,0,7,89
240,255,192,0,81,95,248,12,249
251,0,14,29,116,0,0,7,41
244,26,144,0,0,0,0,7,60
254,128,8,9,128,0,50,6,158
257,0,0,0,0,31,192,6,249
259,12,0,3,232,0,0,6,54
260,0,0,0,6,0,0,12,255
278,0,0,0,0,0,0,6,68
497,255,0,0,0,0,0,0,0
252,0,0,0,0,0,0,7,89
496,0,31,224,0,0,0,0,0
250,64,32,0,0,64,8,0,198
498,0,64,0,0,0,0,11,149
504,64,255,128,0,0,0,7,173
511492081,3,68,0,2,0,0,0,5
511492083,0,0,147,205,0,0,0,0
511492084,40,0,0,0,0,0,0,0
255,0,29,115,174,117,192,7,98
511492077,0,0,0,0,0,2,0,0
511492080,0,0,0,6,24,0,0,0
511492082,255,244,0,0,0,20,0,0
2000,0,0,0,0,0,0,0,0
256,78,185,215,58,224,0,7,75
222,27,56,151,208,12,157,0,0
